population explosion,[经] 人口爆炸
steady,"a. 稳定的, 不动摇的, 沉着的, 稳固的, 坚定的, 经常的
vt. 使稳定, 使坚定
vi. 变为沉着, 稳固"
slow,"a. 慢的, 缓慢的, 迟缓的, 迟钝的, 冷漠的, 落后的
adv. 慢地, 迟缓地
v. (使)慢下来"
stable,"n. 马房, 牛棚
a. 稳定的, 安定的, 坚固的, 坚定的
vt. 赶入马房
vi. 被关在马厩"
noticeable trend,无
distribute,"vt. 分配, 散布, 分发
"
in terms of,"用...的话, 根据, 按照, 在...方面
"
in respect of,"[法] 关于, 就...而言"
regarding,prep. 关于
recommendation letter,[网络] 推荐信；准备推荐信；提出推荐信
constructive,"a. 建设性的, 构造上的
"
perplex,"vt. 使困惑, 使复杂化, 使为难
"
with regard to,关于
foreseeable future,无
leisure time,[法] 业余时间
have use for reference,无
effective measure,[经] 有效措施
existing problem, 存在的问题
perspective,"n. 远景, 透视感, (观察问题的)视角, 透视法, 看法, 透视图
a. 透视的, 透视法的
"
eco-friendly,"adj. 对环境无害的；环保的
"
put forward a plan,无
engage in,"使从事于, 参加"
take steps,[经] 采取措施
low-carbon emission,无
essential,"n. 要素, 要点, 本质
a. 必要的, 重要的, 本质的
"
proposal,"n. 提议, 计划, 求婚
"
turn to sb. for help,无
would better, 最好还是…; 应该，必须
feasible,"a. 能实行的, 可行的, 适宜的
"
selectively,adv. 有选择地
worthwhile,"a. 值得花时间的, 值得做的, 有真实价值的"
prepare for,[网络] 准备；为…作准备；为…做准备
deficiency,"n. 缺乏, 不足
"
ideal candidate,理想人选
turn waste into treasure,无
device,"n. 装置, 设计, 策略, 发明物, 设备
"
low-carbon cities,无
recycling,[电] 再循环
decision-making,
decline one's invitation,无
take pleasure in doing sth.,无
participate in,"参加, 参与, 分享"
accept one's invitation,无
opening ceremony,开幕式
have dinner with sb.,无
cordially invite sb. to,无
special guest,[网络] 特别嘉宾；特别来宾；特邀嘉宾
Lantern Festival party,无
English debate,无
assembly hall,会议厅
rehearsal,"n. 预演, 排演, 练习, 叙述, 复述
"
convenient,"a. 方便的, 合宜的
"
look forward to," 期望, 盼望; 瞩望; 属望; 企"
look forward to doing,无
as soon as,一...就
attendance,"n. 出席, 出席的人数, 照料
"
invitation letter,n. 邀请函，邀请信
celebration,"n. 庆祝, 庆典"
instructive,"a. 有益的, 增进知识的"
in advance,"预先
"
host,"n. 主人, 旅馆老板, 节目主持人
vt. 当主人招待, 作...节目主持人
"
amusement,"n. 兴味, 娱乐, 消遣
"
annual meeting,[法] 年会
judge,"n. 法官, 裁判员, 审判官, 鉴定人
vt. 审理, 鉴定, 判断, 判决, 裁定
vi. 下判断, 作评价"
center on," 以…为中心; 重点在于…, 主要与…有关"
schedule,"n. 时间表, 一览表, 计划表, 议事日程
vt. 预定, 编制目录, 制...表, 安排"
arrangement,"n. 排列, 整齐, 安排
"
a versatile person,无
application,"n. 应用, 申请, 志愿书, 应用程序
"
applicant,"n. 申请者
"
in the hope that,"怀着...的希望, 希望能..."
application fee,[经] 申请费
approval,"n. 赞成, 批准
"
reply,"n. 答复, 回答, 答辩
vi. 答复, 回答, 回击, 反响, 答辩
vt. 回答
"
appreciate,"vt. 赏识, 鉴别, 为...而感激, 领会, 欣赏
vi. 增值, 涨价"
long for,渴望
enclose,"vt. 围绕, 圈起, 放入封套, 附上"
membership,"n. 会员的资格, 全体会员, 会员数目
"
in answer to,"回答, 响应"
in the hope of,怀着希望
decent income,无
marketing,"n. 行销, 买卖
"
possess,"vt. 持有, 占有, 拥有, 克制, 支配, 迷住
"
apply for a visa,[网络] 申请签证；办签证；申请护照签证
application form,"[经] 空白申请书, 申请书格式"
admission committee,无
student loan,学生贷款
period of validity,[经] 有效期
academic performance,学业成绩;学术成就
admission qualification,入学资格
visa officer,无
postgraduate scholarship,无
furnish sb. with sth.,"v. 装备
"
submit application,无
less developed,欠发达的，不发达的
long-cherished,a. 被长期渴望的
spare some time,无
attach,"vt. 附上, 使依附, 使附属, 使喜爱, 系, 缚
vi. 附属, 归属, 联系在一起
"
hospitality,"n. 款待, 亲切, 殷勤"
especially,"adv. 尤其, 特别, 格外"
express one's gratitude,无
unselfish assistance,无
first aid,"急救
"
serious consequence,无
convey,"vt. 传达, 运输, 转让
"
on behalf of,"代表...
"
heartfelt thanks,[网络] 由衷的谢意；诚挚的谢意；衷心感谢
take this opportunity to, 借此机会
appreciation,"n. 感激, 赏识, 鉴别
"
dual,"a. 双重的, 双的
n. 双数"
patronage,"n. 赞助, 恩赐态度, 光顾, 任免权, 保护人的身分
"
evade a question,无
shade,"n. 荫, 阴暗, 遮光物, 灯罩, 帘, 浓淡, 微量, 底纹
vi. 渐变
vt. 使阴暗, 使渐变, 遮蔽, 微减
"
precious chance,无
profoundly,"adv. 深深地, 深切地"
generous donation,无
emergency,"n. 紧急状况, 紧急事件, 紧急需要
"
repay one's kindness,无
quick-witted response,无
embalm,"vt. 以药物防腐, 铭记于心, 使不朽"
fatal accident,[法] 严重事故
sincerely,adv. 真诚地
beyond words,无法用语言表达
fervency,"n. 热, 热烈, 热情"
at one's back,"(紧紧)跟在某人之后；追赶某人，跟随某人；支持某人,给某人撑腰,作某人后盾 [亦作 at the back of someone]"
get established,[网络] 有成就
undergo,"vt. 遭受, 经历, 忍受
"
in due course,"及时地, 在适当时
"
apologize,"vi. 道歉, 辩解"
ill-considered,"a. 考虑不充分的, 欠考虑的, 不妥当的"
rearrange,"vt. 再排列, 重新整理
"
make a good loss,无
fall sick,生病
inconvenience,"n. 不便, 困难
vt. 使感不便, 使感困难"
compensation,"n. 补偿, 赔偿金, 工资
"
negligence,"n. 疏忽, 粗心大意, 忽视
"
negotiate,"vi. 商议, 谈判, 交涉
vt. 谈妥, 转让, 处理"
unintentionally,"adv. 非故意地, 非存心地; 无意之中"
do my utmost to,无
offend,"v. 犯罪, 冒犯, 违反, 进攻"
thoughtless,"a. 欠考虑的, 无深虑的, 轻率的"
humble,"a. 低下的, 谦逊的, 粗陋的
vt. 使...卑下, 降低...地位, 贬抑"
delay,"n. 耽搁, 迟滞
v. 耽搁, 延迟
"
suffer a loss,[法] 遭受损失
take an examination,参加考试
troublesome,"a. 麻烦的, 令人讨厌的"
medical bill,[网络] 医药费；医疗费用；拒绝支付医药费
make-up examination,补考
accept one's apology,无
miss an examination,无
understand one's situation,无
forgive,"vt. 原谅, 宽恕, 免除
"
offer an apology,[法] 赔礼道歉
overlook,"vt. 俯瞰, 远眺, 没注意到
n. 眺望, 俯瞰到的景色"
shoulder the responsibility,[网络] 承担责任；肩负责任；担起责任
assure,"vt. 保证, 使确信, 弄清楚, 担保
"
resign,"vt. 辞职, 放弃, 使顺从
vi. 辞职, 屈从"
merely,adv. 只
withdraw from,"退出, 离开"
current position,本期[流动]财务状况
intention,"n. 意图, 目的, 含义
"
barely,adv. 几乎不
inform,"vt. 通知, 使了解, 使充满
vi. 提供资料, 告发"
promise,"n. 诺言, 约定的事情, 有指望
vt. 允诺, 约定, 预示
vi. 允诺, 有前途, 有指望"
originally,"adv. 本来, 原来, 最初, 就起源而论, 独创地"
night shift,"夜班
"
work environment,[化] 工作环境
support a family,养家煳口
professional skill,专门技术
corporate welfare,〈美〉公司义务福利制
career objective, 求职目标， 职业目标
promotion channel,无
in line with,符合
resignation,"n. 辞职, 辞呈, 听从
"
spare time,n. 消遣时间; 闲空; 余; 工余
expectation,"n. 期待, 指望, 展望
"
extra work,"[经] 加班, 加工"
low salary,无
livelihood,"n. 生计, 营生, 生活"
staff training,馆员训练
approve,"vt. 赞同, 核准, 为...提供证据
vi. 赞许"
personal reasons, 个人原因
colleague,"n. 同事, 同僚"
strongly support,无
permanently,"adv. 永久, 不变, 持久
"
other relevant industries,无
recommend,"vt. 推荐, 介绍, 劝告, 使受欢迎, 托付
"
prominent,"a. 卓越的, 显著的, 突出的, 凸出的"
competent,"a. 能干的, 胜任的, 有效的, 足够的
"
wonderful program,无
proficiency,"n. 精通, 熟练, 精练"
experienced,"a. 富有经验的, 老练的, 熟练的"
meticulous,"a. 一丝不苟的, 精确的, 过细的"
consistent with, 与某事物并存[一致]
initiative spirit,无
excellent graduate,无
extraordinary,"a. 非常的, 特别的, 非凡的
"
endorsement,"n. 支持, 认可, 背书
"
sincerity,"n. 诚实, 真实, 诚心诚意"
qualification certificate,[经] 资格证书
first choice,首选
suitable for the post,无
preference,"n. 偏爱, 优先, 喜爱物
"
unique experience,无
knowledgeable,"a. 聪明的, 有知识的"
self-motivated,"adj. 自我激励的；自我勉励的；主动的
"
employment standard,无
without reservation,[法] 无保留
excellent staff,无
make great contribution,无
highest recommendation,无
break new ground,开创新局面
aptitude,"n. 资质, 才能, 自然倾向
"
with reference to,"关于
"
congratulate,"vt. 祝贺, 庆贺"
prize-winner,n. 得奖者
promotion,"n. 晋级, 创建, 增进
"
celebration,"n. 庆祝, 庆典"
win recognition,无
a promising future,无
come a long way,"远道而来;取得进展,明显好转"
champion,"n. 冠军, 拥护者, 战士
vt. 保卫, 拥护
a. 优胜的"
graduation,"n. 毕业, 得学位, 分划, 刻度, 分等级
"
tough training,无
rewarding,"a. 有益的, 有报酬的, 报答的"
achieve further success,无
come true,"实现, 成为事实"
remarkable achievement,无
holder of a grant,奖学金获得者
take pride in,以...为傲
rival,"n. 对手, 竞争者
a. 竞争的"
get the better of,"战胜, 在...中占上风"
never say die,"别气馁, 不要失望"
at the news of,无
honorable,"a. 值得尊敬的, 荣耀的, 高贵的"
arduous journey,无
extol,"vt. 颂扬, 称赞, 吹捧"
pave the way to,为...铺平道路
at all cost,不惜任何代价
Good news travels fast!,无
complain,"v. 抱怨, 抗议, 控诉"
complaint,"n. 诉苦, 抱怨, 控诉
"
accommodation,"n. 膳宿, 预订铺位, 适应性调节, 调和, 贷款
"
improper packing,包装不良
after-sale service, [计]售后服务
give due attention,无
replacement,"n. 归还, 更换, 代替者
"
delivery,"n. 递送, 交付, 分娩, 交货, 引渡
"
refund one's postage,无
suffer a great loss,无
put up with,"忍受, 容忍
"
discontent,n. 不满
torture,"n. 拷问, 苦闷
vt. 拷问, 曲解, 折磨, 使弯曲"
expired food,无
take legal action,[法] 起诉
sustain,"vt. 承受, 支持, 供养, 继续, 忍受, 蒙受, 证实, 准许
"
satisfying answer,无
abominable,"a. 讨厌的, 令人憎恶的"
conduct investigation,无
invoice,"n. 发票, 发货单
v. 开发票, 记清单"
expiration date,"[经] 有效期限, 截止日期"
reoccurrence,"重现
复发"
freight,"n. 船货, 运费, 货运
vt. 装货, 使充满, 以货运运送, 租(或出租)(船等)"
transport company,"[经] 运输公司, 转运公司"
improve the situation,无
remedy,"n. 药物, 治疗法, 治疗, 补救, 赔偿
vt. 治疗, 补救, 矫正, 改善, 修补, 修缮"
corresponding,"a. 相当的, 一致的, 通信的
"
out of my expectation,无
jerry-built project,无
reserve one's right to,无
notice,"n. 注意, 布告, 通知, 预告, 短评
vt. 注意, 通知, 评论, 提及, 关注
vi. 注意"
patronize,"vt. 保护, 支援, 赞助, 庇护, 惠顾"
business hours,[经] 营业时间
priority,"n. 优先权, 优先
"
qualification,"n. 资格, 条件, 限制
"
conference notice,无
cancel,"n. 取消, 撤消, 盖销(邮票)
vt. 取消, 删去, 抵销, 盖销
vi. 相互抵销
"
undetermined,"a. 未经决定的, 未确定的, 性质未明的, 形式未定的, 缺乏决断力的
"
further notice,另行通知
attendee,"[计] 出席人, 参加者, 被照顾者, 被服务者"
punctually,"adv. 守时地, 按期地, 准时地, 正确地, 精确地"
opening ceremony,开幕式
contact,"n. 联系, 交际, 熟人, 接触
vi. 接触, 联系
vt. 使接触"
active participation, 主动参与
hold,"n. 把握, 把持力, 柄, 控制, 掌握, 监禁
vt. 保存, 握住, 拿住, 占据, 持有, 拥有
vi. 支持, 持续, 有效
n. 保留
"
discount,"n. 折扣, 贴现率
vt. 打折扣
vi. 贴现"
recruit volunteer,无
temporarily,"adv. 暂时, 一时, 临时"
removal notice,无
relevant experience, 相关工作经验
location,"n. 位置, 场所, 特定区域
"
preside over,"负责, 主持"
delegate,"n. 代表
vt. 委派...为代表"
lecture,"n. 演讲, 谴责, 讲稿
vt. 演讲, 训诫, 说教
vi. 讲演"
main information,无
Office of the President,[法] 总统府
political meeting,政治会议
concluding marks,无
take down,"na. 扯下；卷起；记下；卸下
"
Student Union,学生会
hail as,"v. 欢呼为
"
consumer preferences,消费者偏好
accelerate,"v. 加速, 促进"
realize,"vt. 了解, 实现, 使显得逼真, 变卖
vi. 变卖"
supplement,"n. 补充物, 增刊, 补充, 补遗, 补编, 附录, 补角
vt. 补充, 增补"
couple with, 与…连接在一起
by virtue of,"依靠, 由于
"
sovereignty,"n. 主权, 独立国
"
roll out,"铺开, 洪亮地讲出
"
upgrade,"n. 上坡, 升级, 上升
adv. 往上
vt. 使升级, 提升, 改良品种
vi. 升级
"
distinct from,adj. 不同于N
be instrumental in,[网络] 在某方面起到关键作用；在某方面起作用
defect,"n. 缺点
"
engulf,"vt. 卷入, 吸进, 吞没, 使全神贯注"
breed,"n. 种类, 品种
v. 养育, 引起, 饲养, 繁殖"
composition,"n. 作文, 创作, 组成
"
divergent,"a. 有分歧的
"
indomitable,"a. 不屈服的, 不屈不挠的"
readily,"adv. 迅速地, 轻易地, 乐意地"
relentlessly,"adv. 不仁慈, 严酷, 无情, 坚韧, 不懈, 不屈不挠"
frustration,"n. 挫折, 顿挫
"
pessimistic,"a. 悲观的, 厌世的, 悲观主义的"
catastrophe,"n. 大灾难, 大祸
"
cowardice,n. 懦弱
ingredient,"n. 成分, 因素
"
hinge on,"靠...转动, 以...为转移"
strive for,"奋斗, 争取"
oppress,"vt. 压迫, 压抑, 使烦恼"
cornerstone,"n. 奠基石, 基础"
reap,"vt. 收割, 收获, 获得
vi. 收割, 得到报应"
exhaustless,"a. 无穷尽的, 用不完的"
boil down,"na. 熬干；熬稠；煮干
"
burning,"a. 燃烧的, 象燃烧一样的
n. 烧, 燃烧"
impair,"vt. 损害, 减少, 削弱
"
premise,"n. 前提, 房屋连地基, 上述各项
vt. 预先提出, 引出, 作为...的前提
vi. 作出前提"
distinguished,"a. 卓著的, 著名的"
nutrient,"a. 营养的, 滋养的
n. 营养物, 滋养物"
supernormal,"a. 非凡的, 异于寻常的
"
pseudo proposition,[网络] 伪命题；此句为伪赝命题；假陈述
pass away,"去世, 停止, 离去, 消逝"
go after,"追逐, 追求"
complicated,"a. 复杂的
"
extol,"vt. 颂扬, 称赞, 吹捧"
nurture,"n. 养育, 营养物, 培育
vt. 养育, 供给营养物, 教养"
aggressive,"a. 侵略的, 挑畔的, 进取的
"
purport,"n. 意义, 要旨, 目的
vt. 意味着, 声称, 打算"
deliberation,"n. 熟虑, 熟思, 审议
"
harvest,"n. 收获, 成果, 收获物, 收获期
v. 收割, 收获"
enthusiastic,"a. 狂热的, 热心的, 热烈的"
enterprising,"a. 有魄力的, 有进取心的, 有事业心的"
liberty,"n. 自由, 特权, 许可, 冒失
"
implementation,"n. 安装启用, 实行, 履行
"
boost,"n. 推进, 吹捧
vt. 推进, 提高, 宣扬, 促进"
mitigate,"vt. 温和, 缓和, 减轻
"
joint,"n. 连接处, 接合, 关节
a. 共同的, 联合的, 连接的, 合办的
vt. 连接, 接合, 使有接头
vi. 贴合, 长节"
Golden Week,[网络] 黄金周；国庆黄金周；黄金周与假日经济
domestic tourism market,无
congestion,"n. 拥挤, 充血
"
boom,"n. 繁荣, 隆隆声
vi. 急速发展, 发隆隆声
vt. 使兴旺, 发隆隆声"
complicated,"a. 复杂的
"
to some extent,在某种程度上
ponder,"v. 沉思, 考虑"
road tolls,无
presumably,"adv. 推测上, 大概"
coexistence,"n. 共存, 和平共处, 并立"
contradictory,"a. 反驳的, 反对的, 抗辩的
n. 矛盾因素, 对立物"
suspend,"vt. 悬, 吊, 使悬浮, 暂停, 中止, 推迟
vi. 暂停, 中止, 悬浮, 停止偿付债务
"
do push-ups,无
harmonious,"a. 和睦的, 调和的, 和谐的, 协调的"
enrolment,"n. 登记, 注册, 入伍, 入学, 入会, 注册人数, 入学人数"
forthcoming,"a. 即将来临的
n. 来临"
inflation,"n. 胀大, 夸张, 通货膨胀
"
maximize,"vt. 取...最大值, 使增加(或扩大)到最大限度
"
render,"vt. 回报, 给于, 付给, 汇报, 提出, 舍弃, 反映, 表示, 表演, 致使, 执行, 实施
vi. 给予补偿
n. 交纳, 打底"
breadth,"n. 宽度
"
recruitment,"n. 新兵征召
"
diploma,"n. 文凭, 毕业证书
"
eligible,"a. 有资格当选的, 合格的
n. 有资格者, 合格者, 适任者"
integrate,"vt. 综合, 使完整, 使成整体
vi. 成一体
a. 完整的, 完全的"
notably,"adv. 显著地, 著名地, 尤其, 特别"
direct property loss,无
pedestrian,"n. 行人, 步行者
a. 人行的, 徒步的, 呆板的, 通俗的, 平淡无奇的"
incur,"vt. 招致, 蒙受, 遭遇
"
fundamental,"n. 基本原理, 原则, 基波
a. 基本的, 重要的, 原音的"
punitive,"a. 刑罚的, 惩罚性的
"
jaywalking,"n. 走路不遵守交通规则
v. 擅自穿越马路( jaywalk的现在分词 )"
chaotic,"a. 混乱的, 无秩序的
"
a ticking time bomb,无
disregard,"n. 忽视, 漠视
vt. 忽视, 不顾"
deter,"vt. 制止, 吓住, 威慑"
rampancy,"n. 猖獗, 蔓生
"
substantial,"n. 重要材料(或事物), 有实际价值的东西
a. 实质上的, 物质的, 有内容的, 结实的"
adherence to,[网络] 遵守；对…的坚持；以前适用的争端解决原则
witness,"n. 证人, 目击者, 证据, 证词
vt. 目击, 作证, 证明, 表明
vi. 作证人, 作为证据"
master,"n. 主人, 硕士, 大师, 母机
a. 主人的, 主要的
vt. 征服, 控制, 精通"
apparently,"adv. 表面上, 清楚地, 显然地"
indicate,"vt. 显示, 象征, 指示, 指出
"
distribution,"n. 分配
"
enroll,"vt. 登记, 使加入
vi. 参军, 注册"
continuously,"adv. 不断地, 连续地
"
bachelor,"n. 单身汉, 学士
"
undergraduate,"n. 大学本科生, 大学肄业生
a. 大学生的"
desirable,"a. 令人想望的, 可取的"
academic,"a. 学院的, 学术的, 不切实际的
n. 大学生, 大学教师, 学者, 学会会员"
adverse,"a. 不利的, 敌对的, 相反的, 逆的
"
prerequisite,"a. 先决条件的, 必要的
n. 先决条件, 必备条件"
around the corner,"在拐角处, 在附近, 即将来临"
crucial,"a. 决定性的, 重要的, 严厉的
"
supreme,"n. 至高, 霸权
a. 至高的, 终极的, 极端的, 最大的"
simultaneously,"adv. 同时发生, 一齐, 同时, 同时存在"
beneficial,"a. 有益的, 受益的
"
cognitive,"a. 认知的, 认识的"
hazard,"n. 冒险, 危险, 机会
vt. 冒...的危险, 赌运气, 使冒危险
"
facilitate,"vt. 使容易, 促进, 帮助
"
reign,"v. 为王，为君；当政；统治
n. 为王，为君；当政；统治"
blessing,n. 祝福
curse,"n. 咒骂, 诅咒
vt. 诅咒, 咒骂"
exert,"vt. 发挥, 运用, 施以影响
"
fraud,"n. 欺骗, 欺诈, 诡计, 骗子
"
interactive platform,无
outweigh,"vt. 比...重, 比...重要, 比...有价值"
surge,"n. 巨涌, 汹涌, 澎湃
vi. 汹涌, 澎湃, 颠簸, 猛冲, 突然放松
vt. 使汹涌奔腾, 急放
"
mushroom,"n. 蘑菇形物, 蘑菇, 暴发户
vi. 迅速生长, 迅速增加, 采蘑菇
a. 蘑菇形的, 迅速生长的"
ubiquitous,"a. 无所不在的, 到处存在的, 普遍存在的"
inevitable,"a. 不可避免的, 必然的
"
negligible,"a. 可以忽略的, 不足取的, 无用的
"
unimaginable,"a. 不能想象的, 不可思议的"
profound,"a. 极深的, 深厚的, 深刻的, 渊博的"
far-reaching,adj. 影响深远的; 有广泛影响的
luxury,"n. 奢侈, 豪华
a. 奢侈的, 豪华的"
saturation,"n. 饱和, 渗透, 浸透, 色饱和度
"
forthcoming,"a. 即将来临的
n. 来临"
utilization,"n. 利用
"
tenfold,"a. 十倍的, 十重的
adv. 十倍地, 十重地"
denying,v. 拒绝( deny的现在分词 ); 拒绝承认; 拒绝…占有; 否认知情
lost ground,"un. 处于劣势的
"
rout,"n. 溃败, 大败, 乌合之众, 盛大晚会
vt. 使溃败, 使败逃, 打垮, 用鼻拱, 挖起, 搜, 唤起
vi. 用鼻拱地, 搜"
contender,"n. 参赛者, 争论者, 斗争者, 竞争者"
eliminate,"vt. 除去, 排除, 剔除, 消除"
endeavor,"n. 努力, 尽力
vi. 努力, 尽力"
claim,"n. 要求, 要求权, 断言, 权利
vt. 要求, 认领, 主张
vi. 提出要求, 主张, 断言"
irreplaceable,"a. 不能调换的, 不能代替的
"
unremitting,"a. 不懈的, 不断的, 坚忍的, 持续的
"
swing,"n. 摇摆, 振幅, 音律, 节奏, 涨落, 秋千, 旋转, 行动自由
vi. 摇摆, 悬挂, 旋转, 大摇大摆地走, 转向
vt. 挥舞, 使旋转, 使转向, 悬挂, 吊运
a. 旋转的, 悬挂的, 强节奏爵士音乐的"
rival,"n. 对手, 竞争者
a. 竞争的"
counterpart,"n. 副本, 复本, 配对物, 相应物
"
affluent,"a. 丰富的, 富裕的
n. 支流, 富人"
alternative,"n. 两者择一, 供替代的选择
a. 两者择一的, 供选择的
"
surge,"n. 巨涌, 汹涌, 澎湃
vi. 汹涌, 澎湃, 颠簸, 猛冲, 突然放松
vt. 使汹涌奔腾, 急放
"
thought-provoking, 发人深省的
content,"n. 内容, 满足, 意义, 要旨
a. 满足的, 满意的
vt. 使...满足, 使...安心
"
distract,"vt. 转移, 分心, 使发狂"
fringe benefit,n. 额外福利
possess,"vt. 持有, 占有, 拥有, 克制, 支配, 迷住
"
statistics,"n. 统计学, 统计资料
"
a wealth of,"丰富的,大量的…"
enterprise,"n. 企业, 事业心, 进取心, 干事业
"
plausible,"a. 貌似真实的, 貌似合理的, 说得煞有其事的
"
imperative,"n. 命令, 必要的事, 规则, 祈使语气
a. 命令式的, 急需的, 势在必行的, 强制的"
slightly,"adv. 些微地, 苗条地"
edge,"n. 边缘, 尖锐, 刀刃, 优势
vt. 使锐利, 挤进, 镶边
vi. 缓缓移动"
steep,"n. 浸渍, 悬崖
a. 险峻的, 陡峭的, 急剧升降的, 夸大的
v. 浸, 泡"
stand sb. in good stead,[网络] 对你有好处
render,"vt. 回报, 给于, 付给, 汇报, 提出, 舍弃, 反映, 表示, 表演, 致使, 执行, 实施
vi. 给予补偿
n. 交纳, 打底"
alleviate,"vt. 减轻, 使缓和"
apparently,"adv. 表面上, 清楚地, 显然地"
desirous,"a. 想要的, 想望的, 渴望的"
solid,"n. 固体
a. 坚硬的, 稳固的, 固体的, 实心的, 纯质的, 立体的, 立方的
"
optimal,"a. 最佳的, 最理想的
"
make ends meet,"量入为出,使收支相抵"
strike a balance,"结帐, 公平处理
"
make out,"na. 理解；发现；起草；证明
"
priority,"n. 优先权, 优先
"
cognition,"n. 认识, 认识力, 认识的结果
"
component,"n. 元件, 组件, 成分
a. 组成的, 构成的
"
demographic,"a. 人口统计的
"
rural,"a. 乡下的, 田园的, 乡村风味的
"
urbanization,"n. 都市化
"
surplus,"n. 剩余, 过剩, 盈余
a. 过剩的, 剩余的"
mechanization,"n. 机械化, 机动化
"
propel,"vt. 推进, 驱使
"
traffic congestion,"[计] 通信量拥挤, 信息量拥挤, 交通拥塞"
prudent,"a. 审慎的, 三思而后行的, 精明的, 节俭的"
aggregation,"n. 集合, 聚合, 集合体
"
render,"vt. 回报, 给于, 付给, 汇报, 提出, 舍弃, 反映, 表示, 表演, 致使, 执行, 实施
vi. 给予补偿
n. 交纳, 打底"
urban,"a. 都市的, 住在都市的, 习惯于都市的
"
skyrocket,"vi. 飞涨, 突升
n. 焰火"
surface,"n. 面, 表面, 水面, 外表, 平面
a. 表面的, 外观的, 肤浅的, 水面上的
vt. 使成平面, 使浮出水面
vi. 浮出水面, 呈现, 在地面上工作"
displace,"vt. 移置, 替换, 转移"
earn a living,"谋生,挣钱,自食其力"
apart from,除了...之外
in the light of,"由于, 当作
"
inflow,"n. 流入, 流入物"
implementation,"n. 安装启用, 实行, 履行
"
contradiction,"n. 反驳, 矛盾
"
consumption,"n. 消费, 消费量, 痨病
"
etiquette,"n. 礼仪, 礼节, 成规
"
courteous,"a. 彬彬有礼, 谦恭的"
irrational,"n. 无理数
a. 无理性的, 不合理的"
kith and kin,"骨肉,亲属,同胞;亲朋"
epidemic,"n. 传染病, 流行病
a. 流行的, 传染性的"
keep alert,无
take the lion's share,无
mutually,"adv. 互相地, 互助"
lubricant,"a. 润滑的
n. 润滑物, 润滑油, 润滑剂"
intercourse,"n. 交往, 交流
"
affirmation,"n. 肯定, 断言, 证实
"
embodiment,"n. 具体化, 化身"
endorse,"vt. 支持, 赞同, 背书于, 签署
"
category,"n. 种类, 类项
"
be attributed to, 归于
botany,"n. 植物学
"
archaeology,n. 考古学
be conducive to,"对…有帮助,有益于…"
exceedingly,"adv. 极端地, 极度地, 非常"
alleviation,"n. 减轻, 缓和, 镇痛物
"
pick up,"v. 拾起；探出；重新开始
"
zoology,"n. 动物学, 动物区系
"
pressurize,"vt. 迫使, 使增压, 密封, 使耐压
"
ponder over,"考虑,思考,思索"
suppress,"vt. 镇压, 使止住, 禁止, 抑制, 查禁
"
subsistence,"n. 生存, 生活
"
preferential policy, 优惠政策；优惠证
conduce to,"导致, 有助于"
synchronous,"a. 同时的, 同步的
"
national cohesion,无
demonstrate,"vt. 示范, 证明
vi. 示威"
allure,"vt. 引诱, 吸引
n. 魅力, 诱惑力"
on balance,"总而言之
"
go after,"追逐, 追求"
stimulate,"vt. 刺激, 激励, 鼓舞
vi. 起刺激作用"
witness,"n. 证人, 目击者, 证据, 证词
vt. 目击, 作证, 证明, 表明
vi. 作证人, 作为证据"
undertaking,"n. 事业, 企业, 保证
"
prosperity,"n. 繁荣, 茂盛, 成功
"
in conjunction with,与...协力
preferred,"a. 首选的
"
foreshadow,"vt. 成为前兆, 预示"
illustrate,"vt. 举例说明, 作图解, 阐明
vi. 举例说明"
respectively,"adv. 各自地, 独自地, 个别地, 分别地"
landscape,"n. 风景, 山水, 风景画
vi. 从事景观美化
vt. 美化...景观
"
customization,"[计] 定制, 定型, 专用化, 用户化"
be inclined to,"倾向于..., 有...的趋势"
account for,对…负有责任；对…做出解释；说明……的原因；导致；（比例）占
significantly,adv. 值得注目地；意味深长地
embrace,"n. 拥抱
vt. 拥抱, 互相拥抱, 包含, 收买
vi. 拥抱"
proportion,"n. 比例, 比率, 均衡, 部分, 面积
vt. 使成比例, 使均衡"
in summary,总之
distinct,"a. 清楚的, 显著的, 不同的"
qualified,"a. 有资格的
"
broaden one's horizons, 开阔眼界，扩大兴趣、活动范围和知识面
engage in sth.,"使从事于, 参加"
career-oriented,adj. 与将来的事业相关的
vocational,"a. 职业的
"
ultimately,"adv. 最后, 最终
"
get the ball rolling,"开个头,使开始,使展开"
surge,"n. 巨涌, 汹涌, 澎湃
vi. 汹涌, 澎湃, 颠簸, 猛冲, 突然放松
vt. 使汹涌奔腾, 急放
"
notably,"adv. 显著地, 著名地, 尤其, 特别"
mass entrepreneurship,无
undertaking,"n. 事业, 企业, 保证
"
competence,"n. 胜任, 职称, 能力
"
manpower,"n. 人力
"
an appeal for sth.,无
at a loss,"困惑, 亏本地"
killing time,[网络] 杀戮时刻；杀时间；消磨时间
microblog, 微博
accessible,"a. 易接近的, 可进入的, 可使用的, 易受影响的, 可理解的"
interactive,"a. 相互作用的, 相互影响的
"
explicitly,adv. 明确地；明白地
entertainment,"n. 娱乐, 款待, 娱乐表演"
maximize,"vt. 取...最大值, 使增加(或扩大)到最大限度
"
bulky,"a. 庞大的
"
characteristic,"n. 特性, 特征, 特色
a. 特性的, 特有的, 有特色的
"
