time-out,n. [体]暂停比赛时间; [计]超时
life-threatening,a. 威胁生命的
worsen,"vt. 使更坏, 使恶化
vi. 变得更坏, 恶化"
identify,"vt. 识别, 认为...等同于, 确定, 使参与
vi. 一致, 认同"
nature,"n. 自然, 大自然, 本性, 性格, 性质
"
dispatcher,"n. 发送者, 配车员, 调度员
"
hang,"n. 悬挂, 诀窍, 意义
vt. 悬挂, 附着, 装饰, 垂下, 踌躇, 绞死, 使悬而未决
vi. 悬着, 垂下, 被绞死, 悬而不决"
reassure,"vt. 使...安心, 向...再保证
"
patient,"n. 病人, 承受者
a. 忍耐的, 容忍的, 有耐性的, 坚忍的"
absolutely,"adv. 完全地, 绝对地, 确确实实地"
prevent,"v. 预防, 防止, 阻止, 妨碍"
injury,"n. 伤害, 侮辱
"
CPR,[计] Corel提供说明书文件
elevate,"vt. 举起, 提拔, 鼓舞"
splint,"n. 薄木片, 细木梗, 夹板, 薄金属片
vt. 用夹板固定"
immobilize,"vt. 使不动, 使固定, 使不能移动
"
bone,"n. 骨头, 骨, 骨制品
vt. 剔骨
vi. 专心致志"
procedure,"n. 程序, 过程, 手续
"
take action,"采取行动, 提出诉讼"
call for,"叫(某人)来, 要求, 为...叫喊, 为...叫"
keep one's cool,"保持镇静, 保持自制力"
turn away,"v. 转变方向
"
in general,大多数
identify oneself,说出〔证明〕自己的身份
hang up,"v. 挂断电话；挂机；悬挂；耽搁
"
EMT,[网络] 紧急救护技术员；特技管理工具；居然
unconscious,"a. 未意识到的, 无意识的, 无知觉的
"
stare,"vi. 注视, 凝视, 瞪视, 显眼
vt. 盯
n. 凝视"
helplessly,adv. 无能为力地；无助地
kick,"n. 踢, 反冲, 后座力, 凹底
vi. 踢, 反抗, 反冲
vt. 踢, 反冲"
gear,"n. 齿轮, 工具
vt. 以齿轮连起, 开动, 使适应, 安排
vi. 连接上, 适合"
carotid,"n. 颈动脉
a. 颈动脉的"
artery,"n. 动脉, 干道, 要道
"
cardiopulmonary,"a. 心肺的
"
respiration,"n. 呼吸, 一口气, 呼吸作用
"
compress,"vt. 压缩, 压紧
vi. 受压缩小
"
manually,adv. 用手
pump,"n. 抽水机, 打气筒, 泵, 抽吸
vt. 用唧筒抽水, 打气, 盘问, 倾注, 使疲惫
vi. 抽水, 上下(或往复)运动"
compression,"n. 压缩, 压紧
"
breath,"n. 呼吸, 气息, 瞬间
"
essence,"n. 实质, 本质, 香精
"
oxygen,"n. 氧
"
lung,"n. 肺, 肺脏, 空地
"
rotation,"n. 旋转, 循环, 轮流
"
stretcher,"n. 担架, 延伸器
"
scissors,"pl. 剪刀
"
pants,"n. 裤子, 长裤, 短衬裤, 女式运动短裤"
naked,"a. 裸体的, 无装饰的, 无保护的, 赤贫的
"
reality,"n. 实在, 事实, 实体, 逼真
"
trigger,"n. 触发器, 扳机
vt. 触发, 发射, 引起
vi. 松开扳柄
"
adrenalin,"n. 肾上腺素
"
rush,"n. 匆促, 冲进, 急流, 灯心草
vi. 冲, 奔, 闯, 赶紧, 匆促行事, 涌现
vt. 使冲, 匆忙地做, 突袭, 飞跃, 用灯心草做
a. 紧急的"
intense,"a. 非常的, 强烈的, 紧张的, 热情的
"
concentration,"n. 集中, 专心
"
mumble,"n. 喃喃而语, 咕哝
v. 喃喃而语, 咕哝"
heavily,"adv. 很重地, 严重地, 难以忍受地"
rub,"n. 摩擦, 困难, 障碍, 磨损处
vt. 擦, 搓, 摩擦, 惹怒
vi. 摩擦, 擦破"
sternum,"n. 胸骨, 胸片, 胸板
"
pinch,"n. 捏, 拧, 撮, 少量, 收缩, 挤压, 夹痛, 苦恼, 逮捕, 指控, 匮乏, 紧急关头
vt. 捏, 拧, 掐, 挤压, 修剪, 使困苦, 使萎缩, 节制, 少量加入, 逮捕, 勒索
vi. 收缩, 节省, 挤压, 引起苦恼"
toe,"n. 足趾, 趾部, 脚趾
vt. 以趾踏触, 用脚尖走
vi. 动脚尖"
shake,"n. 摇动, 震动
vt. 摇动, 动摇, 使震动, 挥舞
vi. 震动, 发抖, 动摇"
shaken,shake的过去分词
groan,"n. 呻吟, 叹息
vi. 呻吟, 抱怨, 受压迫
vt. 呻吟地说"
bag-mask,无
apparatus,"n. 装置, 器具, 器官
"
artificially,"adv. 人工地, 人为地, 不自然地"
biology,"n. 生物学
"
intervention,"n. 插入, 介入, 调停
"
hands-on,实习的；亲自动手的
practical,"a. 实际的, 现实的, 实用性的
"
basis,"n. 基础, 主要成分
"
backboard,"n. 后挡板, 背板, 脊骨矫正板, 篮板"
bandage,"n. 绷带
"
spinal,"a. 针的, 尖刺的, 尖刺状突起的, 脊骨的
"
immobilization,"n. 固定, 使停止流通
"
aspirin,"n. 阿斯匹林
"
uplifting,"a. 令人振奋的; 使人开心的
v. 举起(uplift的现在分词)"
witness,"n. 证人, 目击者, 证据, 证词
vt. 目击, 作证, 证明, 表明
vi. 作证人, 作为证据"
colleague,"n. 同事, 同僚"
potential,"n. 潜在性, 可能性, 潜力, 潜能, 势, 位
a. 有潜力的, 可能的, 潜在的"
traumatic,"a. 外伤的, 创伤的
"
react,"vi. 起反应, 起作用, 反攻
"
lifestyle,n. 生活方式
adequate,"a. 适当的, 足够的
"
nutritious,"a. 滋养的, 营养的
"
certification,"n. 证明
"
possibility,"n. 可能性, 可能的事
"
retain,"vt. 保持, 保有, 留住, 记得, 付定金聘请
"
throughout,"adv. 到处, 贯穿全部地, 自始至终
prep. 遍及, 在各处
"
on-campus,在校内
fulfilling,a. 能实现个人抱负的；令人高兴的；令人满意的
worthwhile,"a. 值得花时间的, 值得做的, 有真实价值的"
anything like,"像…的东西;几乎,将近,差不多;全然,根本"
kick into gear,无
get into gear,"开动机器,着手工作;适应工作条件"
in essence,"本质上, 实质上
"
all in a day's work,无非是日常生活的一部分
before I knew it,无
in charge of,"负责..., 管理..., 主管..., 掌管..., 看管..., 在...掌管/看管之下"
on a regular basis, 经常; 例行的; 有规律的
pass away,"去世, 停止, 离去, 消逝"
it's only a matter of time,无
it's just a matter of time,无
lay out,"n. 布局；设计；规划；安排
"
right now,就在此时
go for it, 放手向前，努力争取
passion,"n. 激情, 酷爱, 热爱, 强烈感情, 耶稣受难(故事)"
strategy,"n. 战略, 策略
"
fit,"n. 适宜, 合身, 发作, 痉挛
a. 适宜的, 对的, 准备好的
vt. 适合, 安装, 使合身, 使适应, 使合格
vi. 适合, 符合, 合身
"
value,"n. 价值, 价格, 购买力, 评价, 估价, 计算结果
vt. 评价, 估价, 重视
"
administrative,"a. 管理的, 行政的
"
assistant,"n. 助手, 助理, 助教
a. 有帮助的, 辅助的, 助理的"
automotive,a. 汽车的
dealership,"n. 代理权, 经销权
"
manager,"n. 经理, 管理员, 管理器
"
controller,"n. 控制器, 管理者
"
bunch,"n. 串, 束
"
salespeople,"n. 售货员,店员"
beef,"n. 牛肉, 肌肉
vt. 养(牛), 宰(牛)
vi. 抱怨, 告发"
interact,"vi. 互相影响, 交互作用
n. 幕间剧, 幕间休息"
co-worker,"n. 共同工作者
"
truth,"n. 事实, 实情
"
bill,"n. 帐单, 清单, 钞票, 鸟嘴, 广告, 法案, 票据
vt. 开帐单, (用招贴)宣布"
examine,"v. 检查, 调查, 考试"
mildly,"adv. 柔和地, 和善地, 适度地"
dislike,"n. 嫌恶
vt. 讨厌, 不喜欢"
claim,"n. 要求, 要求权, 断言, 权利
vt. 要求, 认领, 主张
vi. 提出要求, 主张, 断言"
excite,"vt. 刺激, 使兴奋, 激励"
attitude,"n. 态度, 看法, 姿势
"
miserable,a. 悲惨的；痛苦的；卑鄙的
foolish,"a. 愚蠢的, 傻的"
prefer,"vt. 宁可, 较喜欢, 提出
"
boring,"a. 烦人的, 无聊的, 无趣的
"
psychologist,"n. 心理学家
"
vocational,"a. 职业的
"
investigative,"a. 审查的, 调查的, 好研究的
"
artistic,"a. 艺术的, 艺术家的, 富有艺术性的"
enterprising,"a. 有魄力的, 有进取心的, 有事业心的"
conventional,"a. 传统的, 习惯的, 约定的
"
outdoors,"n. 户外, 野外活动
adv. 在户外, 在野外"
chef,n. 厨师
traffic,"n. 交通, 通行, 运输, 交通量, 贸易, 交易, 交往, 通信量
vi. 交易, 做买卖
vt. 用...作交换
"
carpenter,n. 木匠
explore,"v. 探险, 探测, 探究"
analyze,"vt. 分析, 细察, 分解
"
analyse,"vt. 分析, 细察, 分解
"
programmer,"n. 程序员
"
design,"n. 设计, 图样, 方案, 企图
v. 设计, 计划"
creative,"a. 有创造力的, 创作的, 产生的"
graphic,"a. 生动的, 轮廓分明的, 绘画似的, 图解的
"
graphic designer,n. 美术设计员
musician,"n. 音乐家, 乐师, 作曲家"
interior,"n. 内部, 内政
a. 内部的, 心灵的, 内地的, 内政的"
occupation,"n. 职业, 占有, 占有期, 占领, 占领军
"
politician,"n. 政客, 政治家, 从事党派政治的人
"
accountant,"n. 会计人员, 会计师
"
paralegal,[法] 律师的专职助手
slot,"n. 水沟, 细长孔, 硬币投币口, 缝, 狭槽, 狭通道, 位置, 一档(广播节目等)
vt. 开槽于, 把...纳入机构
"
tendency,"n. 趋向, 倾向
"
pros,n. 赞成者；赞成的意见（pro的复数）
cons,[计] 面向连接的网络服务
plus,"prep. 加上, 加, 外加
a. 正的, 附加的
n. 正号, 加号, 附加额, 正数, 增益
"
diverse,"a. 不同的, 变化多的"
reward,"n. 报酬, 酬谢, 赏金
vt. 奖赏, 酬谢, 给...应有报应"
beyond,"prep. 超过, 在那一边, 迟于
adv. 在远处
n. 更远处"
host,"n. 主人, 旅馆老板, 节目主持人
vt. 当主人招待, 作...节目主持人
"
real-world, 真实世界
concept,"n. 观念, 概念
"
income,"n. 收入, 收益, 流入
"
checkbook,n. 支票簿
tax,"n. 税, 税款, 重负, 会费
vt. 课以税, 使负重荷, 斥责"
withholding,n. 扣缴税款
nursery,"n. 托儿所, 苗圃, 温床
"
day-care,n. （托儿所的）日托; 日间护理
expose,"vt. 使暴露, 使曝光, 揭穿, 陈列
"
range,"n. 排, 行, 山脉, 范围, 行列, 射程
vt. 排列, 归类于, 使并列, 放牧
vi. 平行, 延伸, 漫游
"
background,"n. 背景, 背景资料
"
exposure,"n. 暴露, 揭发, 揭露
"
challenge,"n. 挑战, 盘问
vt. 向...挑战, 要求, 怀疑
vi. 挑战, 对(证据等)表示异议"
downside,n. 底侧；下降趋势
wrinkle,"n. 皱纹, 妙计, 方法, 技巧
vi. 起皱
vt. 使起皱纹"
daily,"a. 每日的, 日常的
adv. 每日地, 日常地
n. 日报"
conflict,"n. 战斗, 冲突, 矛盾, 争执
vi. 争执, 战斗, 冲突, 抵触
"
shift,"n. 变化, 移动, 轮班, 手段, 应急办法, 移位
vt. 替换, 转移, 改变, 推卸, 变速
vi. 转换, 移动, 转变, 推托, 变速
"
bound,"n. 跃, 回跳, 范围, 边界
a. 受约束的, 装有封面的, 有义务的, 关联的, 被束缚的, 准备去...的, 便秘的
vi. 跳跃, 弹起
vt. 使跳, 限制, 形成...的疆界
bind过去式和过去分词
"
convenient,"a. 方便的, 合宜的
"
position,"n. 位置, 地位, 身分, 形势, 姿势, 立场, 职位, 状态, 阵地
vt. 安置, 决定...的位置
"
repetitive,"a. 重复的, 反复性的"
accumulate,"v. 积聚, 堆积"
substantial,"n. 重要材料(或事物), 有实际价值的东西
a. 实质上的, 物质的, 有内容的, 结实的"
minimum-wage,[经] 最低工资
law,"n. 法律, 法则, 定律, 法律的制约, 法学, 司法界, 诉讼
v. 起诉"
category,"n. 种类, 类项
"
lottery,"n. 奖券, 彩票, 运气
"
ensure,"vt. 确定, 保证, 担保, 保护
"
extracurricular,"a. 课外的, 业余的"
hop,"n. 单脚跳, 跳跃, 舞会, 飞行
vi. 单脚跳, 跳跃
vt. 跃过, 跳上, 加蛇麻子于, 服麻醉药
"
aggravate,"vt. 使恶化, 使更严重, 加重"
employer,"n. 雇主, 老板
"
reluctant,"a. 不情愿的, 勉强的
"
earnings,"n. 所赚的钱, 工资, 收入
"
paycheck,"n. 付薪水的支票, 薪水"
anywhere,adv. 无论何处
a bunch of,"一束,一串,一群"
no way,"无论如何也不,决不"
pros and cons,n. 利弊; 正反两方面; 优缺点; 赞成和反对的理由
a host of,"许多,一大群"
go into,"进入, 加入, 探究, 变得, 进入...状态
"
down the road,[网络] 只要沿着这条路；将来；在路上
chances are,[网络] 再世俏郎君；有可能；很有可能
hold down,"na. 压制；牵制；阻止；压低(物价等)
"
get sb. down,"na. 开始认真对待；落下；下车；写下
"
start out,"出发, 动身"
count on,"依靠, 指望"
criticism,"n. 批评, 评论, 非难
"
personally,"adv. 亲自地, 个别地, 当面, 就本人而言, 针对个人地"
comment,"n. 注解, 批评, 评论, 备注
vi. 评论, 注解
"
sting,"n. 叮, 刺痛, 刺激, 讽刺
vt. 叮, 刺痛, 刺激, 使苦恼
vi. 叮, 刺痛"
defensive,"a. 防卫的, 防备用的, 自卫的
n. 守势, 防卫姿势, 防卫物"
necessarily,"adv. 必然地, 必须地, 必要地"
ruin,"n. 毁灭, 推翻, 废墟
vi. 毁灭, 衰败, 破坏, 破产, 堕落
vt. 使毁灭, 毁坏, 使破产"
praise,"n. 赞美, 称赞, 崇拜
vt. 称赞, 赞美
vi. 赞扬, 表扬"
criticize,"v. 批评, 吹毛求疵, 非难"
correction,"n. 订正, 改正, 改正的地方
"
margin,"n. 页边的空白, 边缘, 界限, 余裕, 差数, 差额, 保证金
vt. 加边于, 加旁注于
"
essay,"n. 随笔, 短文, 评论, 企图
vt. 试图"
tidy,"n. 椅子的背罩, 装杂物的容器
a. 整齐的, 有条理的
vt. 弄整齐, 收拾, 整理
vi. 整理, 收拾"
misfile,vt. 归错文挡
document,"n. 文件, 公文, 文档
vt. 证明, 为...引证
"
express,"n. 快车, 快递, 专使
a. 明确的, 丝毫不差的, 专门的, 快的
vt. 表达, 表示, 表露"
importance,"n. 重要, 重要性, 重要地位, 自大
"
proper,"a. 适当的, 固有的, 高尚的, 专属的
adv. 完全地, 彻底地"
grammar,"n. 语法学, 入门书
"
ease,"n. 安乐, 安逸, 悠闲
vt. 使安乐, 使安心, 减轻, 放松
vi. 减轻, 放松, 灵活地移动"
purpose,"n. 目的, 意向, 决心, 用途, 效果, 论题
vt. 意欲, 企图, 计划"
valid,"a. 有确实根据的, 有法律效力的, 正当的, 正确的
"
constructive,"a. 建设性的, 构造上的
"
motivation,"n. 动机, 刺激, 推动
"
opinion,"n. 意见, 评价, 主张
"
informed,a. 见多识广的
critic,"n. 批评家, 鉴定家"
error,"n. 错误, 过失, 失误, 误差
"
vague,"a. 含糊的, 不清楚的, 茫然的"
exactly,"adv. 确切地, 精确地, 恰好, 完全地, 确实, 恰恰正是, 确实如此"
displease,"v. 使不愉快, 使(人)生气"
clarification,"n. 澄清, 净化
"
rectify,"vt. 订正, 矫正, 改正, 调正, 校正, 精馏, 整流
"
wordy,"a. 罗唆的, 口头的, 多言的"
statistics,"n. 统计学, 统计资料
"
lacking,"a. 缺乏的, 不足的"
conclusion,"n. 结论, 结尾, 推论
"
instinct,"n. 本能, 直觉
a. 充满着的"
defend,"vt. 防护, 辩护, 防卫
"
spectacular,"a. 公开展示的, 惊人的, 壮观的
n. 奇观, 惊人之举, 展览物"
insecure,"a. 不安全的, 不牢靠的, 不坚固的, 不稳定的"
promote,"vt. 促进, 晋升, 创办, 推销
"
deflate,"vt. 放气, 抽出空气, 使缩小
vi. 缩小"
ego,"n. 自我
"
self-esteem, 自尊
ignore,"vt. 不理睬, 忽视, 驳回, 忽略
"
inappropriate,"a. 不适当的, 不相称的"
justified,"a. 有道理的, 合乎情理的
"
take sth. personally,无
not necessarily," 未必, 不一定; 不见得"
would rather do sth. than do sth. else,无
express yourself,[网络] 表现自我；表达你自己；自我表达
with ease,"容易, 不费力"
use sth. to your advantage,无
not cut it,[网络] 不剪它
lacking in,缺少
go off the deep end,"突然发脾气, 暴跳如雷"
count to ten,[网络] 数到十；十；沉静下来
be after," 追赶, 寻找"
explode,"vi. 爆炸, 爆发, 激增
vt. 使爆炸"
folk,"n. 人们, 家人, 亲属, 民族
a. 民间的"
frustrate,"vt. 挫败, 击败, 破坏
a. 无益的, 挫败的, 挫折的"
dampen,"vt. 弄湿, 使沮丧
vi. 变湿, 丧气"
spirits,"n. 情绪, 兴致, 心情, 烈酒, 酒精"
cope,"vi. 竞争, 应付
n. 长袍"
behavior,"n. 行为, 举止
"
behaviour,"n. 行为, 举止
"
effectively,"adv. 有效地, 有力地, 实际上"
hostile,"a. 敌人的, 怀敌意的, 敌对的
n. 敌对分子"
whiner,"n. 哀呜者, 哀诉者, 嘀咕者"
Rx,n. 处方；治疗方案
bully,"n. 欺凌弱小者, 土霸
vt. 威胁, 恐吓, 欺负
vi. 欺负
a. 特好的, 第一流的
adv. 十分"
behave,"vi. 举止端正, 行为规矩
vt. 检点(自己的)行为, 使表现好"
target,"n. 目标, 靶子, 指标
vt. 对准, 订指标"
aggressive,"a. 侵略的, 挑畔的, 进取的
"
consultant,"n. 顾问, 征询意见者
"
emphasize,"vt. 强调, 加强语气, 着重"
reputation,"n. 名誉, 名声, 声望
"
scene,"n. 场, 情景, 镜头, 发生地点, 道具, 布景, 景色
"
improve,"vt. 改良, 提高...的价值, 改善, 利用
vi. 变得更好, 增加"
employee,"n. 职员, 员工, 受雇人员
"
mismanage,"vt. 处置失当, 对...管理不善"
monologue,"n. 独白, 独脚戏, 独白场面, (非正式)(贬)滔滔不绝的话"
gripe,"n. 紧握, 柄, 把手, 控制
vt. 抓紧, 抱住, 使肠痛, 激怒
vi. 肠绞痛, 抱怨"
steam,"n. 蒸汽, 精力
a. 蒸汽的
vi. 蒸发, 行驶, 发怒
vt. 蒸, 煮, 散发"
indefinitely,adv. 无期限地
restate,"vt. 重新叙述, 重申
"
apologize,"vi. 道歉, 辩解"
dump,"n. 垃圾场
vt. 倾倒, 倾销
vi. 倒垃圾, 倾销商品
"
fault,"n. 过错, 故障, 毛病
vt. 挑剔
vi. 产生断层, 弄错
"
interpersonal,"a. 人与人之间的, 人际(关系)的
"
view,"n. 视野, 风景, 见解, 视力, 观看, 视图, 指望, 意图, 印象
vt. 看, 考虑, 视察, 查看, 估量
"
worst of all,最最;特别(最糟糕的是)
cope with,"与...竞争, 应付, 处理"
make no mistake,别搞错
get one's way,"[法] 为所欲为, 遂心所欲"
get one's own way,"独自行动, 自行其事, 一意孤行, 随心所欲, 为所欲为"
stand up to,"经得起..., 勇敢地面对, 抵抗"
run down,"na. 下乡；(钟表等)停止；衰弱；赶上(人,猎物)
"
fix it,〈美口〉处理
be in for sth.,"必定遭到, 参加"
to top it all,"更有甚者, 更奇怪的是, 更糟糕的是"
let off steam,"放掉多余的蒸汽, 花掉多余的精力, 发泄强烈的感情, 发脾气"
dump sth. on sb.," 投放, 欺骗某人"
fabled,"a. 寓言(或传说、神话)中的, 虚构的"
myth,"n. 神话, 虚构的事, 虚构的人"
innate,"a. 先天的, 天生的
"
gift,"n. 礼物, 赠予, 天才
vt. 赋予"
terrific,"a. 非常好的, 极端的, 可怕的"
combination,"n. 组合, 合并, 联合
"
extreme,"n. 极端, 末端
a. 极端的, 尽头的, 极度的, 偏激的"
desire,"n. 欲望, 要求
vt. 想要, 请求
vi. 渴望"
champion,"n. 冠军, 拥护者, 战士
vt. 保卫, 拥护
a. 优胜的"
thrill,"n. 震颤, 激动, 刺激性, 一阵激动
vi. 震颤, 颤抖, 激动
vt. 使激动, 使颤动"
burst,"n. 破裂, 突发, 爆发
v. 爆裂, 突发, 充满
"
console,"vt. 安慰, 藉慰
n. 控制台
"
phase,"n. 时期, 局面, 方面, 位相, 相, 阶段
vt. 使调整相位, 使定相, 使一致, 逐步执行, 实行
"
encounter,"n. 相会, 相遇, 遭遇
vt. 遇见, 邂逅, 会战
vi. 偶然相遇"
headhunter,"n. (原始社会中)猎取人头者, 物色人才的人"
recommend,"vt. 推荐, 介绍, 劝告, 使受欢迎, 托付
"
variety,"n. 多样, 种类, 变种, 杂耍
"
formal,"a. 正式的, 形式的, 礼仪的, 拘于礼节的, 拘谨的
n. 正式的社交活动"
seminar,"n. 研究班, 专题讨论会
"
reimburse,"vt. 付还, 偿还, 赔偿
"
tape,"n. 带子, 录音带, 磁带, 窄带, 卷尺
vt. 以带子绑起, 测量, 录音
"
enthusiasm,"n. 巨大的热情, 热心"
multiply,"v. 繁殖, 乘, 增加
"
substitute,"n. 代理, 代理人, 代用品, 代替者, 代替物
vt. 代替
vi. 替代, 取代, 代用
a. 代替的, 代用的, 代用品的
"
guarantee,"n. 担保, 抵押品, 保证书
vt. 保证, 担保"
acquire,"vt. 获得, 学到
"
fashion,"n. 流行, 风尚, 时样
vt. 形成, 造, 作"
ad,"n. 广告
"
attractive,"a. 吸引人的, 有魅力的
"
trick,"n. 诡计, 欺诈, 谋略, 恶作剧, 习惯, 决窍
vt. 愚弄, 欺骗, 装饰
vi. 哄骗, 戏弄
a. 有决窍的, 特技的, 欺诈的, 漂亮的, 靠不住的"
blister,"n. 水疱
"
basically,"adv. 基本上, 主要地"
hunter,"n. 猎人, 猎犬, 追求者"
reject,"n. 被拒之人, 被弃之物, 不合格品, 次品
vt. 拒绝, 抵制, 否决, 驳回, 丢弃, 呕出"
score,"n. 得分, 抓痕, 二十个, 刻痕, 帐目, 乐谱, 起跑线, 终点线, 大量
vt. 刻划, 划线, 获得, 评价, 把...记下
vi. 刻痕, 记分, 得分
"
shot,"n. 发射, 炮弹, 射击, 射手, 投篮, 射门, 子弹, 射程, 拍摄, 注射
vt. 装弹, 使成颗粒状
a. 杂色的, 交织着的, 渗透的, 点焊的, 破旧的
shoot的过去式和过去分词"
home run,n. 本垒打
ongoing,"a. 前进的, 进行的, 不间断的
n. 前进, 发展"
maintain,"vt. 维持, 维修, 保持, 坚持, 供养, 主张
"
service-oriented,n. 服务导向
deploy,"v. 展开, 配置"
quality,"n. 品质, 特性, 才能, 质量
a. 优质的
"
burst into tears,突然哭起来
go through,"经历, 经受, 仔细检查, 搜查, 参加, 履行, 被通过, 用完"
mark time,"踏步, 停顿不前"
move on,继续前进
go for,"去找, 努力获取, 被认为, 主张, 拥护"
a variety of,"各种各样的..., 种种..."
bring in,"na. 生产；生(利)；收获(农作物等)；挣得(报酬等)
"
leave sb. cold,v. 冷淡对待
awash,"a. 与水面齐平的, 被浪冲打的"
real estate,"不动产
"
queen,"n. 王后, 女王
vt. 立为女王
vi. 做女王"
response,"n. 反应, 回答, 响应
"
harsh,"a. 粗糙的, 刺耳的, 严厉的
"
overload,"vt. 超载, 过载, 超过负荷
n. 超载, 负荷过多"
succinct,"a. 简洁的, 紧缩的"
character,"n. 个性, 字符, 人物, 性质, 品格, 资格
"
length,"n. 长度, 长, 期间, 一段
"
twitter,"n. 啁啾, 唧唧喳喳声
vi. 啭, 啁啾, 颤抖
vt. 嘁嘁喳喳地讲, 抖动"
prospect,"n. 景色, 展望
vt. 勘探, 勘察
vi. 勘探, 有前途"
blog,n. 博客；部落格；网络日志
site,"n. 位置, 场所, 地点
vt. 给...择址"
print,"n. 打印, 版, 印刷物, 痕迹, 印刷业, 印刷字体, 图片, 印花布, 印章
v. 打印, 印刷, 铭记, 留印记于, 用印刷体写
"
treatise,"n. 论文, 专著"
link,"n. 环, 连结物, 链接, 火把
vt. 连结, 联合, 挽住
vi. 连接起来
"
journalist,"n. 新闻记者, 从事新闻杂志业的人"
ton,"n. 吨
"
unsolicited,"a. 未经请求的, 主动提供的
"
pitch,"n. 程度, 坡度, 顶点, 前倾, 倾斜, 投掷, 音高, 螺距, 节距, 摊位, 树脂, 沥青
vt. 投, 掷, 向前倾跌, 扎营, 竭力推销, 为...定调, 定位于, 用沥青涂
vi. 搭帐篷, 投掷, 向前跌, 猛然摔倒, 坠落, 倾斜
"
relation,"n. 关系, 联系, 叙述, 故事, 家属, 亲戚
"
convoluted,"a. 盘绕的, 回旋的, 旋绕的, 卷绕的, 复杂的
"
effective,"a. 有效的, 有力的, 实际的
n. 有生力量"
noteworthy,"a. 值得注目的, 显著的"
contemporary,"n. 同时代的人
a. 同时代的, 属于同一时期的"
inaugural,"a. 就任的, 开幕的
n. 就职演讲"
keynote,"n. 主调音, 基音, 基调
vt. 说明基本政策, 定基调"
democratic,"a. 民主的
"
convention,"n. 大会, 协定, 惯例, 约定
"
well-crafted,[网络] 技术良好的；巧妙性
judge,"n. 法官, 裁判员, 审判官, 鉴定人
vt. 审理, 鉴定, 判断, 判决, 裁定
vi. 下判断, 作评价"
reaction,"n. 反应, 反作用, 反动
"
meaningless,a. 无意义的
buzzword,n. 流行词
startup,[计] 启动
investor,"n. 投资者
"
launch,"n. 下水, 汽艇, 发射
vt. 使下水, 发射, 发动
vi. 起飞, 下水, 投入, 开始"
manufacture,"n. 产品, 制造
vt. 制造, 假造
vi. 制造"
energy-efficient, 节能
flat-panel, 扁平面板
lamp,"n. 灯
vt. 照亮
"
specifically,"adv. 特定地, 明确地, 按特性"
brevity,"n. 短暂, 简短"
get to the point,[网络] 言归正传；有话直说；有话直说，别吞吞吐吐
turn off,"v. 关掉
"
as a rule,通常
