abandon oneself to,沉溺于
play out,"na. 做完；用完；使筋疲力竭；放松(绳索等)
"
play up,"na. 〈美〉勇敢行动；越发使劲弹奏；(比赛等时)奋战；逗弄
"
plug in,"v. 插入；插插头；插上
"
point out,"na. 指出
"
poke about,"摸索, 寻找"
poke around,v. 闲逛
poke fun at,取笑
poke one's nose into,探听
stick one's nose into,[网络] 管闲事；探问
polish off,"na. “polish away”的变体
"
pop up,突然站起(或跳起)
pour into,[化] 注入
pour out,"v. 倾吐；诉说
"
press on,"na. 向前挤；坚决推进；“press ahead”的变体
"
prick up one's ears,竖起耳朵听
prop up,"na. (把…)撑住；给…撑腰
"
provide for,"v. 为…作准备
"
pull apart,"na. 扯断(索子等)；劝开(吵闹)
"
pull away,"脱身, 离开"
pull down,"na. 挣钱；压低；拆坏(房子等)；(疾病使人)衰弱
"
pull in,"na. 使后退；节省(费用)；(火车等)到站；船靠近(海岸)
"
pull off,"na. 赢得；做成某事；(在路边)停车；〈非正式〉【计】下载
"
pull one's weight,尽力工作
pull out,"拔出, 离开, (使)渡过难关, (使)恢复健康"
pull over,"靠岸, 开到路边"
pull one's leg,"v. 拿···开玩笑；捉弄···
"
pull through,"(使)渡过难关, (使)恢复健康"
pull together,齐心协力
pull up,"v. 拔起；使…停下
"
push about,"v. 推动
"
push around,"把...推来推去, 摆布"
push on,"na. 费力地前进；赶快完成任务等
"
push through,"na. 完成(事务)；冲过；(树叶等)长出
"
put across,"na. 使承认；欺骗人；美满完成；堂堂开张
"
put over,"na. “put across”的变体；(船)渡过去；延期
"
put aside,"na. “set aside”的变体
"
put away,"v. 把…收起来；储存
"
put down,"na. 平定；贬低(的话)；(飞机的)降落
"
put forward,"na. 提出(计划,意见等)；建议；促进；推举(候补人等)
"
put in,"v. 探进；放进；输入；纳入
"
put into practice,"na. 实行
"
put off,"na. 延期；辩解
"
put on,"na. 假话
"
put one's heads together,共同商量
put out,"v. 扑灭；熄灭；放出；伸出
"
put the screws on, （非正式）给（某人）施加心理压力，强迫（某人）
put through,"na. 经受；测试；试验；使…通过
"
put to death,"杀死
"
put to use,"使用, 利用"
put up,"adj. 预先商定的
"
put up with,"忍受, 容忍
"
queue up,排队等候
rack one's brains,(为某事)绞尽脑汁，苦思冥想
rake up,"na. 搜集；搜出；压灭(火)
"
rattle off,adv. 急促背诵地
rattle on,v. 喋喋不休地说; 开连珠炮
reckon with,"和...算帐, 认真对付"
reconcile with,与...和解
refer to ... as ...,"v. 提交；归类；称谓
"
regarded as,[网络] 把……认作；作为；算得上是
rein in,"na. 勒住(马)；控制
"
rely on,"依赖, 依靠"
revolve around," 旋转, 绕转; 环绕"
ride out,"na. (船等)安然冲过风暴；平安渡过困难
"
ring off,挂断电话
ring up,"v. 在收款机上结算；一段时间内收入或损失的钱；打电话给
"
rip apart,"把…扯破[撕开],把…弄得凌乱不堪"
rip off,"v. 剥削；抢劫；强奸；〈俚〉剽窃
"
rise above,升到…之上; 超越…; 克服; 沾沾自喜
rise to, 上升到
rise up,起义
roll in,"蜂拥而来
"
roll up,"na. 卷起(袖子)；包卷；积贮；缩成圆球
"
root out,"na. “root up”的变体
"
rope in,"na. 诱入圈套
"
round off,"na. 弄圆；使成熟；使完美；使圆满
"
round up,"na. 弄成圆球；使数目恰好；使成一个整数；赶在一块儿
"
rub it in,"反复讲别人不爱听的事, 反覆讲令人不快之事, 触人痛处"
rule out,"na. 排除
"
run across,"偶遇, 跑着穿过"
run away with,"带...潜逃, 轻易获得, 消耗, 轻易接受, 失控
"
run down,"na. 下乡；(钟表等)停止；衰弱；赶上(人,猎物)
"
run into,"跑进, 撞上, 遭遇, 陷入, 达到"
run off,"na. 逃走；流出；(火车等)出轨；越轨
"
run off with,na. 继续作用[有效]；说个不停；【印刷】印完；(排印材料)不另行
run out,"na. 耗尽；用光；过有效期；失效
"
run out of,用完
run over,"跑过去, 溢出, 超过限度, 扼要复述, 匆匆看, 辗过
"
run through,"跑着穿过, 刺, 戳, 排练, 挥霍, 贯穿"
run to,"跑向, 达到, 发展到, 趋向"
run up,"na. 抬高(市价等)；升(旗等)；造；增加(费用,债款等)
"
run up against,"意外地碰到, 偶遇, 撞上"
rush out,"na. 赶制出来
"
save for,存钱作…之用
save up,"储蓄, 贮存"
scale down,按比例减少；按比例缩小
scrape by, 靠…勉强度日
scrape through,勉强通过
scrape together,"积蓄,凑集,勉强凑足"
scrape up,"积攒, 拼凑到"
screw up,"na. 拧紧；钉上；卷成螺丝状；扭歪(嘴,脸等)
"
seal off,"na. =seal up.；熨开；脱焊
"
see about,"查询, 留意于, 料理"
see eye to eye," 完全一致, 有相同的看法"
see off,"na. 送行；送别；告别；赶走
"
see out,"na. “see through”的变体
"
see red,火冒三丈
see through,"na. 看穿；看透；识破；办好某事
"
see to,"负责, 注意"
see to it that,务必做到; 保证
seek out,"搜出, 挑出"
seize on,"抓住, 占有"
seize upon,"抓住,利用"
seize up,中止
sell off,"na. (打折扣)销完；卖清(存货)
"
sell on,使人想买
sell out,"卖完, 出卖, 背叛
"
sell up,"卖完, 为还债而变卖"
send away,"发送, 打发走, 解雇"
send for,na. 派人去叫
send in,"na. 拿出；提出；递(名片)；送
"
send off,"na. 寄出；发出；送走；打发
"
send for,na. 派人去叫
send up,"发出, 射出, 呈交, 使上升"
serve out,"分发,分配"
serve up, 端上桌;  上菜; 提供;  发送
set about,"开始, 散布
"
set against,"na. 比较；对照；使对抗；使反对
"
set apart,"使分离, 留出"
set aside,"na. 搁置；拨出；驳回
"
set back,"na. 阻碍；延迟；〈非正式〉花费
"
set down,"na. 记入；登记；定；设
"
set fire to,点燃
set forth,"na. 公开；发行；公布；陈述
"
set free,"释放
"
set in,"na. 固定；停当；涨潮；进来
"
set off,"na. 分；分割；划开；区划
"
set on,"攻击, 前进, 怂恿, 使开始"
set one's heart on,"决心要…, 决心做…"
set out,"n. 开始；出发；动身；准备
"
set up,"na. 建立；创立；发起；开办
"
settle down,"使舒服地坐下, 定居, 平静下来, 专心于"
settle for,满足于
settle in,"na. 定居；殖民；搬入(新住所)；使某人搬进(新住所)
"
settle into, 有头绪，上正轨
settle on,"na. 决定；选定；授与；赠与(财产,遗产等)
"
settle upon,"na. 决定；选定；授与；赠与(财产,遗产等)"
settle up,"付清, 了结"
sew up,"na. 缝拢；缝合；把…缝入；缝进
"
shake down,"na. (将果实从树上)摇下来；摇下去；摇平(米谷等)
"
shade into,v. 渐渐变为
shake off,"na. 抛弃(坏习惯)；摆脱(坏朋友)；推开；拆开
"
shake up,"na. 摇匀；摇动；抖匀(枕头等)；震动
"
shape up,"成形, 形成, 顺利发展"
shoot down,"na. 〈口〉严厉谴责；〔俚语〕驳倒；射落；打下来
"
shoot up,"射出, 发芽, 暴涨"
shop around,"逐店进行搜购, 到处寻找好职业, 到处寻找好主意"
shout down,[网络] 以喊叫声压倒对方；用叫喊声淹没；用喊声压倒
shove off,"开船, 离开"
show off,"炫耀, 卖弄, 使显眼"
show up,"na. 显眼；揭发；嘲笑；露面
"
shrug off,na. (耸肩)表示轻蔑
shut away,"un. 把…卸下来；不让
"
shut down,"na. 关闭；关拢(窗等)；停业；禁止
"
shut in,"na. 监禁；围住；遮住；迫近
"
shut off,"na. 阻断；使隔开
"
shut out,"na. 不让进来；遮得看不见；【棒球】不让得分
"
shut up,"关闭, 监禁, 住口, 保藏"
sign away,"na. 在证书上签字让与(财产等)
"
sign for,签领
sign in,"签到, 签收
"
sign off,"停止广播, 停止活动"
sign on,"签约雇用, 开始广播"
sign up,"签约参加工作, 签约雇用"
sign out,[网络] 登出；退出；注销
sit around,"坐着不干, 袖手旁观"
sit back,"不采取行动, 向后靠着坐"
sit by,"坐在旁边, 守护照料, 无动于衷"
sit up,"坐起, 端坐, 熬夜, 诧异"
size up,"估计, 合格"
sketch out,"v. 拟订出
"
sleep off,"na. 睡过(时候)；睡掉(忧愁等)
"
sleep through,睡过头
slip in,悄悄溜入；偷偷溜进去
slip through,悄悄通过
slip up,"疏忽
"
slow down,(使)慢下来
slow up,(使)慢下来
snap out of,"un. 怒气冲冲；震飞
"
snap up,"na. 咬住；突然插嘴
"
sniff out,"na. 闻出；〈非正式〉发现
"
sort out,"na. 清理
"
space out,隔开
speak for,"代表...讲话, 要求得到, 订购"
speak out,"大胆地说, 大声地说"
speak up,"更大声地说, 大胆说出, 无保留地说出"
speed up,"加速
"
spell out,"na. 详细说明；【印】正式拼写
"
spin out,"na. 拖延；使(钱等)勉强再维持一段时间；磨度过；使汽车作回形滑行
"
spit out,"na. 同“spit”
"
split up, <非正>瓜分; 劈成; （使）分成若干小部分; <非正>（使）断绝关系
spread out," 伸展, 延长; 分散; 铺设; 衍"
spring up,出现
square off, 摆出自卫或攻击的架式
square up,"清帐, 摆好架势
"
stab in the back,[网络] 背后插刀；背后捅刀子；背后中伤
stamp on,"踩踏, 阻拦"
stamp out,"na. 踏灭(火)；扑灭(暴动等)
"
stand a chance of,有…的希望
stand by,"支持, 遵守, 袖手旁观, 准备行动
"
stand down,"离开证人席, 退出, 顺潮航行
"
stand for,"代表, 代替, 象征, 支持, 担任...的候选人
"
stand in,"代演员站位, 使花费"
stand off,"疏远, 离岸, 避开
"
stand out,"突出, 坚持抵抗"
stand up,"na. 站起来；持久；露头角；〔美俚〕背约
"
stand up for,"支持
"
stand up to,"经得起..., 勇敢地面对, 抵抗"
stay on,继续停留
stay out,呆在户外
stay put,"装牢, 留在原处不动"
stay up,不睡觉
steam up,"促进, 使发怒, 使有蒸汽"
steer clear of,"避开, 绕开"
step aside,避开
step down,"na. 走下；退出；【电】下降；辞退
"
step down,"na. 走下；退出；【电】下降；辞退
"
step in,"走进, 干涉, 作短时间的非正式访问"
step up,"v. 加紧；走上前；登上；增加
"
stick around,逗留
stick at,"迟疑, 犹豫, 坚持"
stick by,忠于
stick out for,坚持索取
stick to,粘住
stick together,"团结友爱, 互相支持"
stick up for,"支持, 维护"
stick with, 继续做; 跟着…; 插满
stir up,"v. 转播；重播；搅拌；煽动
"
stock up,备货
stop off,"中途停留
"
stop over,[经] 中途停留
strike off,"击断, 删去, 印出
"
strike out,"na. 打去；打出(火花等)；涂去；拟出
"
strike up,"开始演奏, 建立起, 使开始"
string along,"un. 在幕后操纵；欺骗
"
string out,"na. (使)节目拖长；行列长达
"
strip off,"剥去,脱去,除去"
suck up,吸收
suffer with,[网络] 遭受
sum up,"na. 〈口〉概括；总结
"
swear by,"对...发誓, 信赖"
swear in,"na. 使宣誓就职
"
swear off,"发誓戒除
"
switch on,"v. 打开；接通；参见
"
switch off,"切断
"
tag along, 尾随
tail off,"缩小, 变少"
take a chance,冒险
take a delight in,以…为乐; 喜欢
take a fancy to,喜欢
take a hand in,"参与,介入"
take account of,考虑
take advantage of,"v. 利用
 欺骗, 占…的便宜"
take after,"像, 学样
"
take against,反对
take apart,"na. 分解；拆分；剖析
"
take away,"adj. 买回去的
"
take back,"na. 退回；收回(说过的话)；承认…是错的；拿回
"
take ... by surprise,"v. 突然惊吓
"
take care," 当心, 小心; 坚持到底"
take care of,"照顾
"
take care over,无
take charge of,"掌管..., 负责..., 看管..., 不受...控制
"
take cover,"隐蔽, 躲藏"
take down,"na. 扯下；卷起；记下；卸下
"
take effect,"见效, 生效
"
take exception to,"反对
"
take ... for granted, 信以为然
take in,"na. 加以考虑；〔美国〕访问；收进；收容
"
take ... in one's stride,轻而易举地做某事
take ... into account,"na. 考虑
"
take ... into consideration,"v. 顾及
"
take it easy,"从容, 不紧张"
take note of,注意到
take off,"v. (飞机)起飞；出去；拿掉；移送
"
take on,"na. 担任(工作等)；较量；装(某种样子)；呈现(形势)
"
take one's breath away,[网络] 令人咋舌；大为惊讶；目瞪口呆
take out,"na. 取出；带出(散步等)；除去(污点等)；取得(专卖权等)
"
take over,"na. 接管；继承
"
take pains,"尽力, 耐心"
take part in,"参与, 参加
"
take place,"na. 发生；举行
"
take stock of,"盘点存货; 检查, 评估"
take the place of,"代替
"
take to,"na. 嗜好；开始；参加；逃入
"
take turns,"轮流, 依次"
take up,"na. 拿起；举起；拾起；给搭(火车等)
"
talk back,"顶嘴, 反驳"
talk down to,用高人一等的口气对人说话
talk into,"na. 说服(某人)做…
"
talk ... out of,[网络] 劝阻；说服某人不做某事；强迫同意或决定不做
talk over,"na. 商谈；说服
"
tangle with,"v. 吵架, 争论"
team up,"合作, 协作"
tear apart,"v. 弄乱；撕破
"
tear at,撕扯
tear away,"na. 撕掉；扯开；飞跑
"
tear down,"na. 拆毁；扯下；猛冲
"
tear into,"洞穿, 猛攻"
tear up,"na. 撕碎；连根拔起；扰乱；跑上
"
tell a white lie,[网络] 说善意的谎言；善意地谎言；说一个善意的谎言
tell apart,分辨
tell off,"na. 数清；分派(工作)；【罕】编号；谴责
"
tend to,"注意, 趋向"
think back, 回想
think back to,回想，回忆；重新思考(往事)
think of,"考虑, 关心, 想起, 记起, 想像, 有...的看法"
think out,"na. 想透；想出
"
think over,"v. 仔细考虑
"
think through,"na. 仔细考虑；全面考虑
"
think up,"na. 想出；〔口语〕发明
"
throw away,"na. 抛弃；浪费；拒绝(劝告)；失去(机会)
"
throw in,"na. 投入；发边界球；注入；插入
"
throw off,"na. 摆脱(习惯,拘束等)；抛弃；脱掉(衣服)；甩掉
"
throw out,"na. 投出；拒绝；否决(议案)；派出
"
throw up,"na. 呕吐；抛上；急造；丢弃
"
throw light on,"照亮,阐明,使理解,启迪"
throw light upon,阐明;使人理解某事;使某事更为清楚 [亦作 shed (或 throw a flood of) light on (或 upon)]
cast light on,"使显得非常清楚, 阐明, 使人了解"
cast light upon,阐明;使人理解某事;使某事更为清楚 [亦作 shed (或 throw a flood of) light on (或 upon)]
tidy away,"un. 把(某物)收藏起来:
"
tie down,"v. 束缚
"
tie in with,(使)跟…相符; 跟…连接起来
tie up,"na. 绑；系；包扎；(船只)系泊
"
tighten up,"na. 同“tighten ”
"
tip off,"na. 向…透露消息，泄密；暗中通知某人；(把水等从器皿中)倒干净；使…掉下来；〈俚语〉杀死
"
tire out,"na. 使疲倦到极度
"
touch down,"攻方持球触地得分, (飞机着陆过程中)触地"
touch off,"na. 正确地表现；草草写；添画；发射
"
touch on,"与...有关, 涉及..., 提到..., 提及, 谈及"
touch upon,"与...有关, 涉及..., 提到..., 提及, 谈及"
track down,"追捕到
"
trade in,"na. 用交换方式购入
"
trade off,"na. 卖出
"
trade on,利用
trade upon,(为自私的目的)利用
trail away, 散去; （声音）逐渐变弱
trail off,"减弱, 缩小"
treat of,"论及, 涉及"
trip up,"na. 同“trip”
"
try on,"na. 试穿；〈非正式〉搞恶作剧(以试探能否被容忍)；〈非正式〉耍花招
"
try out,"na. (采用前)严密试验；筛矿；量(金属的)纯度
"
tuck away,"na. 藏起
"
tuck in,"na. 〈非正式〉大吃一顿；掖被子；塞入；折进
"
tuck up,折起
tumble to,恍然大悟
tune in to, 调谐，收听；收到
turn a blind eye to,熟视无睹
turn away,"v. 转变方向
"
turn back,"na. 同“turn down ”
"
turn down,"na. 翻下(衣领等)；扭小(灯火等)拒绝考虑；拒绝(某人)
"
turn in,"v. 向里弯曲
"
turn into,[网络] 了解
turn off,"v. 关掉
"
turn on,"na. 转向；对…进行突击
"
turn out,"v. 证明；原来；到场
"
turn over,"na. ￡ 500 a week 每星期卖得五百镑
"
turn round,"转身, 转变, 改变意见, 采取新政策
"
turn the tables,"扭转局面
"
turn to,"转向, 变成, 求助于, 起劲地开始行动"
turn up,"v. 朝上翻；出现
"
use up,"na. 用完；耗尽
"
used to,"过去经常(做)..., 过去有规律地发生"
vote in,"选出, 选举
"
wade through,"跋涉通过,趟水穿过,吃力地通过,费力地读完"
wait for,"na. 等；等待
"
wait on,"服侍, 招待, 拜访, 焦急地等待"
wake up,"na. 同“wake”；叫醒；醒来；振作起来
"
wake up to,(使)认识到
walk out,"罢工, 领出(某人), 退席
"
walk over, 穿过; 走到另一地方; 把…带到另一地方; 无视…的愿望[感情]
walk up,"沿...走, 走上"
wall in, 筑墙围住
warm up,"na. 加热；变暖；热中起来；【运】作准备动作
"
wash one's hands,"洗手, 解手"
wash out,"v. 洗掉
"
wash up,"洗手洗脸, 洗餐具"
wave aside,na. 挥手使站开；挥手拒绝
wear away,"磨损, 流逝, 消磨, 虚度"
wear off,"逐渐减弱, 消失, 磨损, 耗损"
wear out,"na. 精疲力尽；用坏；穿破；磨破
"
win out,"获胜,完成,摆脱"
win through,"历尽千辛万苦获得成功,终于获胜"
win over,"na. 争取过来
"
win up,"上马, 攀登"
wind up,"na. 解散(公司等)；终止；卷紧；绕紧
"
wink at,"使眼色, 假装看不见"
wipe out,"na. 擦去；【无线】遮蔽；遮蔽地域；【信】封闭
"
work at,解(题)
work on,"继续工作, 设法说服, 影响"
work off,"v. 渐渐消除
"
work out,"v. 作出；拟定；制定；计划一下
"
work up,"na. 刺激；煽动；刻苦完成；展开(故事的情节)
"
worth one's salt,"称职, 胜任"
wrap up,"na. 包起来；包好；穿暖和些；〈非正式〉完成
"
write down,"na. 记下来；贬低；减低账面价值；把…拨作公积金
"
write off,"na. 注销(债款等)；报废；提笔就写(文章等)；减低资产账面额
"
zip up," 增添滋味, 增加兴趣或生命力"
above all,"尤其是, 首先"
above board,"公开地, 光明正大地"
above one's head,使人难于理解，摸不着头脑[见head]
over one's head,[网络] 难以理解；难懂；太难了
according to,"根据, 按照；取决于；据…所说"
across the board,"全面地, 包括所有人在内"
after all,毕竟
ahead of,在…之前
ahead of time,"na. 比原定提前地
"
around the corner,"在拐角处, 在附近, 即将来临"
round the corner,"在拐角处, 在附近, 即将来临"
at last,终于
at long last,"终于, 最后"
as a matter of fact,事实上
as a result,结果
as a rule,通常
as a whole,总体上
as far as,"远到, 直到, 至于"
as follows,如下
as for,至于
as to,"根据,按照,依照;关于,至于,就…而言"
as much,同样多少
as often as not,"往往, 多半"
as regards,"关于, 至于"
as well,也
as yet,至今仍
at a glance,"看一眼, 一下子"
at a loss,"困惑, 亏本地"
at a time,"每次, 在某时"
at all costs,不惜任何代价
at all events,无论如何
at all times,一直
at any rate,"无论如何, 至少"
at ease,"na. 自由自在；=stand at ease.
"
at fault,"感到困惑, 有故障"
at first,起先
at first glance," 一看就, 初看, 乍看起来"
at first sight,乍一看
at full blast,"处于高潮,热火朝天,正起劲,正在进行"
at hand,"在手边, 在附近, 即将到来"
at heart,在内心里
at intervals,"不时, 相隔一定距离"
at large,"未被捕, 详尽, 普遍
"
at least,"至少
"
at leisure,"na. 在闲暇中；从容不迫地；失业
"
at length,"最后, 详细地"
at liberty,"自由, 有空"
at most,至多
at no time,决不
at one time,"同时, 曾经"
at peace,处于和平状态
at present,"现在, 目前"
at risk,"un. 担风险
"
at sb.'s disposal,无
at the cost of,以...为代价
at the latest,最迟
at the mercy of,受...支配
at the moment,此刻
at the risk of,"冒...的危险, 有...的危险/可能"
at the same time,"同时, 但是"
at times,"有时, 不时"
at will,"随意, 任意"
at work,"在工作, 在运转"
at a pinch,在紧要关头
in a pinch,"必要时, 在紧要关头"
behind bars,"[法] 在狱中, 在押"
behind the scenes,"在后台, 在幕后
"
behind the times,落在时代后面，过时，落伍，落后，不合时宜
beside the point,"离题, 不中肯"
beyond doubt,[法] 无容置疑
beyond a doubt,"无可置疑
毫无疑问"
beyond all question,"无可置疑, 毫无疑问"
beyond belief,难以置信
beyond measure,"无可估量, 极度"
beyond compare,无以伦比
without compare,无与伦比
by accident,偶然
by all means,"尽一切办法, 一定"
by chance,"偶然, 也许"
by courtesy of,蒙...好意
by degrees,"逐渐地
"
by far,显然
by heart,"凭记忆, 记住"
by means of,依靠
by mistake,由于差错
by no means,决不
by the book,按常规
by the same token,出于同样原因
by the way,"在途中, 顺便"
by trial and error,"反复试验, 不断摸索"
by turns,"轮流, 交替"
by virtue of,"依靠, 由于
"
by comparison,比较起来
in comparison, 相比之下
by contrast,"对比起来, 与之相比, 相反地"
in contrast,"比较起来, 相反地, 而"
by leaps and bounds,非常迅速地
in leaps and bounds,迅速地
except for,"除...以外
"
for all,尽管
for anything,无论如何
for certain,肯定地
for fear of,"害怕,恐怕,生怕,唯恐,以防"
for fear that, 唯恐，害怕; 生恐; 惟恐; 生怕
for good,"永久地, 永远地, 一劳永逸地"
for good measure,"作为额外增添, 另外"
for nothing,"免费, 徒然
"
for one thing,首先
for one's part,"对某人来说, 就个人来说"
for short,"简称, 缩写"
for that matter,"就此而言, 至于那个, 说到那一点"
for the moment,"暂时, 目前"
for the present,暂时
for the record,[经] 备案
for the better,"转好,变好,改善"
for the sake of,"为...缘故, 为...起见, 为了某人, 为...目的, 为了...的利益"
for the time being,暂时
in a mess,"肮脏,混乱,紊乱,一塌煳涂,一团糟"
in a row,"成一长行, 连续, 一连串"
in a sense,在某种意义上
in a way,"在某种程度上, 稍稍"
in a word,总之
in abundance,"充足的, 很丰盛"
in accord with,与...一致
in addition,另外
in addition to,"另外, 加之, 除…之外还"
in advance,"预先
"
in all,"总共
"
in all probability,很可能
in answer to,"回答, 响应"
in any case,无论如何
in any event,"不论怎样, 无论如何"
in between,在中间
in black and white,用白纸黑字地写下来
in brief,"简言之, 以简洁的形式"
in bulk,"散装, 大批
"
in business,"在营业,在生产,在做生意"
in case,万一
in case of,"假设, 万一"
in character,"适合, 相称"
in charge of,"负责..., 管理..., 主管..., 掌管..., 看管..., 在...掌管/看管之下"
in check," 在控制中, 被阻止, （象棋中）（敌方主帅）处于被将军地位"
in cold blood,"残忍地
"
in collaboration with,与...合作
in common,共有
in comparison with,与...比较
in concert,"一致, 一齐, 齐声"
in confidence,"na. 秘密地
"
in conjunction with,与...协力
in connection with,"与…有联系,与…有关,关于"
in consequence,结果
in consequence of,"因此, 结果; 由于, 因为…的缘故"
in consideration of,"考虑到
"
in contrast to,"与...形成对照, 而..."
in contrast with,"与...形成对照, 而..."
in control of,控制住
in debt,"un. 背上了债；负债；欠款
"
in default of,"因缺少
"
in defiance of,"无视, 不顾"
in demand,"[经] 销路好, 有需要"
in depth,"na. 广泛
"
in detail,详细地
in disgrace,"失宠,受辱,丢脸;可耻地,不光彩地"
in dispute,在争论中
in doubt,"感到怀疑的, 有怀疑的, 不敢肯定的, 拿不准的, 被怀疑的"
in due course,"及时地, 在适当时
"
in duplicate,[经] 一式二份
in earnest,"正经地, 诚心地"
in effect,"有效
"
in essence,"本质上, 实质上
"
in evidence,"明显
"
in excess of,"超过, 较...为多"
in fact,"事实上
"
in fashion,"时髦,流行,合潮流"
in favor of,"赞同, 有利于"
in force,"大规模地, 有效的
"
in full,"充足, 以全文
"
in full blossom,正在开花
in full swing,"正在全力进行中, 活跃"
in general,大多数
in good faith,"诚心诚意地
"
in half,"分成两半,平分"
in hand,"na. 现有；(工作)正在进行；控制住
"
in harmony with,"与...协调, 与...一致"
in haste,匆忙
in honor of,"为向…表示敬意,为庆祝…为纪念…"
in hot pursuit,穷追
in itself,"本身,实质上"
in kind,"以货代款
"
in league with,"与…暗中合谋, 和…私下勾结"
in line with,符合
in luck,运气好
in memory of,纪念...
in no case,决不
in no time,立刻
in no way,决不
in one's own right,凭本身的头衔
in operation,"运转着, 生效
"
in order,"整齐, 状况良好, 适宜"
in order that,"为了,以便"
in order to, 为了…
in other words,换句话说
in part,部分地
in particular,特别
in person,"亲自, 外貌上
"
in place,"na. 得其所；适当的
"
in the future,"未来, 将来, 往后"
in practice,"在实践中, 实际上, 熟练"
in print,"已出版, 在销售中"
in private,"私下, 秘密地"
in proportion to,与...成比例
in public,当众
in quantity,大量
in question,"正被讨论, 可怀疑
"
in reality,"实际上, 事实上"
in relation to,"关于, 涉及"
in response to,"回答..., 响应..., 对...有反应
"
in return for,作为…的回报
in reverse,"在背面,在反面,反过来"
in ruins,成为一片废墟
in sb.'s debt,无
in sb.'s presence,无
in sb.'s shoes,无
in search of,寻找
in season,"当令, 及时, 及早"
in secret,秘密地
in short,"简而言之
"
in sight,被看到
in so far as,"至于, 就..."
in spite of,不管
in step,步调一致
in stock,"现有, 在贮存中
"
in store,"贮藏着, 保存着, 准备着, 将要发生
"
in strength,"大量地,许多"
in sum,总言之
in summary,总之
in tears,流着泪
in terms of,"用...的话, 根据, 按照, 在...方面
"
in that,"既然, 因为"
in the abstract,"抽象地, 理论上"
in the act of,"在…的作案过程中,当场"
in the air,"在空中, 悬而未决, 在流传中, 不设防
"
in the balance, 悬而未决，犹豫; 在危急状态中
in the course of,"在...期间
"
in the distance,在远处
in the end of,"在……的最后
在……结束时"
in the event that,如果;在…情况下
in the extreme,"非常, 极端"
in the face of,面对
in the first instance,"首先, 起初
"
in the first place,首先
in the flesh,"以肉体形式, 亲自"
in the habit of,"有…的习惯,习惯于…"
in the interest of,"为了, 为了...的利益"
in the light of,"由于, 当作
"
in the long run,"长远, 最后"
in the main,大体上
in the midst of,在...之中
in the name of,"以...的名义
"
in the raw,"处于自然状态, 不完善, 裸体"
in the red,"[经] 赤字, 亏损"
in the right,站在正义的一边
in the short run,从短期看
in the vicinity of,"在邻近
"
in the wake of,"尾随, 紧跟, 仿效"
in the wind,"将要发生, 在进行
"
in the wings,"在后方, 在附近, 在舞台两侧"
in the world,在世界上
in the wrong,"错了,有过错,亏理"
in the way,挡道
in sb.'s way,无
in time,"na. 经过一段时间以后；早晚；在恰好的时候；和…合拍
"
in total,"总共, 总计
"
in touch with,与…保持联络
in transit,"在运输中
"
in trouble,"处于不幸中, 在监禁中"
in truth,"事实上, 的确"
in tune with,和…合调
in turn,"na. 挨次
"
in vain,"徒然
"
in view of,"考虑到, 由于
"
in vogue,[经] 正在流行
in the circumstances,既然这样
under the circumstances,"在这些情况下, 在此情况下"
incapable of,无能力的，不会的
inside out,"彻底地, 里面翻到外面
"
like a shot,"飞快地, 立刻"
like crazy,"发狂似地, 发疯似的, 拼命地"
like hell,拼命地
of a kind,"同一类的, 蹩脚的"
of necessity,必然地
of no account,不重要的
of one's own accord,自愿地
of sorts,各种各样的
off and on,断断续续地
off balance,"un. 偿清债务；趔趄
"
off duty,下班的
off one's guard,毫无防备
off the air,停止广播
off the hook,"un. 齿轮脱开
"
off the record,"非正式地, 不可引用地
"
on a diet,"按规定进食,进规定的饮食"
on account of,由于
on and on,继续不停地
on approval,"商品供试用的, 包退包换的
"
on board,"在船/车/飞机上, 在公共交通车辆上
"
on business,因公
on cue,就在这个时候
on demand,comb.form 表示“一经用户要求即刻提供的电信服务”[参较 fax-on-demand]
on earth,"在世上, 究竟"
on edge,"竖着, 紧张, 急切"
on end,"竖着, 连续地"
on file,"存档
"
on fire,"起火, 非常激动"
on hand,"na. 现有；〈美〉出席；〈美〉在近处
"
on impulse,一时冲动
on loan,"出借,借出,供出借"
on no account,决不
on occasions,"间或, 有时"
on one's conscience, 令人感到内疚，受到良心谴责
on one's guard,警惕
on one's own,"na. 独自地；独立地；凭自己力量；主动地
"
on order,"已定(购)而尚未交货的
"
on paper,"以书面形式, 在名义上"
on purpose,"故意
"
on record,"记录在案, 在历史记录中
"
on sale,"廉售的, 拍卖的"
on schedule,"按时
"
on that score,在那点上
on the average, 平均而言; 一般来说;  通常; 平均来讲
on an average,"作为平均数, 通常"
on the air,"在广播, 在电视中"
on the alert,"警惕着, 防备着
"
on the blink,"奄奄一息,濒于死亡;坏了,失灵"
on the brink of,"在…边缘,濒于,接近,几乎,差点"
on the button,"击中下颔, 准确, 确切, 准时"
on the contrary,"正相反
"
on the fence,"抱观望态度, 保持中立"
on the go," 活跃, 忙个不停"
on the grounds of, 以…为理由，根据
on the hour,准点地
on the house,"由店家出钱, 由酒馆老板付钱, 免费地"
on the increase,正在增长
on the move,"在活动中, 在发展, 活跃"
on the part of,"就...而言, 在...一边, 由...表现出来的, 由...所经历的, 由...所作出的
"
on the point of,正要...的时候
on the quiet,"秘密地
"
