acrobatics,"n. 杂技, 杂技表演"
accessory,"n. 附件, 零件, 附加物, 从犯, 同谋
a. 附属的, 补充的, 同谋的, 帮凶的, 非主要的, 副的
"
egg-beater,打蛋器
chopping board, 斩（剁）肉板
moulding board,模板，擀面板
pyrex glass,派勒克斯耐热玻璃;高硬玻璃;高硅玻璃;高耐火玻璃
door bell,门铃
key ring,钥匙圈
master-key,"万能钥匙
"
combination lock,暗码锁
sun helmet,n. 硬防晒帽
black-and-white TV,黑白电视
colour TV,[电视] 彩色电视
cable TV,[电视] 有线电视
closed-circuit TV,[计] 闭路电视
picture tube,[电] 映像管
power switch,[化] 电源开关
sound volume,音量
earphone jack,耳机塞孔
operation manual,
multi-system,n. 多系统
display clock,无
normal cycle,"[计] 正常循环, 正常周期"
wash only,无
drain button,无
spin button,微调按钮
rinse button,无
dry-cleaning,n. 干洗
water discharge pipe, 排水管
water outlet,排水孔
ice tray,"na. (冰箱内)制冰块的盘子
"
vegetable crisper,[网络] 蔬果保鲜室；保鲜盒
egg pocket,[制冷] 蛋架
interior lamp,内部指示灯
room air conditioner,室内空气调节器;房间空调器
remote control,
operation display,无
heating operation mode,无
cooling operation mode,无
electric gramophone,[电] 电唱机
auto radio,[电] 汽车收音机
tape recorder,"磁带录音机
"
cassette recorder,"[计] 卡型盒式记录器, 盒式录音机"
portable recorder,[电] 手提式记录器
intercommunication phone,无
electromagnetic oven,电磁炉
microwave oven,[网络] 微波炉
electric fan,[电] 电扇
electric heater,[化] 电热器; 电炉
electric shaver,电动刮胡刀
TV camera,n. 电视摄影机
AD adapter,无
solar battery,"太阳能电池
"
short circuit,"短路
"
dance hall, 舞厅
rowing,n. 划船
yacht,"n. 快艇, 游艇
vi. 驾游艇, 乘游艇"
hunting,"n. 狩猎, 猎狐, 探求
"
kite flying,"[经] 开空头支票, 东拼西凑"
swing,"n. 摇摆, 振幅, 音律, 节奏, 涨落, 秋千, 旋转, 行动自由
vi. 摇摆, 悬挂, 旋转, 大摇大摆地走, 转向
vt. 挥舞, 使旋转, 使转向, 悬挂, 吊运
a. 旋转的, 悬挂的, 强节奏爵士音乐的"
quoits,"n. 投环; 金属环, 铁环, 绳圈( quoit的复数形式 )"
amusement arcade,n. 游乐场
pleasure-house,n. 游乐场所，娱乐房
dance floor,n. 舞池
garden entertainment,无
fun fair,游乐园
amusement park,公共游乐场
pleasure boat,n. 游船
target practice,"打靶, 射击练习"
play at seesaw,无
rope skipping,n. 跳绳
merry-go-round,n. 旋转木马
chair o'plane,n. 旋转式空中转椅
roller coaster, 过山车
scenic railway, 过山车
play on a swing,无
try-your-strength machine,无
slot machine,[机] 自动售贷机
bumper car,n. 碰撞用汽车
room with distorting mirrors,无
inhabitant,"n. 居民, 居住者
"
phenomenon,"n. 现象, 迹象, 表现, 奇迹, 奇才
"
biohazards,n. 生物危害
pollute,"vt. 污染, 弄脏, 玷污
"
contaminate,"vt. 弄污, 弄脏, 污染, 毒害
"
pollution,"n. 污染, 玷污
"
contamination,"n. 污染, 污物
"
air pollution,
industrial city,工业城市
main source, 主源
exhaust gas,[化] 废气
greenhouse effect,温室效应
serious headache,无
improve technology,无
enjoy fresh air,无
modern industry,现代工业
pollute water,无
inhale air,无
make a restriction,无
examine factories,无
pollute the environment, [法]污染环境
solve the pollution problem,无
responsibility of government,无
big issue,[网络] 大问题；大议题；大志
environmental protection,
industrial nuisance, [医]工业公害
poisonous gas,毒气
poisonous chemicals,无
ozone layer,[电] 臭氧层
nuclear contamination,核子污染
nuclear radiation,[化] 核辐射
nuclear waste, 原子能工业废料; 核废料
nuclear material,材料
nuclear test,核试验
nuclear power plant,[电] 核子动力厂
environmental pollutant,环境污染物
income,"n. 收入, 收益, 流入
"
status,"n. 状态, 情形, 地位, 要人身份
"
symbol of society,无
divorce rate, 离婚率
economic situation,经济形势
spoil children,无
discipline the children,无
respect the old,无
generation gap,n. 代沟
living standard,n. 生活标准; 生活水平
idol,"n. 偶像, 崇拜物, 宠儿, 幻象, 谬论"
make a lot of money,[网络] 赚很多钱；挣很多钱；挣许多钱
be respected by others,无
have the sense of achievement,无
vanity can be satisfied,无
enjoy luxurious life,无
have some privileges,无
life is in danger,无
lose freedom,无
lose privacy,无
have a lot of pressure,无
care about your public image,无
mislead the consumers,无
ruin their image,无
chat,"n. 闲谈
vi. 闲谈, 聊天"
developed technology,无
share the feeling,无
share the beauty,无
be beneficial to,有益于
mobile phones,n. 移动电话( mobile phone的名词复数 )
make a telephone call,[网络] 打电话；打一个电话；打个电话
send SMS,无
leave message at the blog,无
send emails,无
write letters,无
celebration,"n. 庆祝, 庆典"
firecracker,"n. 爆竹, 鞭炮
"
firework,"n. 烟火具, 烟火, 烟火信号弹, 焰火, 激情的表现"
kowtow,"n. 磕头
vi. 叩头"
lantern,"n. 灯笼, 提灯, 航标灯
vt. 装上提灯"
legend,"n. 传说, 传奇文学, 图例
"
celebration,"n. 庆祝, 庆典"
power,"n. 力, 体力, 力量, 势力, 动力, 权力, 强国, 乘方, 强度, 幂, 功率
vt. 使...有力量, 供以动力, 激励
"
passion,"n. 激情, 酷爱, 热爱, 强烈感情, 耶稣受难(故事)"
illustrate,"vt. 举例说明, 作图解, 阐明
vi. 举例说明"
maturity,"n. 成熟, 完备, 到期
"
guarantee,"n. 担保, 抵押品, 保证书
vt. 保证, 担保"
waterfall,n. 瀑布
pressure,"n. 压, 榨, 按, 强制, 压力, 压迫, 压强
vt. 迫使, 使增压, 密封"
refreshed,v. 使清凉；使重新提起精神；得到补充给养（refresh的过去分词）
holidays and festivals,无
New Year's Day,元旦
Spring Festival,n. 春节（中国农历正月初一）
celebrate the New Year,无
New Year's Eve,"na. 除夕
"
stay up all night on Lunar New Year's Eve,无
feast on the Eve of the Spring Festival,无
pay a New Year call,无
have jiao-zi,无
family reunion,"合家欢聚,家族团聚"
New Year cake,无
spring roll,n. （中国的）春卷
hold a memorial ceremony for ancestors,无
memorial tablet, 牌位
food for the Spring Festival,无
Spring Festival couplets,n. 春联，门对
evening party celebrating the Spring Festival,无
gala celebration for the Spring Festival,无
lucky money,n. 吉利钱币
Lantern Festival,"元宵节, 灯节"
traditional festivals,[网络] 传统节日；为节日做准备；春节是我们的传统节日
family reunion,"合家欢聚,家族团聚"
strong family ties,无
Chinese lunar calendar,无
have dinner together,无
have fresh fruit,无
celebrate festival,无
eternal life, 来世，永生
in honor of,"为向…表示敬意,为庆祝…为纪念…"
Dragon Boat Festival,[网络] 端午节；龙舟节；端午节英语作文
living standard,n. 生活标准; 生活水平
celebrate happy events,无
good health, [医]健康; 安康
delicious food, 美味；炼珍
successful career,无
charm of personality,无
spirit of devotion,无
rational sense,[网络] 理性精神；理性内涵
standard of happiness,无
perfect holiday,无
tour guide,"旅游向导,导游"
magic of nature,无
roar of the water,无
go to cinemas,无
have tea,无
delicious meals,无
take photos, 照像，拍照
have some talk,无
attend the birthday celebrations,无
luxurious celebration,无
show off,"炫耀, 卖弄, 使显眼"
festive lantern,无
walk on stilts,无
go to the fair,无
pay a visit to a tomb,无
sacrificial offerings,无
pyramid-shaped dumpling,无
lion dance, 舞狮; 狮子舞
dragon-boat racing,无
Mid-Autumn Festival,中秋节
moon cake,月饼(中国食品)
enjoy the full moon,无
National Day, 国庆日，国庆节；国定纪念日
evening party celebrating National Day,无
grand ceremony on National Day,无
Christmas gift,圣诞礼品；圣诞礼物
Christmas card,圣诞卡
New Year's gift,无
national holiday,"国定假日
"
religious festival,[网络] 宗教节日；拜拜；庙会拜拜
birthday cake, 生日蛋糕
birthday candle,n. 寿烛
single's day,n. 光棍节
panorama,"n. 全景, 全貌, 概论, 范围"
Western,"n. 西方人, 西部片, 西部小说
a. 向西方的, 来自西方的, 西方的, 西洋的, 西部的"
thriller,"n. 使人激动的东西, 使人毛骨悚然的东西, 使人毛骨悚然的小说"
musical,"n. 音乐片, 音乐舞台剧
a. 音乐的, 声音美妙的, 喜爱音乐的"
newsreel,n. 新闻影片
travelogue,n. 旅行见闻讲座
documentary,"n. 记录片
a. 文件的"
destructive,"a. 毁灭性的, 破坏的, 有害的
"
director,"n. 主管, 导演, 董事
"
film festival, 电影节
instructive,"a. 有益的, 增进知识的"
silent film,"默片,无声片"
black-and-white film, 黑白胶片
wide screen film,宽银幕电影
3-D movie,无
animated cartoon," 卡通片, 动画片"
art film,艺术电影;以艺术品或艺术家为题材的记录片
war film,战争片
historical film,[网络] 历史片；历史电影；历史影片
instructional film,"教育片,指导片"
science-fiction movie, 科幻片
disaster film,灾难片
feature film," 长片; 故事片, 剧情片"
action film, 动作片; 情节电影
underground film,"地下影片,黄色影片"
porn film,无
blue film,"n. 蓝电影,性电影;黄色电影"
adult movie,n. 成人电影
dubbed foreign film,无
rerun film,无
special effect,n. 特殊效果
big scenes,无
special occasions,无
Cannes International Film Festival,无
Venice International Movie Festival,无
Berlin International Film Festival,柏林国际影展
Tokyo International Film Festival,东京国际影展
Taipei Golden Horse Film Festival,无
Hong Kong International Film Festival,无
general,"n. 一般, 将军, 大体
a. 全面的, 大体的, 总的, 一般的, 普遍的
n. 常规
"
restricted,"a. 受限制的, 有限的"
nomination,"n. 提名, 任命, 提名权"
film rating,无
X-rated,"a. (美)禁止儿童观看的, 限制性的"
parental guidance,部分不适合儿童观看的(电影)
special award, 特等奖
honorary award,无
best film award,无
standard screen,标准筛
wide screen,n. 宽银幕
running time,[计] 运行时间
morning show,[网络] 早场；晨间节目；早间节目
day show,无
evening show, 晚场；夜场
late show,深夜放映(电影)
movie advertisement,无
chat,"n. 闲谈
vi. 闲谈, 聊天"
misunderstanding,"n. 误会, 误解
"
trustworthy,"a. 可信赖的
"
considerate,"a. 体贴的, 体谅的, 考虑周到的"
community,"n. 社区, 公众, 共有, 共同体
"
factor,"n. 因素, 因数, 系数, 基因, 代理人
"
recognition,"n. 赞誉, 认得, 识别, 承认, 认可, 认识
"
opportunity,"n. 机会, 时机"
perseverance,"n. 毅力, 忍耐, 锲而不舍, 不屈不挠"
antique,"n. 古董, 古物
a. 古老的, 古风的, 旧式的, 过时的"
emergency,"n. 紧急状况, 紧急事件, 紧急需要
"
relationship,"n. 关系, 关联
"
precaution,"n. 预防, 留心, 警戒
vt. 预先警告"
hospitable,"a. 好客的, 招待周到的"
generous,"a. 慷慨的, 有雅量的, 大量的, 丰富的"
humorous,"a. 富幽默感的, 滑稽的, 诙谐的"
intelligent,"a. 聪明的, 智能的, 了解的"
versatile,"a. 多才多艺的, 万用的, 万向的"
extrovert,"n. 外向性格的人
"
introvert,"n. 个性内向者
vt. 使内向, 使内弯, 内陷
vi. 内省, 内弯
a. 性格内向的"
quiet,"n. 安静, 闲适, 平静
a. 安静的, 静止的, 寂静的, 朴素的, 从容的, 暗中的
vi. 平静下来
vt. 使平静, 使平息, 使安心, 安慰"
talkative,"a. 喜欢说话的, 饶舌的, 多嘴的"
ambitious,"a. 有野心的, 抱负不凡的, 雄心勃勃的"
persistent,"a. 固执的, 坚持的, 持续的, 作用持久的
"
attain,"vt. 达到, 获得
vi. 达到"
achieve,"vt. 完成, 达到
vi. 如愿以偿"
characteristic,"n. 特性, 特征, 特色
a. 特性的, 特有的, 有特色的
"
generation,"n. 一代, 一世, 产生
"
optimistic,"a. 乐观的, 乐观主义的, 乐天的"
successful,"a. 成功的, 一帆风顺的, 顺利的
"
surrender,"vt. 交出, 放弃, 使投降, 让与
vi. 投降, 自首
n. 交出, 放弃, 投降"
sing karaoke,无
share happiness and sadness,无
in trouble,"处于不幸中, 在监禁中"
go to restaurants,无
go fishing,去钓鱼
break up,"v. 拆散；打碎；剖割(兽体等)；破坏
"
mutual interest, [法]相互利益
energetic and active,无
generous and humorous,无
send emails or short messages,无
celebrate birthdays,无
feel lonely,[网络] 感到孤独；感到寂寞；感到孤单
tell them secrets,无
be hurt,[网络] 受伤；我从没想过要伤害你；受伤害
change of friends in personality,无
move to another place,无
do not have anything in common,无
no same interest,无
good listener,善于倾听别人意见的人；留神听别人说话的人；听觉灵敏的人
go to the mountains,无
circle of friends,[网络] 朋友圈；缘来是你；友谊圈的建立
feel proud,无
enjoy luxurious life,无
indicators of success,无
social status,社会地位
the public, 公众，民众; 人们
talent and intelligence,无
satisfy the basic demand,无
real estate,"不动产
"
achieve success, 获得成功
friendly atmosphere,无
warm-hearted,"a. 热烈的, 热心的, 富有同情心的, 热情的"
sense of distrust,无
be responsible for,"引起..., 是...的原因, 对...起作用, 构成...的一部分
"
crime rate,[法] 犯罪率
leisure life,[网络] 休闲生活；度假生活；生活休闲
rock-climbing,攀岩运动
easy-going, 从容不迫的
personal value,[网络] 个人价值；价值观；个人性价值
furniture,"n. 家具, 帆具"
wardrobe,"n. 衣橱, 衣室, 全部衣服"
bookcase,"n. 书架, 书柜"
screen,"n. 幕, 银幕, 屏风, 掩蔽物, 屏蔽, 筛子
vt. 掩蔽, 放映, 拍摄, 掩护, 筛, 甄别
vi. 拍电影
"
armchair,n. 扶手椅
bamboo,"n. 竹子
"
rock,"n. 岩石, 岩礁, 石头, 基石, 暗礁, 摇动, 摇滚乐
vt. 摇摆, 摇动, 使摇晃, 使动摇
vi. 摇, 摇动"
natural,"n. 白痴
a. 自然的, 自然界的, 本能的, 天然的, 物质的, 正常的, 原始的, 自然数的"
material,"n. 材料, 物资, 素材, 布料, 资料
a. 物质的, 肉体的, 重要的"
fabric,"n. 织物, 布, 结构, 构造, 建筑物
"
antique,"n. 古董, 古物
a. 古老的, 古风的, 旧式的, 过时的"
rosewood,n. 红木
leather,"n. 皮革, 皮制品, 马镫的皮带
vt. 覆以皮革, 鞭苔, 抽打
a. 皮革的, 皮制的"
wood,"n. 木材, 木制品
vt. 植林于, 给...添加木柴
vi. 收集木材"
cloth,"n. 布料, 织品, 布
"
comfort,"n. 舒适, 安慰, 安慰者
vt. 安慰"
function,"n. 官能, 职务, 功能, 函数
vi. 活动, 运行, 行使职责
"
factor,"n. 因素, 因数, 系数, 基因, 代理人
"
size,"n. 大小, 尺寸, 规模, 尺码, 能力, 浆料
vt. 上浆, 依大小排列
vi. 可比拟
a. 一定大小的, 一定尺寸的"
durable,"a. 持久的, 耐用的"
inherit,"vt. 继承, 遗传
vi. 接受遗产"
bedside table, [医]床头桌
night table,床头几
rocking chair,摇椅
tea-table," 茶桌, 茶几"
living room,"客厅, 起居室"
feel the rhythm of rocking,无
environmental,"a. 周围的, 环境的
"
according to my requirement,无
get total relaxation,无
furniture shop, 家具店
make the final decision,无
western countries,[网络] 西方国家；西域；陪审团
choose furniture,无
striking colors,无
oriental countries,无
traditional styles,[网络] 传统类型；传统月饼
be creative and full of inspiration,无
be full of imagination,无
the sense of art,无
change the furniture,无
solid wood,紧密材
buy furniture,无
bright color,"un. 彩色
"
have the feeling,无
cheer up,"v. 鼓舞；振作一点
"
feel cozy,无
material of the furniture,无
dining table,n. 餐桌
sofa,n. 沙发
be in harmony,无
room decoration,无
office furniture,[经] 办公器具
luxurious,"a. 豪华的, 奢侈的, 放纵的"
from generation to generation,世世代代
lifestyle of predecessors,无
root or trace in history,无
best witnesses,无
symbol of historical events,无
evolution of human society,无
cushion,"n. 垫子, 橡皮软垫
vt. 加垫褥, 缓冲, 掩盖"
blanket,"n. 毛毯, 毯子
vt. 掩盖, 覆盖
a. 总共的"
pillow,"n. 枕头, 靠垫, 枕状岩
vt. 作...的枕头, 垫, 枕于
vi. 靠在枕上"
sheet,"n. 床单, 张, 纸张, 印刷品, 裹尸布, 薄片
vt. 盖上被单, 遍布
vi. 大片落下
a. 片状的, 成薄片的
"
quilt,"n. 棉被
vt. 加软衬料后缝制, 东拼西凑地编
vi. 缝被子"
rug,"n. 小块地毯, 揭露某人"
ventilator,"n. 通风设备, 送风机, 换气扇
"
vase,"n. 花瓶, 瓶"
tableware,n. 餐具
saucer,"n. 茶碟, 茶托
"
fork,"n. 叉子, 叉状物, 分岔
vi. 分支, 分歧
vt. 做成叉形, 叉起
"
teaspoon,"n. 茶匙
"
tablespoon,"n. 大汤匙
"
chopsticks,n. 筷子
teapot,n. 茶壶
napkin,"n. 餐巾, 餐巾纸, 尿布"
toothpick,n. 牙签
bill,"n. 帐单, 清单, 钞票, 鸟嘴, 广告, 法案, 票据
vt. 开帐单, (用招贴)宣布"
receipt,"n. 收据, 收入, 收到
vt. 开...的收据"
thermos flask,[医] 保温瓶
central heating system,集中供暖系统
floor lamp,落地灯
lamp shade,[电] 灯罩
flower arrangement, 花卉布置; 插花
tea cup,茶杯
soup plate, 汤盘
coffee-pot,"na. 咖啡壶；〈美俚〉小餐馆
"
table cloth,n. 桌布
fierce,"a. 凶猛的, 猛烈的, 热烈的, 暴躁的"
require intelligence,无
physical health, [医]体格健康，机体保健
make people stronger,无
cooperate with each other,无
follow rules of games,无
childish and ridiculous,无
have their game time,无
have strong competition,无
play marbles,"打弹子,玩弹子球游戏"
computer games,"un. 计算机游戏
"
leave deep traces,无
conduct their behaviors,无
jumping rope,[网络] 跳绳；正在跳绳；跳跳绳
play hopscotch,无
Bungee jumping, 蹦极跳
play tag, 玩捉人游戏; 捉迷藏
play with dibs,无
play with doll's house,无
play marbles,"打弹子,玩弹子球游戏"
play with magic cubes,无
play with plasticene,无
spin top,无
perfume,"n. 香水, 香气, (悦人的)气氛, 美名
vt. 洒香水于, 薰香, 使充满香气"
lighter,"n. 点火者, 点灯工人, 打火机, 驳船
vt. 以驳船搬运"
magazine,"n. 杂志, 仓库, 弹盒, 胶卷盒
"
appliance,"n. 器械, 用具, 应用
"
tie,"n. 带子, 线, 鞋带, 领带, 领结, 关系, 束缚, 平局, 不分胜负
vt. 系, 打结, 扎, 约束, 与...成平局
vi. 结合, 打结, 不分胜负"
belt,"n. 带子, 地带
"
razor,"n. 剃刀
vt. 剃"
sports-wear,n. 运动服
watch,"n. 观察, 手表, 看守, 守护, 监视, 值班人
vt. 看, 注视, 照顾, 看守, 守护, 监视
vi. 观看, 注视, 守侯"
cosmetics,n. 装饰品；化妆品（cosmetic的复数）
jewelry,"n. 珠宝, 珠宝类"
survive,"vt. 比...活得长, 生存, 生还, 幸免于
vi. 活下来, 幸存"
shelter,"n. 庇护所, 避难所, 庇护, 隐蔽处, 掩蔽
vt. 庇护, 保护, 隐匿
vi. 躲避"
advice,"n. 忠告, 劝告, 意见, 报道, 通知
"
beggar,"n. 乞丐
vt. 使贫穷, 使成乞丐"
help the poor,无
government grants,政府补助（government grant的复数）
satisfy basic needs,无
working opportunities,无
minimum income,[网络] 最低收入水平；最低收入；最低限收入
Red Cross,"红十字, 红十字会
"
charity organization,[网络] 慈善组织；慈善机构；慈善团体
receive donations,无
be distributed to those in need,无
entertainment activities,无
lack information,无
support themselves,无
relaxed and peaceful,无
fall sick,生病
financial support,[经] 财务(财政)支援
donate money,[网络] 捐款；捐钱；捐款方式
natural disaster,自然灾害
pagoda,n. 宝塔
temple,"n. 圣堂, 庙宇, 教堂, 礼拜堂, 太阳穴, 鬓角
"
storey,"n. 楼, 楼层, 层楼"
litter,"n. 垃圾, 杂乱, 轿, 担架
vt. 乱丢, 铺草, 弄乱
vi. 产仔, 乱丢垃圾"
preservation,"n. 保存, 保藏, 保护
"
tripod,"n. 三脚桌, 三脚架
"
interesting building,无
Buddha statue,佛像
white marble,汉白玉;白大理石
different shape,无
elegant and stately,无
ethnic style,无
tourism facilities,无
witnesses of history,无
increase the tourism,无
local economy,[网络] 当地经济；地方经济；地区经济
increase income, 增收
scribble names,无
national treasure,国家宝藏；惊天夺宝；国家财富（美国电影名）
singing,"n. 歌唱, 歌声
"
drawing,"n. 图画, 制图, 拉
"
consume,"vt. 消耗, 消费, 消灭
vi. 耗尽, 毁灭"
spoil,"n. 战利品, 赃物, 奖品, 变质, 次品
vt. 损坏, 破坏, 溺爱
vi. 腐坏, 掠夺"
physical exercise,[医] 体育锻炼
broaden our eyesight,无
spare time,n. 消遣时间; 闲空; 余; 工余
release stress,无
enrich spare time,无
happiness,"n. 快乐, 幸运, 适当"
participant,"n. 参加者, 参与者
a. 有份的, 参加的, 参与的"
destination,"n. 目的地, 目标, 目的
"
journey,"n. 旅程, 旅行, 行程
vi. 旅行
vt. 游历"
coastline,n. 海岸线
perfect,"n. 完成时
a. 完美的, 完好的, 理想的, 熟练的, 精确的, 完成式的
vt. 使完美, 修改, 使精通, 改善, 使熟练"
drizzle,"n. 细雨
v. 下毛毛雨"
collapse,"n. 崩溃, 倒塌, 虚脱
vi. 倒塌, 崩溃, 瓦解
vt. 使倒塌, 折叠
"
scream,"n. 尖叫声
vi. 尖叫, 大笑, 尖啸, 令人震惊
vt. 尖叫着说, 大叫大嚷着要求"
birdcage,n. 鸟笼
fog,"n. 雾, 迷惑, (割后的)最生草, 苔藓
vi. 被雾笼罩, 变模糊
vt. 使困惑, 以雾笼罩"
local people,地居民
challenge,"n. 挑战, 盘问
vt. 向...挑战, 要求, 怀疑
vi. 挑战, 对(证据等)表示异议"
protection,"n. 保护, 防卫, 贸易保护制度
"
fun,"n. 乐趣, 玩笑, 娱乐
vi. 开玩笑
a. 供娱乐用的"
ban,"n. 禁令
vt. 禁止, 取缔"
facility,"n. 容易, 灵巧, 设备
"
survival,"n. 生存, 残存, 幸存者
a. 赖以生存的"
adventure,"n. 冒险, 冒险经历
v. 冒险"
potential,"n. 潜在性, 可能性, 潜力, 潜能, 势, 位
a. 有潜力的, 可能的, 潜在的"
efficiency,"n. 效率, 效能, 功效
"
ambition,"n. 野心, 志向"
motivate,"vt. 给与动机, 刺激, 提高...的学习欲望, 促动
"
accident,"n. 意外事件, 机遇, 事故, 次要方面
"
enlighten,"vt. 教育, 启发, 启蒙, 开导, 教导"
confidence,"n. 信心
"
creativity,"n. 创造力, 创造性"
opportunity,"n. 机会, 时机"
ability,"n. 能力, 才干
"
goal,"n. 目标, 终点, 得分, 球门, 守门员
vi. 攻门, 射门得分"
achieve,"vt. 完成, 达到
vi. 如愿以偿"
stimulate,"vt. 刺激, 激励, 鼓舞
vi. 起刺激作用"
bossy,"a. 专横的, 浮雕装饰的"
consult,"vi. 商讨, 商量, 协商, 会诊
vt. 向...请教, 查阅, 考虑"
recommend,"vt. 推荐, 介绍, 劝告, 使受欢迎, 托付
"
freedom,"n. 自由, 坦率, 特权
"
naive,"a. 天真的, 纯真的, 幼稚的"
successful,"a. 成功的, 一帆风顺的, 顺利的
"
nostalgic,"a. 乡愁的, 怀旧的
"
mature,"a. 成熟的, 到期的, 充分考虑的
vt. 使成熟
vi. 成熟, 到期"
deep impression,无
feel tired and reluctant,无
overcome difficulty,无
feel exhausted,感到疲劳
prolong time of holidays,无
stimulate development of economy,无
scenic spots, 景点
local economy,[网络] 当地经济；地方经济；地区经济
take measures to,[网络] 采取措施；采取措施来；采取措施减少污染
tertiary industry, 第三产业
prosperity of local economy,无
cause environmental pollution,无
spoil natural scenery,无
visit from others,无
wander around,"徘徊, 转来转去"
explore the city,无
go boating, 划船；泛舟
see sculptures and lanterns,无
bring tea,无
cultural shock,文化冲击
misunderstanding,"n. 误会, 误解
"
feel uncomfortable,无
western style,西方式（美国）
show ... around the city,无
taste traditional food,无
inland people,无
sigh of relief,[网络] 松了一口气
dangerous adventure activities,无
mountain climbing, 爬山
extreme games,无
excitement of life,无
professional skill,专门技术
enjoy crazy games,无
go bungee jumping,无
killing game,无
perseverance,"n. 毅力, 忍耐, 锲而不舍, 不屈不挠"
lose confidence, 自馁
analyze situation,无
solve the problem, 解决问题
gain experience, 获得经验; 长见识
feel bored,[网络] 感到无聊；觉得无聊；感到厌倦
influence on adults,无
ups and downs,"盛衰, 沉浮"
complex world,无
have high expectations,无
cause psychological problems,无
make greater achievement,无
safety and security,[网络] 安全和安保；安全和保安；安全与防护
crime rate,[法] 犯罪率
peaceful world,无
positive ideas,无
do morning exercise, 做早操
environmental pollution,
equal working opportunities,无
burden of housework,无
domestic violence, 家庭暴力
protect rights of women,无
people's value,无
extended families,[网络] 大家庭；家族；大家族
nuclear families,"na. 核心家庭
"
DINK families,无
win scholarship,无
fulfill a design,无
devote to,"v. 把…贡献给
"
great success,[网络] 巨大成功；非常成功；巨大的成功
be rewarded scholarship,无
necessities of success,无
hard working,辛勤工作的
feel satisfied,无
recent success,无
make the decision,"v. 下决心
"
analyze the advantages and disadvantages,无
interfere with,"干涉,干扰,妨碍"
leaves a trace,无
happy childhood, 快乐的童年
healthy lifestyle,[网络] 健康的生活方式；健康生活；健康生活方式
mental ability, 心智能力; 神智
learn musical instruments,无
sauna,n. 桑拿浴
furnishing,"n. 家具, 服饰品, 陈设品, 设备"
receptionist,n. 接待员
suitcase,n. 手提箱
entrance,"n. 入口, 进入点, 入场, 入学, 进入, 开始(阶段), 就任
vt. 使出神, 使入迷
"
lobby,"n. 大厅, 休息室, 游说议员者
vi. 游说议员, 游说
vt. 游说"
lounge,"n. 闲逛, 休闲室, 长沙发
vi. 闲混, (懒洋洋地)躺
vt. 闲混"
corridor,"n. 走廊, 回廊, 人口密集地带"
verandah,"n. 阳台, 走廊"
staircase,"n. 楼梯, 梯子, 楼梯部分
"
elevator,"n. 电梯, 升降机
"
lift,"n. 举起, 帮助, 昂扬, 电梯
vt. 升高, 提高, 鼓舞, 清偿, 空运, 举起, 剽窃
vi. 升起, 消散, 耸立"
buffet,"n. 自助餐, 小卖部, 碗橱, 殴打, 冲击
vt. 连续打, 冲击, 搏斗
vi. 奋斗"
fountain,"n. 水源, 源, 喷泉, 泉水, 本源
"
courtyard,"n. 庭院, 天井"
penthouse,"n. 屋顶房间, 顶层公寓, 电梯机器房, 耳房"
presidential suite,总统客房
suite,"n. 随员, 套房, (一)组, (一)套, 组曲, 继之而来的事
"
standard room,普通病房
bathtub,n. 浴缸
basin,"n. 盆, 盆地
"
bathrobe,n. 浴衣
curtain,"n. 帐, 幕, 窗帘
vt. 装帘子于, 遮蔽"
shutter,"n. 百叶窗, 关闭物, 照相机快门, 关闭者
vt. 为...装百叶窗, 以百叶窗遮闭"
blind,"n. 蒙蔽物, 窗帘
a. 盲目的, 瞎的, 不加思考的
vt. 使失明, 蒙蔽, 遮暗
adv. 盲目地"
5-star hotel,无
fitness center,"健康中心,健身房"
business center,"[经] 商业中心, 营业中心"
beauty salon,n. 美容院
health club, [医]保健俱乐部
conference room, 会议室
massage service,无
taxi service,出租汽车服务(业)
gift shop,[经] 礼品店
indoor swimming pool, 室内游泳池
steam bath,[医] 蒸汽浴
banquet hall,宴会厅
information desk,"服务台
"
hotel register,[经] 住宿登记
cloak room,(小件行李)寄存室
news-stand,n. 报摊；杂志摊
roof garden,屋顶花园
single room,单人房
double room,双人房
twin-bed room, （旅馆等的）有两张单人床的房间
deluxe suite,n. 豪华套房
window-sill,窗台
dressing-table,n. 梳妆台; 镜架台
clothes-hanger,"n. 衣架, 挂衣钩"
fitness room,无
billiard room, [体]台球房
give the morning call,无
do the laundry,[网络] 洗衣服；洗熨衣服；做洗衣服的活
hammock,"n. 吊床
"
washroom,n. 盥洗室
toilet,"n. 厕所, 梳妆
vi. 梳妆, 打扮, 上厕所
vt. 给...梳妆打扮"
lavatory,"n. 洗脸盆, 厕所"
shower bath,"淋浴, 淋湿
"
shower,"n. 阵雨, 淋浴, 一阵, 展出者, 显示者
vi. 淋浴, 下阵雨
vt. 淋湿, 倾注"
nailbrush,n. 指甲刷
faucet,"n. 龙头, 开关, 旋塞"
kitchen,"n. 厨房, 全套炊具
"
living room,"客厅, 起居室"
sitting,"n. 入席, 就坐, 开庭, 孵卵
a. 坐着的, 就座的, 在职的, 在孵卵中的, 易被击中的"
parlour,"n. 客厅, 会客室, 雅座
a. 客厅的"
parlor,"n. 客厅, 会客室, 小店
a. 客厅的"
studio,"n. 工作室, 画室, 演播室, 电影制片厂"
library,"n. 图书馆, 藏书, 库
"
bedroom,n. 卧室
