grid,"n. 格子, 栅格
"
journal,"n. 日记, 杂志, 日报
"
cram,"vt. 塞满, 填满, 猛吃
vi. 贪吃
n. 极度拥挤, 死记硬背"
vigorous,"a. 精力充沛的, 元气旺盛的, 茁壮的, 有力的"
evolve,"vi. 进展, 进化, 展开
vt. 使发展, 使推断出, 使进化"
be heavy on,[网络] 吃得多；在……耗费量大；需要大量的某物
infrastructure,"n. 基础结构, 基础设施
"
vocational,"a. 职业的
"
fare,"n. 费用, 旅客, 食物
vi. 进展, 进步, 经营, 过活"
watcher,"n. 看守人, 守望者, 哨兵"
opine,"v. 想, 以为"
transition,"n. 转变, 转换, 变迁, 过渡时期, 临时转调
"
in line with,符合
by extension," 乃至, 甚至于"
skepticism,"n. 怀疑论
"
give ... the edge,无
give ... an edge,无
legend,"n. 传说, 传奇文学, 图例
"
legendary,"a. 传说的, 传奇中说的, 传奇般的, 传说中的, 著名的"
Legend has it that ...,[网络] 传说；据传说；传奇的是
rocket,"n. 火箭, 烟火
vi. 急升, 猛涨, 飞驰
vt. 用火箭运载"
aboard,"adv. 在船上, 在火车上, 在飞机上
prep. 在...之上"
astronaut,"n. 太空旅行者, 宇航员
"
have one's roots in,无
veracity,"n. 说话老实, 老实, 诚实"
confirm,"vt. 证实, 确定, 批准, 使巩固
"
mission,"n. 任务, 代表团, 使命, 传教团
vt. 派遣, 向...传教"
military,"n. 军队
a. 军事的, 军人的, 适于战争的"
fireworks,"n. 烟火, 激烈争论
"
devise,"vt. 设计, 发明, 图谋, 遗赠给
n. 遗赠"
risky,a. 危险的
harness,"n. 马具, 挽具状带子, 甲胄
vt. 给...上挽具, 驾驭, 披上甲胄, 利用...以产生动力"
spaceship,n. 宇宙飞船
attach,"vt. 附上, 使依附, 使附属, 使喜爱, 系, 缚
vi. 附属, 归属, 联系在一起
"
torch,"n. 火把, 启发之物
"
earth-shattering,a. 惊天动地的；令人震惊的
primitive,"n. 原始人, 早期艺术家
a. 原始的, 上古的
"
far-fetched,"adj. 强词夺理的
"
principle,"n. 原则, 原理, 主义
"
spaceflight,n. 外层空间飞行
onlooker,"n. 旁观者, 袖手旁观者"
witness,"n. 证人, 目击者, 证据, 证词
vt. 目击, 作证, 证明, 表明
vi. 作证人, 作为证据"
aviation,"n. 航空, 航空学, 飞行术
"
enormous,"a. 巨大的, 庞大的"
nickname,"n. 绰号, 昵称
vt. 给...取绰号, 叫错名字
"
concept,"n. 观念, 概念
"
hold a record,保持记录
break a record,打破记录
set a record,创造记录
wingspan,n. 翼展
project,"n. 计划, 设计, 事业
vt. 计划, 设计, 投掷, 发射, 使凸出, 放映
vi. 凸出"
complexity,"n. 复杂, 复杂性, 复杂的事物"
complex,"n. 综合体, 情结, 络合物
a. 复杂的, 组合的"
approach,"n. 接近, 入门
vt. 接近, 近似, 找...商量
vi. 靠近"
behind schedule,落后于预定计划
put ... into storage,无
on display,"陈列着,在展览"
put ... on display,无
feature,"n. 面孔的一部分(如眼、口等), 特征, 容貌, 特色, 特写
vt. 是...的特色, 特写, 放映
vi. 起重要作用
"
incorporate ... into,使成为…的一部分
cargo,"n. 货物
"
in the field of,"在…方面,在…领域"
transportation,"n. 运输, 输送, 交通车辆
"
ahead of one's time,"具有超前意识, 思想超越同时代的人"
sketch,"n. 素描, 草图, 小品
v. 描绘略图, 画素描或速写"
device,"n. 装置, 设计, 策略, 发明物, 设备
"
flap,"n. 飘, 摆动, 拍打, 拍打声, 片状垂悬物
v. 拍打, 鼓翼而飞, 飘动"
steer,"vt. 引导, 驾驶, 航行, 控制
vi. 驾驶, 掌舵, 行驶
n. 驾驶指示, 劝告"
focus on, 致力于; 使聚焦于; 对（某事或做某事）予以注意; 把…作为兴趣中心
anatomy,"n. 剖析, 解剖学, 骨骼, 结构
"
base ... on,"v. 根据
"
analogy,"n. 相似, 类似
"
enigmatic,"a. 费解的, 谜一般的, 高深莫测的"
individual,"n. 人, 个人, 个体
a. 个别的, 个人的, 独特的"
fascination,"n. 令人着迷的事物, 入迷, 魅力"
CV,"adj. 心血管的
n. 履历
"
curriculum vitae,"n. 履历, 简历"
the envy of,令人嫉妒〔羡慕〕的人〔事物〕
be the envy of,[网络] 让人羡慕的对象
ultralight,a. 超轻型的
command,"n. 命令, 指挥, 控制, 部队, 司令部
v. 命令, 指挥, 控制
"
be set to do sth.,无
take up,"na. 拿起；举起；拾起；给搭(火车等)
"
Swiss,"n. 瑞士人, 瑞士腔调
a. 瑞士的, 瑞士风格的"
duo,n. 二重唱
unveil,"vt. 揭开, 揭幕, 除去...的面纱
vi. 显露, 除去面纱"
duration,"n. 持续时间, 持续
"
successive,"a. 继承的, 连续的
"
carbon fiber,[化] 碳纤维
evolution,"n. 进化, 发展, 进展, (气体)放出, 开方
"
prototype,"n. 原型
"
smash,"n. 打碎, 粉碎, 打碎时哗啦声, 猛击, 扣球, 杀球, 经营失败, 破产, 硬币, 假硬币
a. 非常轰动的, 了不起的
vt. 打碎, 粉碎, 击溃, 使破产, 使裂变, 使用假硬币
vi. 碎裂, 猛撞, 破产, 扣球, 杀球
adv. 轰隆一声, 哗啦一声"
overnight,"n. 前一天晚上, 一夜的逗留
a. 通宵的, 晚上的, 前夜的
adv. 在前一夜, 整夜, 昨晚一晚上"
upgrade,"n. 上坡, 升级, 上升
adv. 往上
vt. 使升级, 提升, 改良品种
vi. 升级
"
be covered with,"被...盖满, 充满着..."
cell,"n. 单元, 细胞, 电池
"
custom-made,[经] 定制品
lithium,"n. 锂
"
endurance,"n. 忍耐, 忍耐力, 耐性
"
cockpit,"n. 驾驶员座舱, 战场"
theoretically,"adv. 理论上, 理论地"
interior,"n. 内部, 内政
a. 内部的, 心灵的, 内地的, 内政的"
volume,"n. 册, 卷, 体积, 容量, 大量, 许多, 份量, 音量
vi. 成团卷起
vt. 把...收集成卷
a. 大量的
"
calculate,"v. 计算, 预测, 计划, 打算"
maximum,"n. 极点, 最大量, 极大
a. 最高的, 最大的, 最大极限的
"
surround,"vt. 包围, 环绕, 围绕
n. 围绕物"
foam,"n. 泡沫, 水沫, 泡沫材料
vi. 起泡沫, 吐白沫
vt. 使起泡沫"
range,"n. 排, 行, 山脉, 范围, 行列, 射程
vt. 排列, 归类于, 使并列, 放牧
vi. 平行, 延伸, 漫游
"
range from ... to,"从...到...(不等), 范围从...到..."
in the absence of,"无…时,缺少…时"
life raft,救生筏
function,"n. 官能, 职务, 功能, 函数
vi. 活动, 运行, 行使职责
"
recline,"vt. 使斜靠
vi. 靠, 斜倚, 依赖"
circulation,"n. 流通, 循环, 发行量
"
rescue,"n. 援救, 解救, 营救
vt. 援救, 救出, 营救"
simulator,"n. 模拟器, 假装者
"
crucial,"a. 决定性的, 重要的, 严厉的
"
visualize,"vt. 使看得见, 使具体化, 想象, 设想
vi. 想象, 显形"
undertaking,"n. 事业, 企业, 保证
"
make it to, 赶上，到达
stratosphere,"n. 同温层, 最上层, 尖端的学科领域
"
follow in sb.'s footsteps,无
early on, 在早期; 前一阵子
join forces with,"会师, 联合"
entrepreneur,"n. 企业家, 主办人
"
embark on,"从事, 着手"
lofty,"a. 高的, 傲慢的, 崇高的, 高级的, 玄虚的"
chart,"n. 图表, 海图
vt. 制成图表
"
gulf,"n. 海湾, 深渊, 漩涡, 隔阂
vt. 吞没"
with the aim of,以…为目的
departure,"n. 离开, 出发, 违背, 偏离
"
maxim,"n. 格言, 座右铭
"
soar,"n. 高扬, 翱翔
vi. 往上飞舞, 高耸, 翱翔"
blast off,点火起飞
grateful,"a. 感谢的, 感激的, 令人快意的, 受欢迎的"
honoured,vt. 尊敬（honour的过去式与过去分词形式）
on behalf of,"代表...
"
colleague,"n. 同事, 同僚"
capability,"n. 能力, 性能, 约束力
"
complement,"n. 补足物, 补语, 补数
vt. 补充, 补足
"
ambitious,"a. 有野心的, 抱负不凡的, 雄心勃勃的"
objection,"n. 异议, 反对, 不喜欢, 缺点, 缺陷, 妨碍, 拒绝之理由
"
participate,"vi. 参加, 分享, 参与, 带有
vt. 分享, 分担"
staffed,v. 雇用( staff的过去式和过去分词 ); 担任…的职员（或雇员）; 为…配备工作人员; 给（职员）下发学习（或工作）指令（通常与 out 连用）
docking,"n. 入坞
"
capsule,"n. 胶囊, 蒴果, 瓶帽, 航天舱
"
generally speaking,一般而言
durability,"[计] 耐久性, 耐用性, 持久性"
psychological,"a. 心理学的, 精神上的, 心灵的
"
stability,"n. 安定, 稳定性, 坚实, 巩固
"
surge,"n. 巨涌, 汹涌, 澎湃
vi. 汹涌, 澎湃, 颠簸, 猛冲, 突然放松
vt. 使汹涌奔腾, 急放
"
conductor,"n. 领导者, 指挥者, 售票员, 向导
"
guilty,"a. 犯罪的, 有过失的, 自觉有错的, 心虚的
"
be supportive of,[网络] 支持；赞成；支持…的
be thankful to,[网络] 感激；感谢；感激的
manoeuvre,"n. 调遣, 演习, 策略
vi. 调动, 演习, 用策略
vt. 调动, 操纵"
hackerspace,[网络] 黑客空间；创客空间；骇客空间
of one's own,属于某人自己的
formal,"a. 正式的, 形式的, 礼仪的, 拘于礼节的, 拘谨的
n. 正式的社交活动"
community,"n. 社区, 公众, 共有, 共同体
"
workshop,"n. 工场, 车间, 研讨会
"
tinker with,"笨拙地修理,马马虎虎地修理,瞎摆弄…"
encouragement,"n. 鼓励, 激励, 奖励
"
drill,"n. 钻孔机, 钻子, 播种机, 粗斜纹布
v. 训练, 钻孔"
solder,"n. 焊接剂, 接合物
v. 施以焊接, 焊合, 联结"
open-source,[计] 打开源
microcontroller,[计] 微控制器
interact with, 与…相互作用，与…相互影响; 与…相互配合
meditation,"n. 沉思, 冥想"
boom,"n. 繁荣, 隆隆声
vi. 急速发展, 发隆隆声
vt. 使兴旺, 发隆隆声"
maker,"n. 制造者, 上帝
"
DIY,[网络] 自己来动手；专业装修商及自己动手；动动手系列
gain ground,"前进, 发展, 普及"
assumption,"n. 假定, 自负, 担任, 假装
"
capacity,"n. 容量, 能力, 才能, 资格
"
define,"vt. 定义, 规定, 使明确
"
hack,"n. 劈, 砍, 砍痕, 出租车, 干咳, 晒架, 鹤嘴锄
vt. 劈, 砍, 出租, 用旧
vi. 劈, 砍, 干咳, 驾驶出租车
a. 出租的"
physical,"a. 身体的, 物质的, 自然的, 物理学的, 好色的
n. 体格检查"
gadget,"n. 小配件, 小玩意, 诡计"
makerspace,[网络] 制造空间；创客空间；创客工厂
desktop,"n. 桌面
"
collaborative,"a. 合作的, 协作的"
work on,"继续工作, 设法说服, 影响"
in secret,秘密地
former,"a. 从前的, 前者的
n. 起形成作用的人(或物), 模型, 样板"
occupy,"vt. 占领, 占(时间、空间等), 住进, 担任, 使从事, 使全神贯注
"
barrier,"n. 障碍, 栅栏
"
get together,"聚集, 收集, 积累"
conduit,"n. 导管, 水管, 沟渠
"
migrate,"vi. 移动, 移往, 随季节而移居
"
execute,"vt. 执行, 实行, 完成, 处死, 制成
"
innovator,"n. 改革者, 创新者"
take an interest in,对...感兴趣
exhibit,"n. 显示, 显现, 展览品, 陈列品, 展览
vt. 展现, 陈列, 展览
vi. 开展览会"
creation,"n. 创造, 创作物, 发明
"
transform,"vt. 使转换, 改变, 改造, 使...变形
vi. 改变, 转化, 变换
"
hardware,"n. 硬件, 五金器具, 零件
"
specialize,"vt. 使特殊化, 列举, 特别指明, 限定...的范围
vi. 成为专家, 专攻"
manufacture,"n. 产品, 制造
vt. 制造, 假造
vi. 制造"
experimental,"a. 实验的, 根据实验的
"
complement,"n. 补足物, 补语, 补数
vt. 补充, 补足
"
candidate,"n. 候选人, 投考者
"
frontier,"n. 边界, 边境
"
recruitment,"n. 新兵征召
"
feature,"n. 面孔的一部分(如眼、口等), 特征, 容貌, 特色, 特写
vt. 是...的特色, 特写, 放映
vi. 起重要作用
"
sprout,"n. 芽, 萌芽
vt. 使发芽, 摘去芽
vi. 长芽, 抽条"
electronic,"a. 电子的
"
component,"n. 元件, 组件, 成分
a. 组成的, 构成的
"
call for,"叫(某人)来, 要求, 为...叫喊, 为...叫"
hegemony,"n. 霸权, 领导权, 支配权, 拥有支配权的政府
"
industrialized,a. 工业化的
in a ... way,"在某种程度上, 稍稍"
in an ... way,无
unprecedented,"a. 空前的
"
tendency,"n. 趋向, 倾向
"
sort of,有几分地
hop,"n. 单脚跳, 跳跃, 舞会, 飞行
vi. 单脚跳, 跳跃
vt. 跃过, 跳上, 加蛇麻子于, 服麻醉药
"
hop on, 在…跳
outskirts,"n. 近郊, 市郊"
sprawl,"vi. 伸开手足躺, 爬行, 蔓生, 蔓延
vt. 懒散地伸开, 使蔓生, 使不规则地伸展
n. 伸开手足躺卧姿势"
liken ... to,v. 与…相比
ultra-chic,[网络] 杜塞尔多夫市超流行
get a taste of,无
connection,"n. 连接, 关系, 前后关系
"
ongoing,"a. 前进的, 进行的, 不间断的
n. 前进, 发展"
kit,"n. 装备, 工具箱, 成套工具
"
for sale,"待售
"
hands-on,实习的；亲自动手的
browse,"v. 浏览, 吃草
n. 浏览, 吃草
"
retail,"n. 零售
a. 零售的
vt. 零售, 详述, 传播
vi. 零售"
socialize,"vt. 使社会化, 使社会主义化, 使适合社会需要
vi. (美)(非正式)参加社交活动, 发生社交往来"
lathe,"n. 车床
vt. 用车床加工"
saw,"n. 锯子, 谚语
vt. 锯, 锯开, 来回移动
vi. 拉锯, 移动
see的过去式"
in part,部分地
supply chain,n. 供应链
laser-cut, 激光切割
circuit board, （实验用）电路板
screw,"n. 螺旋, 螺杆, 螺钉, 螺旋桨, 吝啬鬼
vt. 调节, 扭紧, 旋, 拧, 加强, 压榨, 勒索
vi. 转动, 旋, 拧"
collaboration,"n. 合作, 勾结
"
high-end, 高端
puzzle,"n. 难题, 迷惑
vt. 使困惑, 使为难
vi. 迷惑, 苦思"
differentiator,[计] 微分电路; 微分器
lag,"n. 落后, 囚犯, 迟延, 桶板, 防护套
a. 最后的
vi. 落后, 蹒跚, 缓缓而行, 滞后
vt. 落后于, 押往监狱, 加上外套
"
lag behind,落后(于...)
gap,"n. 缝隙, 缺口, 间断, 间距, 通用汇编程序
vt. 打开缺口, 造成缝隙
vi. 豁开
"
far-reaching,adj. 影响深远的; 有广泛影响的
divide up,"划分,分配,瓜分"
low-margin, 低利润
invest in,"投资于, 买进"
strategy,"n. 战略, 策略
"
spark,"n. 火花, 火星, 闪光, 无线电报务员, 瞬间放电, 活力, 朝气, 花花公子, 情郎
vi. 闪光, 发火花, 求婚
vt. 发动, 鼓舞, 使有朝气, 求婚"
entrepreneurial,"a. 创业的, 具有企业精神的; 企业性质的"
take ... for example,以...为例
twig,"n. 小枝, 细枝
v. 懂得, 了解"
stoke,"v. 司炉, (使)大吃"
on earth,"在世上, 究竟"
robotic,"a. 自动的；机器人的, 像机器人的"
giraffe,"n. 长颈鹿, 鹿豹座"
giant,"n. 巨人, 大力士, 巨大怪物
a. 庞大的, 巨大的"
craft,"n. 技艺, 手艺, 诡计
vt. 精心制作"
dinosaur,n. 恐龙
sculpture,"n. 雕刻, 雕塑
vt. 雕刻, 雕塑
vi. 当雕刻师"
next to,几乎
spike,"n. 长钉, 鞋钉, 钉状物, 尖峰状物, 穗
vt. 以大钉钉牢, 用尖物刺穿, 阻止, 弃置不用
"
voiceprint,"n. 声纹
"
celebration,"n. 庆祝, 庆典"
draw attention to,"un. 促使…注意
"
fashion,"n. 流行, 风尚, 时样
vt. 形成, 造, 作"
microscope,"n. 显微镜
"
take apart,"na. 分解；拆分；剖析
"
show stopper,"n. 受到阵阵鼓掌喝彩的节目
"
full-sized," 全轮廓, 真实尺寸"
chew,"vt. 咀嚼, 嚼碎
vi. 咀嚼, 细想
n. 咀嚼, 咀嚼物"
sway,"n. 摇摆, 影响力, 支配
vt. 摇动, 支配, 弄歪, 使倾斜, 使动摇, 影响
vi. 摇动, 摇摆, 倾斜, 动摇, 统治, 转向"
bring together, 使相合[连接]; 使相识;  使坐在一起;  使会面
beast,"n. 畜生, 动物, 野兽, 兽性"
solve,"vt. 解决, 付给, 溶解
vt. 求解
vi. 求解
"
