abolish,"vt. 废止, 革除, 消灭
"
soldier,"n. 军人, 士兵, 兵蚁
vi. 从军, 尽职, 偷懒, 磨洋工"
veteran,"n. 老手, 退伍军人, 老兵, 老树
a. 老兵的, 老练的, 经验丰富的"
glimpse,"n. 一瞥, 一闪
vi. 投以一瞥, 闪烁不定
vt. 瞥见"
glance,"n. 一瞥, 闪光, 掠过, 辉矿类
vi. 扫视, 闪光, 掠过, 提到, 略说
vt. 扫视, 反射, 使掠过"
fare,"n. 费用, 旅客, 食物
vi. 进展, 进步, 经营, 过活"
fee,"n. 费用, 小费, 封地, 所有权
vt. 付费给"
deceive,"v. 欺骗, 行骗"
cheat,"n. 欺骗, 作弊, 骗子
v. 欺骗, 逃脱, 骗取"
mankind,"n. 人类, 男性"
man,"n. 男人, 人类, 人
vt. 为...配备人手, 操纵, 使振奋
"
idle,"a. 懒惰的, 闲散的, 停顿的, 空闲的, 无用的
vi. 无所事事, 闲散, 浪费, 空转
vt. 虚度, 使闲散, 使空转
n. 空转, 空闲时间
"
lazy,"a. 懒惰的, 怠惰的, 缓慢的
vi. 懒散"
faithful,"a. 忠实的, 详确的, 可靠的
n. 信徒"
loyal,"a. 忠诚的, 忠实的, 忠贞的"
reward,"n. 报酬, 酬谢, 赏金
vt. 奖赏, 酬谢, 给...应有报应"
award,"n. 奖品, 裁定, 判决
vt. 授予, 给予"
complement,"n. 补足物, 补语, 补数
vt. 补充, 补足
"
supplement,"n. 补充物, 增刊, 补充, 补遗, 补编, 附录, 补角
vt. 补充, 增补"
mutual,"a. 相互的, 共有的
"
common,"a. 通常的, 共同的, 通俗的, 公共的
"
dubious,"a. 可疑的, 不确定的"
doubtful,"a. 可疑的, 疑心的, 不明确的
"
humble,"a. 低下的, 谦逊的, 粗陋的
vt. 使...卑下, 降低...地位, 贬抑"
modest,"a. 谦逊的, 羞怯的, 端庄的, 适度的
"
prospect,"n. 景色, 展望
vt. 勘探, 勘察
vi. 勘探, 有前途"
perspective,"n. 远景, 透视感, (观察问题的)视角, 透视法, 看法, 透视图
a. 透视的, 透视法的
"
sturdy,"a. 强健的, 健全的
"
vigorous,"a. 精力充沛的, 元气旺盛的, 茁壮的, 有力的"
resist,"v. 抵抗, 耐得住, 抵制, 反抗
n. 防染材料"
withstand,"vt. 抵住, 顶住, 经得起"
progressive,"n. 改革论者, 进步论者
a. 前进的, 累进的, 进步的"
advanced,"a. 在前的, 高级的, 先进的, 年老的
"
product,"n. 产品, 结果, 乘积
"
produce,"n. 生产品, 物产, 后代
vt. 产生, 生产, 提出, 出示
vi. 生产, 制造"
doubt,"n. 怀疑, 疑惑
v. 怀疑, 不信"
suspect,"n. 被怀疑者, 嫌疑犯
a. 令人怀疑的, 不可信的, 可疑的
v. 怀疑, 猜想"
assist,"n. 帮助, 协助
vt. 帮助, 促进
vi. 协助, 参加"
aid,"n. 帮助, 外援, 助手
vt. 援助, 帮助, 有助于
vi. 帮助
"
estimate,"n. 估计, 判断
vt. 估计, 评价, 判断
vi. 估计"
evaluate,"vt. 评估, 评价, 赋值"
requirement,"n. 需求, 必要条件, 要求
"
requisites,n. 必要的事物( requisite的复数形式 )
furnish,"vt. 供给, 提供, 装设
"
provide,"vt. 提供, 供应, 规定, 预备
vi. 作准备, 抚养, 规定"
loyalty,"n. 忠贞, 忠诚, 忠实
"
devotion,"n. 热爱, 投入"
hostage,"n. 人质, 抵押品
"
pawn,"n. 典当, 抵押物, 人质, (象棋)兵, 马前卒, 工具
vt. 当掉, 以...担保"
hasty,"a. 匆匆的, 轻率的, 性怠的"
reckless,"a. 不介意的, 大意的, 鲁莽的, 不顾后果的
"
disabled,"a. 残废的, 有缺陷的, 失效的
"
handicapped,"a. 残疾的
"
rhythm,"n. 旋律, 节奏, 韵律, 匀称, 张弛节律
"
rhyme,"n. 韵, 押韵, 韵文
vi. 押韵
vt. 使押韵, 用韵诗表达"
shear,"n. 修剪, 剪下的东西, 大剪刀, 切变, 剪切机, 切
vt. 修剪, 割, 剥夺, 横越, 削剪
vi. 剪, 修剪, 剪羊毛, 切断"
share,"n. 部分, 参与, 一份, 参股, 份额
vt. 均分, 分担, 分享, 分配, 共有
vi. 分享
"
browse,"v. 浏览, 吃草
n. 浏览, 吃草
"
skim,"vt. 撇取浮沫, 略读, 掠过
vi. 擦过, 浏览
n. 脱脂乳, 擦过, 表层物
a. 撇去浮沫的"
brochure,"n. 小册子, 小册"
pamphlet,"n. 小册子, 活页文选"
credible,"a. 可信的, 可靠的
"
credulous,"a. 轻信的, 易受骗的"
comprehension,"n. 理解, 包含"
understanding,"n. 理解, 谅解
"
evoke,"vt. 唤起, 引起, 召(魂)
"
summon,"vt. 召唤, 召集, 号召, 振奋, 唤起, 鼓起
"
conquest,"n. 战胜, 征服, 战利品
"
triumph,"n. 凯旋, 胜利, 欢欣
vi. 得胜, 成功"
victory,"n. 胜利, 战胜, 克服"
break,"n. 休息, 中断, 破裂处, 绝交, 破晓, 突变
vt. 打破, 弄破, 弄坏, 破坏, 违反, 打断, 削弱, 放弃
vi. 破碎, 决裂, 破晓, 突变, 变弱, 暂停
n. 分隔符
"
crack,"n. 裂缝, 爆裂声
v. (使)爆裂, (使)裂开, (使)发出爆裂声
a. 第一流的
adv. 啪地一声"
snap,"vt. 使突然中断, 猛咬, 争夺, 拉断, 使有啪啪声, 厉声说, 突然射击, 用快照拍摄
vi. 咬, 扑, 抓, 折断, 劈啪地响, 厉声说, 砰然关上
n. 猛咬, 猛扑, 劈啪声, 申斥, 快照, 活力, 一般时期的寒冷天气, 揿钮
a. 突然的, 装搭扣的
adv. 猛地
"
compound,"n. 混合物, 复合词, 化合物, 院子
a. 复合的, 混合的, 化合的
vi. 化合, 和解, 妥协
vt. 使复合, 使化合"
blend,"vt. 混合
n. 混合"
integrate,"vt. 综合, 使完整, 使成整体
vi. 成一体
a. 完整的, 完全的"
apparatus,"n. 装置, 器具, 器官
"
instrument,"n. 工具, 手段, 仪器
"
device,"n. 装置, 设计, 策略, 发明物, 设备
"
beat,"n. 心跳(声), 打, 敲打声, 拍子
v. 打, 拍打, 打败
a. 疲乏的, 颓废的
beat的过去式
"
hit,"n. 打击, 打, 冲撞, 讽刺
vt. 打, 打击, 碰撞, 打中, 袭击, 偶然碰上
vi. 打, 打中, 打击, 碰撞, 偶然碰上
"
strike,"n. 罢工, 打击, 殴打
vt. 打, 撞击, 冲击, 侵袭, 取消, 结算, 打掉, 罢工, 刺透, 使生根, 遇见
vi. 打, 打击, 抓, 罢工, 搏动, 触礁, 敲, 响, 穿透, 打动"
ordinary,"a. 平常的, 普通的, 平凡的
n. 平常的人(或事)"
common,"a. 通常的, 共同的, 通俗的, 公共的
"
general,"n. 一般, 将军, 大体
a. 全面的, 大体的, 总的, 一般的, 普遍的
n. 常规
"
comment,"n. 注解, 批评, 评论, 备注
vi. 评论, 注解
"
commentary,"n. 注释, 评论, 说明
"
remark,"n. 评论, 注意
vt. 评论, 注意
vi. 评论, 谈论
"
single,"a. 单身的, 单程的, 单一的, 个别的, 孤独的, 专一的
n. 一个, 单打, 单程票
vt. 选出
vi. 击出一垒打
"
separate,"n. 独立件, 抽印本
a. 分开的, 各别的, 单独的, 分隔的
vi. 分开, 隔开, 分居
vt. 使分离, 使分开, 区分, 使分居"
particular,"n. 一项(或条、点), 个别项目, 详细说明
a. 特别的, 独有的, 挑剔的, 详尽的"
amplify,"vt. 增强, 放大, 扩大, 详述
vi. 引伸"
expand,"vt. 使膨胀, 详述, 扩张
vi. 张开, 发展
vt. 展开
vi. 展开
"
extend,"v. 扩充, 延伸, 伸展, 扩大
"
recreation,"n. 娱乐, 消遣, 休息, 再创造
"
amusement,"n. 兴味, 娱乐, 消遣
"
entertainment,"n. 娱乐, 款待, 娱乐表演"
elevate,"vt. 举起, 提拔, 鼓舞"
hoist,"n. 升高, 起重机, 推动
v. 升起, 升高, 举起"
lift,"n. 举起, 帮助, 昂扬, 电梯
vt. 升高, 提高, 鼓舞, 清偿, 空运, 举起, 剽窃
vi. 升起, 消散, 耸立"
mend,"n. 改进, 修补, 好转
vt. 修改, 改进, 加快, 修理
vi. 好转, 改善"
repair,"n. 修理, 补救, 修复
vt. 修理, 修补, 补救, 恢复, 补偿
vi. 修理, 修补, 补救, 恢复, 去, 常去, 集合"
patch,"n. 片, 补缀, 碎片, 斑, 傻瓜
vt. 补缀, 掩饰, 拼凑, 平息
"
obstacle,"n. 障碍, 妨害物, 阻碍"
hindrance,"n. 妨害, 障碍, 阻碍物"
obstruction,"n. 障碍, 妨碍, 闭塞物
"
tale,"n. 故事, 谎言, 谣言, 陈述, 叙述
"
narrative,"n. 叙述, 故事
a. 叙述的, 叙事的, 故事体的"
anecdote,"n. 轶事, 奇闻"
scatter,"n. 消散, 分散, 散播, 散射, 散布, 酒馆
vi. 散布, 散播, 消散
vt. 使消散, 使分散, 撒, 散布, 散播, 散射
"
disperse,"vt. 分散, 传播, 散开
vi. 分散
a. 分散的
"
spread,"n. 传播, 散布, 伸展
a. 双唇展开的, 伸展的
vt. 展开, 铺开, 传播, 推广, 伸出, 涂, 敷, 延伸
vi. 展开, 扩大, 传开, 延伸
"
conflict,"n. 战斗, 冲突, 矛盾, 争执
vi. 争执, 战斗, 冲突, 抵触
"
contest,"n. 竞赛, 争论
vt. 竞争, 争取, 争辩
vi. 竞争"
combat,"n. 争斗, 战斗
vi. 战斗, 争斗
vt. 与...战斗, 与...斗争"
fight,"n. 打架, 争吵, 斗志
v. 对抗, 打架"
state,"n. 州, 状态, 情形, 国家, 政府, 领土, 国务, 社会地位
a. 国家的, 正式的, 礼仪用的, 州的
vt. 说明, 陈述, 规定
"
declare,"v. 宣布, 声明, 申报, 断言"
announce,"vt. 宣布, 声称, 显示, 预告
vi. 当报幕员, 宣布参加竞选"
proclaim,"vt. 宣布, 公告, 宣言, 表明, 赞扬
"
release,"n. 释放, 发泄, 豁免, 发行, 释放证书
vt. 释放, 解除, 放松, 豁免, 免除, 发布, 放弃, 让与
n. 发布
"
publish,"vt. 出版, 发行, 公开, 发表, 宣传, 公布
vi. 出版, 发行"
alike,"a. 相似的, 同样的
adv. 一样, 以同样的方式"
similar,"a. 相似的, 类似的
n. 相似的东西"
additional,"a. 附加的, 另外的, 额外的
"
extra,"n. 额外的事物, 另外的收费
a. 额外的, 特别的
adv. 额外地, 特别地, 非常地"
assign,"vt. 分配, 指派, 赋值
"
allocate,"vt. 分派, 分配
"
convict,"n. 囚犯, 罪犯
vt. 宣告有罪, 使知罪"
sentence,"n. 句子, 命题, 宣判
vt. 宣判, 判决
"
contend,"vi. 奋斗, 斗争, 竞争
vt. 为...斗争"
rival,"n. 对手, 竞争者
a. 竞争的"
slack,"n. 松弛, 松懈, 淡季, 闲散, 家常裤
a. 松弛的, 不流畅的, 疏忽的, 无力的, 呆滞的, 软弱的, 漏水的
adv. 马虎地, 缓慢地
vt. 放松, 使缓慢
vi. 松懈, 减弱, 松弛"
loose,"n. 发射, 放任, 放纵
a. 宽松的, 松的, 宽的, 不牢固的, 散漫的, 自由的, 不精确的
vt. 释放, 放枪, 开船
vi. 变松, 开火
adv. 松散地"
undermine,"vt. 在...下面挖, 渐渐破坏, 暗地里破坏
"
weaken,"vt. 削弱, 减弱, 使虚弱
vi. 变弱, 变软弱"
ornament,"n. 装饰, 点缀品, 教堂用品
vt. 装饰, 修饰"
decorate,v. 装饰
scar,"n. 疤痕, 伤痕, 悬崖
vi. 结疤, 愈合, 痊愈
vt. 使有伤痕"
seam,"n. 缝合线, 衔接口, 接缝, 线缝, 伤疤
vt. 缝合, 接合, 焊合, 使留下伤痕
vi. 裂开, 发生裂痕"
isolate,"vt. 使隔离, 使孤立, 使绝缘
n. 隔离种群"
separate,"n. 独立件, 抽印本
a. 分开的, 各别的, 单独的, 分隔的
vi. 分开, 隔开, 分居
vt. 使分离, 使分开, 区分, 使分居"
clear,"a. 清楚的, 明确的, 澄清的
adv. 清晰地
vt. 澄清, 清除障碍
vi. 放晴, 变清澈
n. 空隙
"
distinct,"a. 清楚的, 显著的, 不同的"
slaughter,"n. 残杀, 屠杀, 杀戮
vt. 残杀, 屠杀, 亏本出售"
massacre,"n. 大屠杀
vt. 大屠杀, 残杀"
yell,"vi. 叫喊, 大叫, (齐声)呐喊欢呼
vt. 喊叫着说
n. 叫声, 喊声, 呐喊"
shout,"n. 呼喊, 喊声
vi. 呼喊, 喊叫, 嚷
vt. 高喊"
fake,"n. 假货, 欺骗, 诡计
a. 假的
vt. 假造, 仿造
vi. 伪装"
imitation,"n. 模仿, 效法, 冒充, 赝品
"
administer,"vt. 管理, 料理, 执行
vi. 执行遗产管理人的职责, 给予帮助"
manage,"vi. 处理
vt. 管理, 控制, 维持, 达成, 经营, 运用"
appeal,"n. 恳求, 诉请, 上诉, 吸引力
vi. 呼吁, 诉请, 要求, 上诉, 有吸引力
vt. 将...上诉"
lure,"n. 饵, 诱惑
vt. 引诱, 诱惑"
route,"n. 路径, 途径, 路线
vt. 确定路线, 按规定路线发送
"
passage,"n. 通道, 通过, 移居, 航行, 一段, 走廊
vi. 通过, 经过, 航行, 横渡, 争吵
vt. (使)马以斜横步前进, 使传代"
authentic,"a. 可靠的, 可信的, 真正的
"
real,"a. 真的, 真实的, 实际的, 实在的, 不动(产)的, 实数的
n. 实数, 现实
adv. 真正地"
originate,"vt. 创始, 发明, 发起
vi. 发源, 发生, 起航
"
initiate,"n. 入会, 开始
a. 新加入的
vt. 开始, 传授基本知识给"
grief,"n. 伤心, 忧愁, 悲痛, 不幸, 灾难"
misery,"n. 痛苦, 悲惨, 不幸, 穷困"
shrewd,"a. 精明的, 锐利的, 剧烈的, 机灵的, 厉害的"
smart,"a. 聪明的, 漂亮的, 刺痛的, 剧烈的, 敏捷的, 巧妙的, 伶俐的, 潇洒的
n. 刺痛, 痛苦
vi. 刺痛"
skip,"n. 跳跃, 跳读
vi. 跳越, 跳读, 跳绳, 遗漏, 跳级
vt. 跳过, 遗漏
"
leap,"n. 跳跃, 剧增, 急变, 被越过之物
vi. 跳跃, 突然经过
vt. 跃过, 使跃过"
staple,"n. 主要产物, 常用品, 主要要素, 原料, 订书钉, 钩环
a. 主要的, 重要的
vt. 分级, 钉住"
principal,"n. 校长, 首长, 本金, 主犯, 资本, 委托人
a. 主要的, 最重要的, 首要的"
vain,"a. 无价值的, 徒然的, 空虚的, 自负的, 愚蠢的"
arrogant,"a. 自大的, 傲慢的"
fascinate,"vt. 令人入神, 使着迷
vi. 入迷"
charm,"n. 吸引力, 魔力, 符咒
vt. 迷住, 使陶醉, 行魔法
vi. 用符咒, 有魅力"
swamp,"n. 沼泽, 进退两难的困境
vt. 淹没, 击溃, 清除, 使陷于沼泽
vi. 陷于沼泽, 淹没"
marsh,"n. 沼泽, 湿地
a. 沼泽的"
token,"n. 表征, 记号, 代币
a. 象征的, 表意的
"
souvenir,n. 纪念品
deduction,"n. 减除, 扣除, 减除额, 推论
"
induction,"n. 归纳法, 感应, 就职, 入门
"
reverse,"n. 相反, 背面, 倒退, 挫折, 失败
a. 反面的, 相反的, 反向的, 颠倒的
vt. 使颠倒, 使逆转, 使倒退, 使反向
vi. 倒退, 反向, 倒转, 反转
"
invert,"a. 转化的
vt. 使反转, 使颠倒, 使转化
n. 颠倒的事物
"
pistol,"n. 手枪, 信号枪
vt. 以手枪杀死(或伤害)"
gun,"n. 枪
"
pact,"n. 契约, 协定, 条约
"
bargain,"n. 交易, 买卖协定, 特价商品
v. 讲价, 交易"
comic,"n. 连环漫画, 喜剧演员, 滑稽的人
a. 滑稽的, 有趣的, 喜剧的"
ridiculous,"a. 荒谬的, 可笑的"
vacant,"a. 空的, 空白的, 空虚的, 空闲的, 茫然的, 空缺的
"
blank,"n. 空格, 空白
a. 空白的, 空虚的, 完全的, 无色的
vi. 消失, 成为空白
vt. 使无效, 取消, 封锁
"
empty,"a. 空的, 空虚的, 空腹的, 空洞的
n. 空的东西, 空车
vt. 倒空, 使变空, 使排出
vi. 流空
"
naked,"a. 裸体的, 无装饰的, 无保护的, 赤贫的
"
bare,"a. 赤裸的, 缺少的, 无遮蔽的, 坦率的
vt. 使赤裸, 露出"
bald,"a. 秃头的, 光秃的, 单调的, 赤裸的
vi. 变秃"
pause,"n. 暂停, 中止, 停顿, 间歇, 踌躇, 休止符
vi. 暂停, 中止, 停顿, 踌躇
"
cease,"n. 停止
v. 停止, 终了"
halt,"n. 停止, 立定, 休息
vt. 使停止, 使立定
vi. 立定, 停止, 蹒跚, 踌躇, 有缺点
"
excessive,"a. 过度的, 过多的, 极端的
"
extravagant,"a. 奢侈的, 挥霍无度的, 浪费的"
extreme,"n. 极端, 末端
a. 极端的, 尽头的, 极度的, 偏激的"
display,"n. 显示, 陈列, 炫耀, 显示器
vt. 陈列, 显示, 表现, 夸示
"
expose,"vt. 使暴露, 使曝光, 揭穿, 陈列
"
reveal,"vt. 露出, 显示, 透露, 揭露, 泄露, (神)启示
n. 窗侧, 门侧"
crucial,"a. 决定性的, 重要的, 严厉的
"
critical,"a. 批评的, 决定性的, 危险的, 临界的
"
vital,"a. 生命的, 重要的, 充满活力的, 生死攸关的, 致命的
"
subsidiary,"n. 子公司, 附件, 辅助者
a. 辅助的, 次要的, 津贴的"
auxiliary,"n. 辅助者, 辅助物, 附属机构, 助动词
a. 辅助的, 备用的"
secondary,"a. 中级的, 中等的, 次要的, 第二的, 从属的, 辅助的
"
resource,"n. 资源, 财力, 办法, 策略, 急智, 消遣
"
source,"n. 来源, 水源, 根源, 原始资料, 源
"
origin,"n. 起源, 起因, 出身, 开端
"
hinder,"a. 后面的
v. 阻碍, 打扰"
restrict,"vt. 限制, 限定, 约束
"
prohibit,"vt. 禁止, 阻止
"
profit,"n. 利润, 赢利, 利益
vi. 有益, 获利, 赚钱
vt. 有益于"
advantage,"n. 优点, 便利, 好处, 优势
vt. 有助于"
benefit,"n. 利益
vt. 有益于
vi. 受益"
position,"n. 位置, 地位, 身分, 形势, 姿势, 立场, 职位, 状态, 阵地
vt. 安置, 决定...的位置
"
vocation,"n. 职业, 天命, 天职, 才能, 行业
"
career,"n. 事业, 生涯, 成功
"
expectation,"n. 期待, 指望, 展望
"
hope,"n. 希望, 信心, 期待
v. 希望, 期望, 信赖"
outlook,"n. 观点, 景色, 前途, 了望
"
controversy,"n. 论争, 辩论, 论战, 争论
"
argument,"n. 争论, 论证, 论据, 自变量
"
debate,"n. 辩论, 讨论
v. 争论, 辩论"
former,"a. 从前的, 前者的
n. 起形成作用的人(或物), 模型, 样板"
preceding,"a. 在前的, 前面的
"
previous,"a. 早先的, 前面的, 过急的
"
available,"a. 可利用的, 可获得的, 有效的
"
accessible,"a. 易接近的, 可进入的, 可使用的, 易受影响的, 可理解的"
attainable,"a. 可到达的, 可得到的"
attractive,"a. 吸引人的, 有魅力的
"
beautiful,a. 美丽的
handsome,"a. 英俊的, 大方的, 慷慨的, 相当可观的, 美观的, 灵敏的"
pretty,"a. 漂亮的, 优美的, 机灵的, 狡猾的, 恰当的
adv. 相当, 颇"
conference,"n. 会议
"
rally,"n. 重振旗鼓, 集合, 群众集会, 跌停回升
v. 重整旗鼓, 集合, 恢复精神, 团结, 挖苦, 嘲笑"
session,"n. 期间, 开庭期, 会议, 学期
"
symposium,"n. 讨论会, 座谈会, 专题报告会, 专题论文集"
leak,"n. 漏洞, 漏处, 漏出, 泄漏
vi. 漏, 泄漏
vt. 使渗漏"
seep,"vi. 渗出, 渗流, 漏
n. 小泉, 水陆两用吉普车"
dazzle,"v. (使)眼花, 炫耀
n. 耀眼"
shine,"n. 光泽, 阳光
vt. 使发光
vi. 照耀, 发光, 发亮"
levy,"n. 税款, 所征的人数, 征收
vi. 征税, 课税
vt. 征收, 强求, 召集"
impose,"vt. 征(税), 把...强加于, 以...欺骗
vi. 利用, 欺骗, 施加影响"
contaminate,"vt. 弄污, 弄脏, 污染, 毒害
"
pollute,"vt. 污染, 弄脏, 玷污
"
detach,"vt. 使分离, 分遣
"
separate,"n. 独立件, 抽印本
a. 分开的, 各别的, 单独的, 分隔的
vi. 分开, 隔开, 分居
vt. 使分离, 使分开, 区分, 使分居"
rigorous,"a. 严厉的, 严酷的, 严格的, 苛刻的, 严密的, 精确的"
rigid,"a. 坚硬的, 刚性的, 严格的, 精密的, 刻板的"
solidarity,"n. 团结, 团结一致, 共同一致
"
unity,"n. 一致, 联合, 单一(性), 个体
"
revive,"vt. 使苏醒, 使复兴, 使振奋, 回想起, 重播
vi. 苏醒, 复活, 复兴, 恢复精神"
restore,"vt. 回复, 恢复, 归还, 修补, 修复
vt. 还原
vi. 还原
"
percentage,"n. 百分比, 比率, 部分, 可能性
"
proportion,"n. 比例, 比率, 均衡, 部分, 面积
vt. 使成比例, 使均衡"
deny,"v. 否认, 拒绝"
contradict,"vt. 反驳, 与...抵触, 与...矛盾
vi. 反驳"
revenge,"n. 报仇, 复仇, 报复
vt. 报仇, 报复"
retaliate,"vt. 报复, 回敬
vi. 报复, 以牙还牙"
clutch,"n. 抓紧, 掌握, 离合器, 一窝小鸡
vt. 抓住, 踩汽车离合器踏板
vi. 抓
"
clench,"n. 牢牢抓住, 钉紧, 敲弯钉尖
vt. 紧握, 牢牢地抓住, 确定, 敲弯
vi. 握紧, 钉牢"
character,"n. 个性, 字符, 人物, 性质, 品格, 资格
"
temperament,"n. 气质, 性格, 性情
"
ambitious,"a. 有野心的, 抱负不凡的, 雄心勃勃的"
aspiring,"a. 有抱负的, 有志气的"
spacious,"a. 广大的, 宽广的"
capacious,"a. 容积大的, 广阔的, 宽敞的"
esteem,"n. 尊敬, 尊重
vt. 尊敬, 尊重, 认为"
regard,"n. 关心, 注意, 尊敬, 关系, 问候
vt. 视为, 注意, 考虑, 和...有关, 看待
vi. 注视, 注意"
stimulate,"vt. 刺激, 激励, 鼓舞
vi. 起刺激作用"
propel,"vt. 推进, 驱使
"
vocal,"a. 嗓音的, 声音的, 有声的, 歌唱的
n. 元音, 声乐作品"
outspoken,"a. 直言无讳的, 坦率的, 坦白无隐的"
attribute,"n. 属性, 标志, 定语
vt. 把...归于, 认为...属于
"
ascribe,"vt. 归因于, 归咎于
"
attach,"vt. 附上, 使依附, 使附属, 使喜爱, 系, 缚
vi. 附属, 归属, 联系在一起
"
adhere,"vi. 依附, 粘着, 坚持, 追随, 拥护
vt. 使粘附"
remove,"vt. 移动, 调动, 除去, 迁移, 开除, 移交
vi. 迁移, 移动, 搬家
n. 班级, 升级, 移动, 搬家, 间距
"
deprive,"vt. 剥夺, 使丧失
"
upright,"a. 正直的, 诚实的, 公正的, 垂直的, 竖式的
"
straightforward,"a. 笔直的, 率直的, 明确的, 简单的, 直接的"
amend,"vt. 修改, 改善, 改良
vi. 改过自新"
correct,"a. 正确的, 合适的
vt. 改正, 订正"
junction,"n. 连接, 会合处, 交叉点
"
juncture,"n. 接合, 连接, 接缝"
abnormal,"a. 反常的, 不规则的, 变态的, 畸形的
n. 畸形的人"
unusual,"a. 不寻常的, 罕见的, 与众不同的"
supervise,"v. 监督, 管理, 指导"
administer,"vt. 管理, 料理, 执行
vi. 执行遗产管理人的职责, 给予帮助"
scorn,"n. 轻蔑, 藐视, 嘲笑, 被嘲弄的人
vt. 轻蔑, 不屑做"
despise,vt. 轻视
gesture,"n. 手势, 姿态
vi. 作手势, 作姿态"
posture,"n. 姿势, 态度, 情形, 形势
vt. 作...的姿势
vi. 作姿势"
decline,"n. 衰退, 跌落, 下降
vt. 使降低, 婉谢
vi. 下降, 衰落, 偏斜"
descend,"vi. 下降, 世代相传, 屈尊, 袭击
vt. 下降"
aggressive,"a. 侵略的, 挑畔的, 进取的
"
militant,a. 好战的
compensate,"v. 偿还, 补偿, 付报酬"
pay,"n. 薪资, 付款, 补偿
vt. 支付, 付清, 补偿, 偿还, 对...有利, 为...涂防水物
vi. 付款, 付出代价, 偿还, 得到报应, 获得好处"
contrary,"a. 相反的, 矛盾的, 对立的
n. 相反, 对立面
adv. 相反地"
opposite,"a. 相对的, 相反的, 对面的
prep. 对面
n. 对立面"
shatter,"n. 碎片, 粉碎, 落叶, 喷洒
vt. 打碎, 使散开, 粉碎, 破坏
vi. 粉碎, 损坏, 脱落"
smash,"n. 打碎, 粉碎, 打碎时哗啦声, 猛击, 扣球, 杀球, 经营失败, 破产, 硬币, 假硬币
a. 非常轰动的, 了不起的
vt. 打碎, 粉碎, 击溃, 使破产, 使裂变, 使用假硬币
vi. 碎裂, 猛撞, 破产, 扣球, 杀球
adv. 轰隆一声, 哗啦一声"
environment,"n. 环境, 外界, 围绕
"
setting,"n. 环境, 背景, 布景, 镶嵌, 调整, 沉落, 一副餐具
"
surroundings,"n. 环境, 周围的事物
"
magazine,"n. 杂志, 仓库, 弹盒, 胶卷盒
"
periodical,"n. 期刊
a. 定期出版的, (有关)期刊的, 间歇(性的), 周期的, 定期的"
journal,"n. 日记, 杂志, 日报
"
distant,"a. 远的, 疏远的
"
remote,"a. 遥远的, 偏僻的, 疏远的, 微少的
"
far,"a. 远的, 久远的, 遥远的
adv. 甚远地, 很, 到很深的程度, 到很远的距离"
legal,"a. 法律的, 法定的, 合法的
"
lawful,"a. 法律许可的, 守法的, 合法的
"
legitimate,"a. 合法的, 正当的, 婚生的
vt. 认为正当, 立为嫡嗣, 使合法"
criterion,"n. 标准, 准则, 规范
"
standard,"n. 标准, 规格, 旗, 军旗, 本位
a. 标准的, 合规格的
"
gauge,"n. 标准度量, 计量器
vt. 精确计量, 估计
"
assignment,"n. 分配, 功课, 任务, 转让, 归因, 陈述
"
task,"n. 工作, 任务, 作业, 困难的工作
vt. 派给...工作, 使辛劳
"
job,"n. 工作, 零活, 职业, 事情
vi. 做零工, 打杂, 做股票经纪, 假公济私
vt. 代客买卖, 批发, 承包, 欺骗
"
factor,"n. 因素, 因数, 系数, 基因, 代理人
"
element,"n. 元件, 元素, 要素
"
ingredient,"n. 成分, 因素
"
maintain,"vt. 维持, 维修, 保持, 坚持, 供养, 主张
"
preserve,"vt. 保护, 保持, 保存, 维持, 腌, 禁猎
vi. 加工食品, 禁猎
n. 加工成的食品, 禁猎地, 保护区, 防护物"
stay,"n. 停留, 逗留, 制止, 延缓, 停止, 支柱, 支撑物, 支索
vt. 制止, 延缓, 坚持, 支持, 支撑, 用支索固定
vi. 停留, 逗留, 暂停, 坚持, 中止"
age,"n. 年龄, 老年, 成年, 寿命, 时代, 时期
v. 变老, 成熟"
era,"n. 时代, 纪元, 时期"
epoch,"n. 新纪元, 时代, 时期"
response,"n. 反应, 回答, 响应
"
reply,"n. 答复, 回答, 答辩
vi. 答复, 回答, 回击, 反响, 答辩
vt. 回答
"
answer,"n. 答案, 回答, 回报, 答辩
vt. 回答, 反驳, 适应, 响应, 符合
vi. 回答, 答应, 负责, 符合, 成功
"
adequate,"a. 适当的, 足够的
"
sufficient,"a. 充分的, 足够的
"
enough,"n. 充足, 够, 很多
a. 充足的, 足够
adv. 足够
interj. 够了"
ultimate,"n. 终极, 根本, 顶点, 基本原则
a. 终极的, 根本的, 极限的, 最远的, 最后的, 最大的"
final,"n. 期末考试, 结局, 决赛
a. 最后的, 终极的, 决定性的"
last,"a. 最后的, 末尾的, 最近的
vi. 持续, 支持, 维持
vt. 使维持, 够...用
adv. 最后, 后来
n. 最后, 末尾, 鞋楦头"
adolescent,"a. 青春期的, 青少年的
n. 青少年"
teenager,n. 十三岁到十九岁的少年
youth,"n. 年轻, 青年时代, 青年们, 青春
"
remove,"vt. 移动, 调动, 除去, 迁移, 开除, 移交
vi. 迁移, 移动, 搬家
n. 班级, 升级, 移动, 搬家, 间距
"
eliminate,"vt. 除去, 排除, 剔除, 消除"
dismiss,"vt. 解散, 开除, 解职
vi. 解散
"
