ditch,"n. 沟渠
vt. 在...开沟
vi. 开沟"
front,"n. 前面, 开头, 前线, 阵线, 态度
vt. 面对, 朝向, 对抗
vi. 朝向"
confront,"vt. 使面对, 对抗, 遭遇, 使对质, 比较
"
confrontation,n. 对抗；对质；面对
frontier,"n. 边界, 边境
"
upfront,"a. 正直的, 坦率的; 最前面的, 首要的; 在前面的; 预先的
adv. 在最前面; 提前支付（工资）"
question,"n. 问题, 询问
v. 询问, 审问, 怀疑
"
question,"n. 问题, 询问
v. 询问, 审问, 怀疑
"
questionable,"a. 可疑的
"
questionnaire,"n. 调查表, 问卷
"
quest,"n. 探索, 寻求, 调查
v. 寻找, 找, 追寻猎物"
request,"n. 请求, 需要, 申请书
vt. 请求, 要求, 邀请
"
acquire,"vt. 获得, 学到
"
inquire,"v. 询问, 问明, 查究"
inquiry,"n. 质询, 探索, 调查, 询盘
"
require,"vt. 需要, 命令, 要求
"
requirement,"n. 需求, 必要条件, 要求
"
acquisition,"n. 获得, 获得物
"
inquisitive,"a. 好问的, 想知道的, 好追根究底的"
requisite,"n. 必需品, 要素, 必要物品
a. 必要的, 需要的"
exquisite,"a. 精致的, 细腻的, 敏锐的"
measure,"n. 尺寸, 量度器, 量度标准, 测量, 量具, 程度, 范围, 限度, 分寸, 措施, 方法
vt. 测量, 测度, 估量, 权衡, 调节, 拿(自己或自己的力量等)作较量
vi. 度量"
measure,"n. 尺寸, 量度器, 量度标准, 测量, 量具, 程度, 范围, 限度, 分寸, 措施, 方法
vt. 测量, 测度, 估量, 权衡, 调节, 拿(自己或自己的力量等)作较量
vi. 度量"
measurable,"a. 可测量的, 不久的, 重要的"
measurement,"n. 尺寸, 度量, 度量单位
"
dimension,"n. 尺寸, 次元, 面积, 维数
vt. 标出尺寸"
immense,"a. 极广大的, 无边的, 非常好的"
merge,"vt. 使合并, 使消失, 吞没
vi. 合并, 渐渐消失
"
merge,"vt. 使合并, 使消失, 吞没
vi. 合并, 渐渐消失
"
emerge,"vi. 浮现, 形成, 出现, (事实)显露"
emergency,"n. 紧急状况, 紧急事件, 紧急需要
"
submerge,"vt. 使浸水, 使陷入, 淹没
vi. 潜入水中"
immerse,"vt. 沉浸, 使陷入
"
necessary,a. 必要的；必然的；必需的
necessary,a. 必要的；必然的；必需的
necessarily,"adv. 必然地, 必须地, 必要地"
unnecessary,a. 不必要的
necessity,"n. 需要, 必需品, 必然
"
necessitate,"vt. 迫使, 使成为必需, 需要"
number,"n. 数, 数字, 数目, 号码
vt. 数, 计算, 共计
vi. 计算, 报数
"
number,"n. 数, 数字, 数目, 号码
vt. 数, 计算, 共计
vi. 计算, 报数
"
outnumber,"vt. 数目超过, 比...多"
numerical,"a. 数字的, 数值的, 以数字表示的, 擅长于计数的
"
numerous,"a. 很多的, 数目众多的, 多数的
"
innumerable,"a. 无数的, 数不清的"
sum,"n. 总数, 总和, 金额, 概要, 顶点
vt. 总计, 概括
vi. 合计
"
sum,"n. 总数, 总和, 金额, 概要, 顶点
vt. 总计, 概括
vi. 合计
"
summary,"n. 摘要, 概要
a. 摘要的, 简略的
"
summarize,"v. 概述, 总结"
summarise,"vt. 概括, 总结, 摘要, 概述"
resume,"vt. 重新开始, 取回, 恢复
vi. 再开始
n. 摘要, 个人简历
"
summit,"n. 顶点, 最高阶层, 最高级会议
a. 政府首脑的, 最高级的"
assume,"vt. 假定, 承担, 呈现
vi. 装腔作势, 僭越"
consume,"vt. 消耗, 消费, 消灭
vi. 耗尽, 毁灭"
presume,"vt. 假定, 推测, 擅自, 意味着
vi. 擅自行动, 相信"
presumable,"a. 可推测的, 可能有的, 似真的
"
presumably,"adv. 推测上, 大概"
resume,"vt. 重新开始, 取回, 恢复
vi. 再开始
n. 摘要, 个人简历
"
assumption,"n. 假定, 自负, 担任, 假装
"
consumption,"n. 消费, 消费量, 痨病
"
presumption,"n. 专横, 放肆, 假定, 推测
"
resumption,"n. 取回, 恢复, 再开始
"
patient,"n. 病人, 承受者
a. 忍耐的, 容忍的, 有耐性的, 坚忍的"
patient,"n. 病人, 承受者
a. 忍耐的, 容忍的, 有耐性的, 坚忍的"
patience,"n. 耐性, 忍耐"
compatible,"a. 能共处的, 可并立的, 适合的
"
incompatible,"a. 不相容的, 不能并存的, 矛盾的
"
thesis,"n. 论题, 论文"
thesis,"n. 论题, 论文"
hypothesis,"n. 假设
"
hypothetical,"a. 假设的, 有待证实的, 假定的, 有前提的
"
synthesis,"n. 综合, 组织, 综合体
"
synthetic,"n. 合成物质
a. 综合(性)的, 人造的, 合成的"
vary,"vt. 改变, 使多样化
vi. 变化, 有不同, 违反"
vary,"vt. 改变, 使多样化
vi. 变化, 有不同, 违反"
invariable,"n. 不变的东西, 常数
a. 不变的, 常数的"
invariably,"adv. 不变化地, 恒定地, 始终如一地"
lift,"n. 举起, 帮助, 昂扬, 电梯
vt. 升高, 提高, 鼓舞, 清偿, 空运, 举起, 剽窃
vi. 升起, 消散, 耸立"
lift,"n. 举起, 帮助, 昂扬, 电梯
vt. 升高, 提高, 鼓舞, 清偿, 空运, 举起, 剽窃
vi. 升起, 消散, 耸立"
aloft,"adv. 在高处, 在上"
lofty,"a. 高的, 傲慢的, 崇高的, 高级的, 玄虚的"
elevate,"vt. 举起, 提拔, 鼓舞"
elevation,"n. 海拔, 提高, 仰角
"
elevator,"n. 电梯, 升降机
"
lever,"n. 杠杆, 似杠杆之工具
vt. 撬开
vi. 使用杠杆"
levy,"n. 税款, 所征的人数, 征收
vi. 征税, 课税
vt. 征收, 强求, 召集"
alleviate,"vt. 减轻, 使缓和"
relieve,"vt. 减轻, 救济, 解除, 使免除, 换...的班, 使得到调剂, 使不单调, 衬托, 使显著
vi. 救济, 当替补投手, 呈鲜明突出"
relief,"n. 减轻, 解除, 救济, 安慰, 调剂, 浮雕, 换班, (地势的)起伏
"
grave,"n. 墓穴, 坟墓, 终结, 死亡
a. 庄重的, 严肃的, 重大的, 低沉的
vt. 雕刻"
gravity,"n. 地心引力, 重力
"
aggravate,"vt. 使恶化, 使更严重, 加重"
grieve,"vt. 使悲伤
vi. 悲痛, 伤心"
grief,"n. 伤心, 忧愁, 悲痛, 不幸, 灾难"
grave,"n. 墓穴, 坟墓, 终结, 死亡
a. 庄重的, 严肃的, 重大的, 低沉的
vt. 雕刻"
engrave,"vt. 刻上, 雕刻, 铭记"
groove,"n. 凹槽, 惯例, 理想境况
vt. 开槽于"
ambulance,"n. 救护车
"
ambulance,"n. 救护车
"
ambition,"n. 野心, 志向"
ambitious,"a. 有野心的, 抱负不凡的, 雄心勃勃的"
ambassador,"n. 大使
"
embassy,"n. 大使馆, 大使馆全体人员
"
ambiguous,"a. 不明确的, 模棱两可的
"
ambiguity,"n. 不明确, 含糊
"
construct,"vt. 构造, 建造, 对...进行构思, 作图
n. 构成物"
construct,"vt. 构造, 建造, 对...进行构思, 作图
n. 构成物"
construction,"n. 建筑, 构造, 建筑物
"
constructive,"a. 建设性的, 构造上的
"
destruction,"n. 破坏, 毁灭
"
destructive,"a. 毁灭性的, 破坏的, 有害的
"
obstruct,"vt. 阻隔, 妨碍, 阻塞, 遮没
vi. 设障碍"
obstruction,"n. 障碍, 妨碍, 闭塞物
"
structure,"n. 结构, 构造, 建筑物
vt. 构成, 组织"
infrastructure,"n. 基础结构, 基础设施
"
instruct,"vt. 教, 教育, 命令, 通知
"
instruction,"n. 指令, 教导, 命令
"
instructor,"n. 教员, 讲师
"
just,"a. 正直的, 合理的, 正确的, 应得的
adv. 刚刚, 正好, 仅仅"
just,"a. 正直的, 合理的, 正确的, 应得的
adv. 刚刚, 正好, 仅仅"
justice,"n. 正义, 公平, 公正, 正确, 司法, 审判"
justify,"vt. 替...辩护, 证明
vi. 证明合法
"
justification,"n. 辩护, 证明正当, 释罪
"
adjust,"vt. 调整, 使适应于, 校准
vi. 适应于, 被调节, 相互熟悉而适应"
adjustable,"a. 可调节的
"
adjustment,"n. 调整, 调节, 校正
"
labor,"n. 劳动, 努力, 工作, 劳工, 分娩
vi. 劳动, 努力, 苦干
vt. 详细分析, 使厌烦"
labour,"n. 劳动, 努力, 工作, 劳工, 分娩
vi. 劳动, 努力, 苦干
vt. 详细分析, 使厌烦"
labor,"n. 劳动, 努力, 工作, 劳工, 分娩
vi. 劳动, 努力, 苦干
vt. 详细分析, 使厌烦"
labour,"n. 劳动, 努力, 工作, 劳工, 分娩
vi. 劳动, 努力, 苦干
vt. 详细分析, 使厌烦"
laboratory,"n. 实验室, 研究室, 化工厂
"
laborious,"a. 艰苦的, 费劲的, 勤劳的"
collaborate,"vi. 合作, 勾结
"
collaboration,"n. 合作, 勾结
"
collaborative,"a. 合作的, 协作的"
elaborate,"a. 精细的, 详尽的, 精心计划(或制作)的
vt. 详细地说明, 用心地制作, 发挥
vi. 变复杂, 作详细说明"
elaboration,"n. 苦心经营, 精巧
"
model,"n. 模型, 模范, 模特儿
a. 模范的, 作模型用的
vi. 做模型, 做模特儿
vt. 使模仿, 塑造
"
model,"n. 模型, 模范, 模特儿
a. 模范的, 作模型用的
vi. 做模型, 做模特儿
vt. 使模仿, 塑造
"
mode,"n. 模态, 调式, 样式, 文体, 状态, 方式, 风尚
"
mold,"n. 模子, 模型, 霉
v. 形成, 塑造, 发霉"
mould,"n. 模子, 模制品, 松软沃土, 霉
vt. 形成, 浇铸, 用泥土覆盖
vi. 发霉"
modern,"n. 现代人, 有思想的人
a. 现代的, 时髦的"
modernize,"vi. 现代化
vt. 使现代化"
modernise,"vt.vi. (使)现代化, (使)适应现代需要
vi. 用现代方法"
module,"n. 组件, 模数
"
mood,"n. 心情, 气氛, 生气, 基调
"
moody,"a. 心情不稳的, 郁郁寡欢的, 喜怒无常的"
accommodate,"vt. 使适应, 调和, 通融, 容纳, 向...提供
vi. 适应"
accommodation,"n. 膳宿, 预订铺位, 适应性调节, 调和, 贷款
"
commodity,"n. 农产品, 商品, 有用的物品
"
moderate,"a. 适度的, 稳健的, 中等的, 节制的
vt. 节制, 减轻, 使缓和
vi. 变缓和, 主持会议"
moderator,"n. 主席, 会议主持人, 仲裁人
"
modest,"a. 谦逊的, 羞怯的, 端庄的, 适度的
"
modesty,"n. 谦逊, 质朴, 羞怯"
modify,"vt. 修正, 变更, 修饰, 缓和, 减轻
vi. 被修改
"
modification,"n. 修正, 修饰, 修改
"
order,"n. 次序, 规则, 命令
vi. 命令, 定货
vt. 整理, 命令, 定购
n. 顺序, 阶数
"
order,"n. 次序, 规则, 命令
vi. 命令, 定货
vt. 整理, 命令, 定购
n. 顺序, 阶数
"
disorder,"n. 杂乱, 混乱
vt. 扰乱, 使失调"
orderly,"a. 有秩序的, 整齐的, 值班的
n. 护理员, 清道夫, 传令兵, 勤务兵
adv. 依次地, 顺序地"
coordinate,"n. 同等的人(或物), 坐标
a. 同等的, 并列的
v. (使)协调"
subordinate,"n. 属下, 附属物
a. 下级的, 次要的, 附属的
vt. 使居下位, 使服从"
adapt,"vt. 使适应, 改编
vi. 适应"
adopt,"vt. 采用, 正式通过, 收养, 接受
"
adapt,"vt. 使适应, 改编
vi. 适应"
adopt,"vt. 采用, 正式通过, 收养, 接受
"
apt,"a. 有...倾向的, 易于的, 恰当的, 聪明的
"
aptitude,"n. 资质, 才能, 自然倾向
"
opt,vi. 选择
option,"n. 选择权, 挑选, 选项
"
optional,"a. 可选择的, 随意的
"
optimum,"n. 最适条件, 最佳效果
a. 最优的, 最适宜的"
optimism,"n. 乐观主义, 乐观, 乐天
"
optimist,"n. 乐观者, 乐观主义者"
optimistic,"a. 乐观的, 乐观主义的, 乐天的"
for,"prep. 为, 因为, 至于
conj. 因为
"
head for,"出发, 动身, 前往"
make for,"走向, 有利于, 倾向于"
ask for,"na. 要(价)；来找
"
call for,"叫(某人)来, 要求, 为...叫喊, 为...叫"
send for,na. 派人去叫
feel for,"摸索, 同情"
go for,"去找, 努力获取, 被认为, 主张, 拥护"
look for,"寻找, 期待"
hunger for,渴望
long for,渴望
act for,代理
stand for,"代表, 代替, 象征, 支持, 担任...的候选人
"
take ... for granted, 信以为然
mistake ... for,错认
exchange ... for,用…换取
make up for,"补偿,弥补"
allow for,"虑及, 体谅"
answer for, 符合（…需要）; 对…负责; 充当…; 许诺
go in for,"参加, 追求, 从事, 赞成"
run for,竞选
run for it,快跑躲避
sit for,"参加,应;代表…担任议员"
forward,"a. 向前的, 早的, 迅速的, 在前的, 进步的
vt. 促进...的生长, 转寄, 运送
adv. 向前地
"
forth,"adv. 往前, 以后, 向外"
look forward to," 期望, 盼望; 瞩望; 属望; 企"
bring forward,"na. 提出(计划等)；提示；提前；公开
"
put forward,"na. 提出(计划,意见等)；建议；促进；推举(候补人等)
"
bring forth,使产生
call forth,"引起, 使产生, 使起作用"
set forth,"na. 公开；发行；公布；陈述
"
model,"n. 模型, 模范, 模特儿
a. 模范的, 作模型用的
vi. 做模型, 做模特儿
vt. 使模仿, 塑造
"
advocate,"n. 提倡者, 拥护者
vt. 主张, 提倡"
evidence,"n. 根据, 证据, 迹象
"
feature,"n. 面孔的一部分(如眼、口等), 特征, 容貌, 特色, 特写
vt. 是...的特色, 特写, 放映
vi. 起重要作用
"
wrong,"a. 错误的, 不正当的, 失常的
adv. 错误地"
fetch,"n. 取得, 拿, 诡计, 魂
vt. 接来, 取来, 售得, 带来, 推出, 引出, 杀死, 吸引, 到达
vi. 取物, 前进
"
realize,"vt. 了解, 实现, 使显得逼真, 变卖
vi. 变卖"
act,"n. 行动, 行为, 幕, 法案
vi. 行动, 表演, 假装, 见效, 表现, 担当
vt. 扮演, 装作
"
reach,"n. 伸出, 延伸, 区域, 范围, 流域, 岬
vt. 到达, 达到, 伸出, 延伸, 影响
vi. 达到, 延伸, 伸出手, 传到"
feed,"n. 饲料, 一餐, 饲养
vt. 喂, 饲养, 放牧, 靠...为生
vi. 吃东西, 用餐, 流入
"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
raise,"n. 上升, 高地, 增高
vt. 升起, 举起, 唤起, 提高, 使出现, 使复活, 提出, 筹集, 饲养"
province,"n. 省, 地方, 职权, 领域
"
weight,"n. 重, 重量, 体重, 砝码, 重大, 影响, 力量
vt. 加重量于, 压迫, 使加权, 称重量
"
fashion,"n. 流行, 风尚, 时样
vt. 形成, 造, 作"
wet,"n. 湿气, 潮湿, 水分, 雨天
a. 湿的, 潮的, 搞错的, 下雨的, 反对禁酒的
vi. 变湿
vt. 使...湿"
expose,"vt. 使暴露, 使曝光, 揭穿, 陈列
"
preparation,"n. 准备, 预备, 预习
"
enter,"vt. 进入, 参加, 开始, 输入, 回车
vi. 进去, 参加
"
entry,"n. 登录, 条目, 进入, 入口, 报关
"
want,"n. 需要的东西, 缺乏, 贫困, 需要
vt. 要, 希望, 应该, 缺少
vi. 生活困苦, 需要, 缺少"
watch,"n. 观察, 手表, 看守, 守护, 监视, 值班人
vt. 看, 注视, 照顾, 看守, 守护, 监视
vi. 观看, 注视, 守侯"
playground,"n. 运动场, 操场, 度假胜地, 活动场所"
end,"n. 结束, 终点, 目标, 末端, 梢, 死亡, 残余
v. 结束, 终结, 终止
"
walk,"n. 走, 散步, 步行, 行走的路程, 竞走, 散步场所
vi. 走路, 步行, 处世
vt. 走过, 遛, 使走, 护送...走"
piece,"n. 块, 片, 篇, 碎片, 部分, 部件, 标准量
vt. 修补, 修理, 拼合, 接线头
vi. 吃零食"
view,"n. 视野, 风景, 见解, 视力, 观看, 视图, 指望, 意图, 印象
vt. 看, 考虑, 视察, 查看, 估量
"
vision,"n. 视觉, 眼光, 视力, 幻想
vt. 梦见, 想象, 显示"
drive,"n. 驾车, 快车道, 推进力, 驱动, 动力, 击球, 驱动器
vt. 开车, 驱使, 推动, 驾驶
vi. 开车, 猛击, 飞跑
"
vehicle,"n. 交通工具, 车辆, 传播媒介
"
parade,"n. 游行, 炫耀, 阅兵
v. 游行, 炫耀, (使)列队行进"
feast,"n. 宴会, 酒席, 享受, 节日
vt. 款待, 享乐, 请客
vi. 参加宴会, 尽情地吃, 享受"
workshop,"n. 工场, 车间, 研讨会
"
public,"n. 公众, 民众
a. 公众的, 公共的, 公立的, 公用的"
republic,"n. 共和国, 共和政体, 团体, 界"
public,"n. 公众, 民众
a. 公众的, 公共的, 公立的, 公用的"
publish,"vt. 出版, 发行, 公开, 发表, 宣传, 公布
vi. 出版, 发行"
publication,"n. 出版物, 出版, 公布
"
publicity,"n. 名声, 宣传, 公开场合
"
pub,"n. 酒馆, 客栈"
republic,"n. 共和国, 共和政体, 团体, 界"
republican,"n. 共和主义者, 共和党员
a. 共和政体的, 共和国的, 共和主义的"
climb,"v. 攀登, 上升, 爬
n. 攀登, 爬升"
climb,"v. 攀登, 上升, 爬
n. 攀登, 爬升"
clamp,"n. 夹钳
vt. 夹紧, 强加"
clap,"n. 拍手, 拍手声, 霹雳声, 花柳病
v. 鼓掌, (使)啪地关上"
clasp,"n. 扣子, 钩, 紧握
v. 扣紧, 紧握"
claw,"n. 爪, 螯, 抓伤
v. 用爪抓, 挖, 搜刮"
cling,"vi. 粘紧, 附着, 紧贴, 坚持"
clip,"n. 修剪, 夹子, 回形针, 剪下来的东西
vt. 修剪, 痛打, 夹牢, 剪报
vi. 剪报"
cluster,"n. 串, 丛, 群, 簇
vi. 成串, 丛生
vt. 使聚集
"
clutch,"n. 抓紧, 掌握, 离合器, 一窝小鸡
vt. 抓住, 踩汽车离合器踏板
vi. 抓
"
possible,"a. 可能的, 潜在的, 合适的
n. 可能性, 可能的事物"
probable,"a. 很可能的, 大概的, 可信的
n. 很有希望的候选人, 很可能的事情"
possible,"a. 可能的, 潜在的, 合适的
n. 可能性, 可能的事物"
probable,"a. 很可能的, 大概的, 可信的
n. 很有希望的候选人, 很可能的事情"
impossible,"a. 不可能的, 难以置信的, 令人无法忍受的"
improbable,"a. 不大可能的, 不象发生的, 荒谬可笑的
"
possibility,"n. 可能性, 可能的事
"
probability,"n. 可能性, 或然率, 几率, 概率
"
probably,"adv. 大概, 或许"
potential,"n. 潜在性, 可能性, 潜力, 潜能, 势, 位
a. 有潜力的, 可能的, 潜在的"
potentially,"adv. 可能地, 潜在地"
press,"n. 压, 揿, 按, 人群, 印刷机, 压力, 出版社, 记者, 报刊, 新闻舆论, 紧迫
vt. 压, 压榨, 紧抱, 逼迫, 推进, 强迫征募, 催逼
vi. 压, 重压, 催促, 拥挤, 奋力前进, 受压"
press,"n. 压, 揿, 按, 人群, 印刷机, 压力, 出版社, 记者, 报刊, 新闻舆论, 紧迫
vt. 压, 压榨, 紧抱, 逼迫, 推进, 强迫征募, 催逼
vi. 压, 重压, 催促, 拥挤, 奋力前进, 受压"
compress,"vt. 压缩, 压紧
vi. 受压缩小
"
compression,"n. 压缩, 压紧
"
depress,"vt. 使沮丧, 压低, 降低, 使萧条
"
depression,"n. 不景气, 消沉, 沮丧, 洼地
"
suppress,"vt. 镇压, 使止住, 禁止, 抑制, 查禁
"
impress,"n. 印象, 特征, 印记
vt. 使有印象, 印, 铭刻, 传送, 影响, 强征
vi. 给人印象"
impression,"n. 印象, 意念, 盖印, 印记, 印数, 底色, 效果
"
impressive,"a. 给人深刻印象的, 威严的"
express,"n. 快车, 快递, 专使
a. 明确的, 丝毫不差的, 专门的, 快的
vt. 表达, 表示, 表露"
expression,"n. 表达, 表现, 词语, 措辞
"
expressive,"a. 表达的, 富于表情的"
oppress,"vt. 压迫, 压抑, 使烦恼"
oppression,"n. 压抑, 沉闷, 压迫手段
"
pressure,"n. 压, 榨, 按, 强制, 压力, 压迫, 压强
vt. 迫使, 使增压, 密封"
repression,"n. 抑制, 压抑, 制止
"
repressive,"a. 压抑的, 抑制的, 镇压的"
accord,"n. 一致, 调和, 协定
vt. 给与, 使一致
vi. 相符合"
accord,"n. 一致, 调和, 协定
vt. 给与, 使一致
vi. 相符合"
accordance,"n. 一致, 和谐"
according to,"根据, 按照；取决于；据…所说"
accordingly,"adv. 相应地, 因此, 于是"
core,"n. 核心, 果心, 要点
vt. 挖...的核
"
cordial,"n. 兴奋剂, 补品
a. 热忱的, 诚恳的, 有兴奋作用的"
ancient,"a. 古代的, 古老的, 年老的, 旧的"
ancient,"a. 古代的, 古老的, 年老的, 旧的"
ancestor,"n. 祖先, 祖宗"
ancestral,"a. 祖先的, 祖传的
"
ancestry,"n. 祖先, 世系, 名门出身"
anticipate,"vt. 预期, 占先, 加速, 提前使用
"
anticipation,"n. 预期, 预料
"
antique,"n. 古董, 古物
a. 古老的, 古风的, 旧式的, 过时的"
art,"n. 艺术, 人文科学, 技术, 巧妙, 诡计, 美术
"
craft,"n. 技艺, 手艺, 诡计
vt. 精心制作"
art,"n. 艺术, 人文科学, 技术, 巧妙, 诡计, 美术
"
artist,"n. 艺术家, 画家"
artistic,"a. 艺术的, 艺术家的, 富有艺术性的"
artful,"a. 巧妙的, 狡猾的"
artificial,"a. 人造的, 假的, 非原地产的
"
craft,"n. 技艺, 手艺, 诡计
vt. 精心制作"
crafty,"a. 狡诈的, 诡计多端的, 巧妙的"
handicraft,"n. 手工艺, 手艺
"
aircraft,"n. 航空器, 飞机
"
spacecraft,n. 航天飞船
break,"n. 休息, 中断, 破裂处, 绝交, 破晓, 突变
vt. 打破, 弄破, 弄坏, 破坏, 违反, 打断, 削弱, 放弃
vi. 破碎, 决裂, 破晓, 突变, 变弱, 暂停
n. 分隔符
"
break,"n. 休息, 中断, 破裂处, 绝交, 破晓, 突变
vt. 打破, 弄破, 弄坏, 破坏, 违反, 打断, 削弱, 放弃
vi. 破碎, 决裂, 破晓, 突变, 变弱, 暂停
n. 分隔符
"
breakdown,"n. 崩溃, 故障
"
outbreak,"n. 爆发, 暴动
"
breakthrough,"n. 突破
"
brake,"n. 刹车, 阻碍, 丛林
v. 刹车"
breach,"n. 裂口, 违背, 破坏, 违反, 突破, 破裂
vt. 攻破, 突破
vi. 跳出水面"
card,"n. 卡片, 纸牌, 节目单, 明信片, 梳棉机
vt. 备置卡片, 记于卡片上, 梳理
"
cartoon,"n. 卡通画, 漫画
v. 画漫画"
card,"n. 卡片, 纸牌, 节目单, 明信片, 梳棉机
vt. 备置卡片, 记于卡片上, 梳理
"
discard,"vt. 丢弃, 抛弃
vi. 垫牌
n. 垫牌, 抛弃"
postcard,n. 明信片
cartoon,"n. 卡通画, 漫画
v. 画漫画"
chart,"n. 图表, 海图
vt. 制成图表
"
charter,"n. 特许状, 执照, 宪章
vt. 特许, 发给特许执照"
care,"n. 小心, 照料, 忧虑
vi. 关心, 介意
vt. 在意, 喜欢"
cure,"n. 治疗, 治愈, 治疗法
vt. 治疗, 治愈, 改正, 腌制, 加工处理, 使硫化
vi. 受治疗, 被加工处理, 被硫化"
care,"n. 小心, 照料, 忧虑
vi. 关心, 介意
vt. 在意, 喜欢"
careful,"a. 小心的, 谨慎的"
caress,"n. 爱抚, 拥抱
vt. 爱抚, 抱, 宠爱"
chary,"a. 细心的, 吝啬的, 谨慎的"
charity,"n. 慈悲, 博爱, 慈善团体, 施舍
"
cherish,"vt. 珍爱, 怀有, 爱护"
cure,"n. 治疗, 治愈, 治疗法
vt. 治疗, 治愈, 改正, 腌制, 加工处理, 使硫化
vi. 受治疗, 被加工处理, 被硫化"
curious,"a. 好奇的, 求知的, 古怪的"
curiosity,"n. 好奇心, 新奇的事物, 珍品"
secure,"a. 无虑的, 安心的, 安全的, 可靠的, 保险的
vt. 固定, 获得, 保证, 使安全, 掩护, 招致
vi. 停止操作, 船抛锚"
security,"n. 安全, 安全性, 防护物, 保安, 可靠性, 担保人, 抵押品, 保证金
"
claim,"n. 要求, 要求权, 断言, 权利
vt. 要求, 认领, 主张
vi. 提出要求, 主张, 断言"
claim,"n. 要求, 要求权, 断言, 权利
vt. 要求, 认领, 主张
vi. 提出要求, 主张, 断言"
reclaim,"vt. 开垦, 改造, 感化, 纠正, 回收
vi. 喊叫, 抗议"
acclaim,"n. 喝彩, 欢呼, 赞同
v. 欢呼, 喝彩, 称赞"
acclamation,"n. 欢呼, 称赞, 喝彩"
exclaim,"v. 大叫, 呼喊, 大声叫"
exclamation,"n. 惊呼, 激烈言词, 惊叹词"
proclaim,"vt. 宣布, 公告, 宣言, 表明, 赞扬
"
proclamation,"n. 宣言, 公布, 布告, 公告
"
complain,"v. 抱怨, 抗议, 控诉"
complain,"v. 抱怨, 抗议, 控诉"
complaint,"n. 诉苦, 抱怨, 控诉
"
plaint,"n. 悲叹, 感叹, 诉苦, 起诉, 抗议, 抱怨
"
plaintiff,"n. 原告, 起诉人
"
courage,"n. 勇气, 胆量"
courage,"n. 勇气, 胆量"
courageous,"a. 勇敢的, 大胆的, 有胆量的"
discourage,"vt. 使气馁, 阻碍"
encourage,"vt. 鼓励, 支持, 激励
"
discouragement,"n. 使泄气, 使气馁, 使沮丧, 使丧失信心, 使失去信心, 阻拦, 劝阻, 留难"
encouragement,"n. 鼓励, 激励, 奖励
"
court,"n. 法院, 庭院, 奉承
vt. 献殷勤, 追求, 招致
vi. 求爱"
court,"n. 法院, 庭院, 奉承
vt. 献殷勤, 追求, 招致
vi. 求爱"
courtroom,"n. 法庭, 审判室
"
courteous,"a. 彬彬有礼, 谦恭的"
courtesy,"n. 礼貌, 谦恭, 好意
"
describe,"vt. 描述, 描绘, 画"
describe,"vt. 描述, 描绘, 画"
description,"n. 描述, 说明, 种类
"
ascribe,"vt. 归因于, 归咎于
"
ascription,n. 归属
prescribe,"v. 规定, 指定, 嘱咐, 开处方"
prescription,"n. 处方, 命令, 指定
"
subscribe,"vt. 捐献, 签署
vi. 赞成, 同意, 捐款, 预订, 认购
"
subscriber,"n. 签署者, 捐献者, 订户
"
subscription,"n. 捐献, 订金, 订阅, 签署, 同意
"
script,"n. 手迹, 手稿, 正本, 手写体
vt. 改编为演出本
"
manuscript,"n. 手稿, 原稿, 底稿
a. 手写的"
scrape,"n. 刮, 擦, 挖, 擦痕, 刮擦声, 困境
vi. 刮掉, 擦掉, 刮出刺耳声
vt. 刮, 擦, 擦伤, 挖成, 积蓄"
skyscraper,"n. 摩天楼, 三角形天帆"
scrap,"n. 碎片, 残余物, 些微, 片断, 铁屑, 吵架
vt. 扔弃, 敲碎, 拆毁
vi. 互相殴打
a. 零碎拼凑成的, 废弃的"
devote,"vt. 投入于, 献身"
devote,"vt. 投入于, 献身"
devotion,"n. 热爱, 投入"
vote,"n. 投票, 选举, 选票, 表决, 选举权, 得票数
vi. 投票, 选举
vt. 投票选举, 投票决定, 公认, 使投票"
voter,"n. 选民, 投票人
"
disturb,"vt. 扰乱, 妨碍, 使不安
"
disturb,"vt. 扰乱, 妨碍, 使不安
"
disturbance,"n. 扰乱, 不安, 忧虑
"
turbine,"n. 涡轮机
"
turbulence,"n. 混乱, 动荡, 骚乱, 紊流
"
turbulent,"a. 狂暴的, 骚乱的, 紊乱的"
turmoil,"n. 骚动, 混乱"
divide,"vi. 分开, 分配, 分裂
vt. 分, 分开, 分裂, 除
n. 分配, 分水岭
"
divide,"vi. 分开, 分配, 分裂
vt. 分, 分开, 分裂, 除
n. 分配, 分水岭
"
division,"n. 分, 分开, 除法, 部门(如部、处、系等), 师
"
dividend,"n. 被除数, 股利
"
individual,"n. 人, 个人, 个体
a. 个别的, 个人的, 独特的"
subdivide,"vt.vi. (把...)再分, (把...)细分
"
widow,"n. 寡妇, 孀妇
vt. 使成寡妇"
tractor,"n. 牵引器, 拖拉机, 拉纸器
"
train,"n. 火车, 列车, 行列, 长队, 一连串的后果, 顺序
vt. 训练, 教育, 对准
vi. 受训练, 锻炼"
treat,"n. 宴请, 款待
vt. 视为, 对待, 论述, 治疗, 款待
vi. 讨论, 谈判, 作东"
tractor,"n. 牵引器, 拖拉机, 拉纸器
"
